Manager,Fund,Date,Change
Bastion Asset Management,BAM LS Equity,2022-01-01,0.001
Bastion Asset Management,BAM LS Equity,2022-02-01,0.017
Bastion Asset Management,BAM LS Equity,2022-03-01,0.002
Bastion Asset Management,BAM LS Equity,2022-04-01,-0.005
Bastion Asset Management,BAM LS Equity,2022-05-01,0.017
Bastion Asset Management,BAM LS Equity,2022-06-01,-0.033
Bastion Asset Management,BAM LS Equity,2022-07-01,0.017
Bastion Asset Management,BAM LS Equity,2022-08-01,-0.006
Bastion Asset Management,BAM LS Equity,2022-09-01,-0.053
Bastion Asset Management,BAM LS Equity,2022-10-01,0.033
Bastion Asset Management,BAM LS Equity,2022-11-01,0.041
Bastion Asset Management,BAM LS Equity,2022-12-01,-0.004
Bastion Asset Management,BAM LS Equity,2023-01-01,0.047
Bastion Asset Management,BAM LS Equity,2023-02-01,-0.023
Bastion Asset Management,BAM LS Equity,2023-03-01,-0.001
Bastion Asset Management,BAM LS Equity,2023-04-01,-0.004
Bastion Asset Management,BAM LS Equity,2023-05-01,-0.007
Bastion Asset Management,BAM LS Equity,2023-06-01,0.034
Bastion Asset Management,BAM LS Equity,2023-07-01,0.03
Bastion Asset Management,BAM LS Equity,2023-08-01,-0.017
Bastion Asset Management,BAM LS Equity,2023-09-01,-0.006
Bastion Asset Management,BAM LS Equity,2023-10-01,-0.013
Bastion Asset Management,BAM LS Equity,2023-11-01,0.041
Bastion Asset Management,BAM LS Equity,2023-12-01,0.045
Bastion Asset Management,BAM LS Equity,2024-01-01,0.002
Bastion Asset Management,BAM LS Equity,2024-02-01,0.002
Bastion Asset Management,BAM LS Equity,2024-03-01,0.034
Bastion Asset Management,BAM LS Equity,2024-04-01,-0.011
Bastion Asset Management,BAM LS Equity,2024-05-01,0.032
Bastion Asset Management,BAM LS Equity,2024-06-01,-0.001
