Manager,Fund,Date,Change
Breakout,Breakout,2018-01-01,0.0000
Breakout,Breakout,2018-02-01,0.0125
Breakout,Breakout,2018-03-01,-0.0413
Breakout,Breakout,2018-04-01,0.0521
Breakout,Breakout,2018-05-01,-0.0507
Breakout,Breakout,2018-06-01,0.0520
Breakout,Breakout,2018-07-01,0.0120
Breakout,Breakout,2018-08-01,0.0033
Breakout,Breakout,2018-09-01,-0.0332
Breakout,Breakout,2018-10-01,0.0660
Breakout,Breakout,2018-11-01,-0.0395
Breakout,Breakout,2018-12-01,0.0190
Breakout,Breakout,2019-01-01,0.0275
Breakout,Breakout,2019-02-01,-0.0050
Breakout,Breakout,2019-03-01,0.0088
Breakout,Breakout,2019-04-01,0.0039
Breakout,Breakout,2019-05-01,0.0005
Breakout,Breakout,2019-06-01,0.0207
Breakout,Breakout,2019-07-01,-0.0261
Breakout,Breakout,2019-08-01,0.0464
Breakout,Breakout,2019-09-01,0.0413
Breakout,Breakout,2019-10-01,-0.0365
Breakout,Breakout,2019-11-01,0.0297
Breakout,Breakout,2019-12-01,0.0037
Breakout,Breakout,2020-01-01,0.0296
Breakout,Breakout,2020-02-01,0.0189
Breakout,Breakout,2020-03-01,0.0767
Breakout,Breakout,2020-04-01,0.0533
Breakout,Breakout,2020-05-01,0.0213
Breakout,Breakout,2020-06-01,-0.0102
Breakout,Breakout,2020-07-01,0.0475
Breakout,Breakout,2020-08-01,0.0074
Breakout,Breakout,2020-09-01,-0.0560
Breakout,Breakout,2020-10-01,-0.0429
Breakout,Breakout,2020-11-01,-0.0087
Breakout,Breakout,2020-12-01,0.0055
Breakout,Breakout,2021-01-01,-0.0358
Breakout,Breakout,2021-02-01,-0.0117
Breakout,Breakout,2021-03-01,-0.0261
Breakout,Breakout,2021-04-01,-0.0004
Breakout,Breakout,2021-05-01,-0.0237
Breakout,Breakout,2021-06-01,-0.0066
Breakout,Breakout,2021-07-01,0.0670
Breakout,Breakout,2021-08-01,-0.0197
Breakout,Breakout,2021-09-01,-0.0288
Breakout,Breakout,2021-10-01,0.0071
Breakout,Breakout,2021-11-01,-0.0246
Breakout,Breakout,2021-12-01,-0.0087
Breakout,Breakout,2022-01-01,0.0370
Breakout,Breakout,2022-02-01,0.0298
Breakout,Breakout,2022-03-01,-0.0093
Breakout,Breakout,2022-04-01,0.0375
Breakout,Breakout,2022-05-01,-0.0501
Breakout,Breakout,2022-06-01,0.0133
Breakout,Breakout,2022-07-01,-0.0235
Breakout,Breakout,2022-08-01,0.0566
Breakout,Breakout,2022-09-01,0.1034
Breakout,Breakout,2022-10-01,-0.0795
Breakout,Breakout,2022-11-01,-0.0309
Breakout,Breakout,2022-12-01,0.0114
Breakout,Breakout,2023-01-01,0.0305
Breakout,Breakout,2023-02-01,-0.0067
Breakout,Breakout,2023-03-01,0.0678
Breakout,Breakout,2023-04-01,0.0454
Breakout,Breakout,2023-05-01,-0.0779
Breakout,Breakout,2023-06-01,-0.0458
