Manager,Fund,Date,Change
DCM Systematic,Diversified Alpha,2016-02-01,0.0177
DCM Systematic,Diversified Alpha,2016-03-01,-0.0194
DCM Systematic,Diversified Alpha,2016-04-01,-0.0141
DCM Systematic,Diversified Alpha,2016-05-01,0.0138
DCM Systematic,Diversified Alpha,2016-06-01,0.0034
DCM Systematic,Diversified Alpha,2016-07-01,0.0092
DCM Systematic,Diversified Alpha,2016-08-01,-0.0031
DCM Systematic,Diversified Alpha,2016-09-01,0.0130
DCM Systematic,Diversified Alpha,2016-10-01,-0.0342
DCM Systematic,Diversified Alpha,2016-11-01,-0.0231
DCM Systematic,Diversified Alpha,2016-12-01,-0.0132
DCM Systematic,Diversified Alpha,2017-01-01,0.0032
DCM Systematic,Diversified Alpha,2017-02-01,0.0572
DCM Systematic,Diversified Alpha,2017-03-01,0.0026
DCM Systematic,Diversified Alpha,2017-04-01,0.0272
DCM Systematic,Diversified Alpha,2017-05-01,-0.0086
DCM Systematic,Diversified Alpha,2017-06-01,-0.0632
DCM Systematic,Diversified Alpha,2017-07-01,-0.0061
DCM Systematic,Diversified Alpha,2017-08-01,0.0450
DCM Systematic,Diversified Alpha,2017-09-01,0.0154
DCM Systematic,Diversified Alpha,2017-10-01,0.0780
DCM Systematic,Diversified Alpha,2017-11-01,-0.0507
DCM Systematic,Diversified Alpha,2017-12-01,0.0663
DCM Systematic,Diversified Alpha,2018-01-01,-0.0073
DCM Systematic,Diversified Alpha,2018-02-01,-0.0064
DCM Systematic,Diversified Alpha,2018-03-01,0.0059
DCM Systematic,Diversified Alpha,2018-04-01,0.0403
DCM Systematic,Diversified Alpha,2018-05-01,0.0337
DCM Systematic,Diversified Alpha,2018-06-01,0.0325
DCM Systematic,Diversified Alpha,2018-07-01,-0.0496
DCM Systematic,Diversified Alpha,2018-08-01,-0.0250
DCM Systematic,Diversified Alpha,2018-09-01,-0.0192
DCM Systematic,Diversified Alpha,2018-10-01,0.0380
DCM Systematic,Diversified Alpha,2018-11-01,0.0685
DCM Systematic,Diversified Alpha,2018-12-01,0.0041
DCM Systematic,Diversified Alpha,2019-01-01,-0.0387
DCM Systematic,Diversified Alpha,2019-02-01,0.0048
DCM Systematic,Diversified Alpha,2019-03-01,0.0135
DCM Systematic,Diversified Alpha,2019-04-01,0.0360
DCM Systematic,Diversified Alpha,2019-05-01,-0.0428
DCM Systematic,Diversified Alpha,2019-06-01,0.0154
DCM Systematic,Diversified Alpha,2019-07-01,-0.0144
DCM Systematic,Diversified Alpha,2019-08-01,0.0239
DCM Systematic,Diversified Alpha,2019-09-01,-0.0255
DCM Systematic,Diversified Alpha,2019-10-01,-0.0350
DCM Systematic,Diversified Alpha,2019-11-01,0.0080
DCM Systematic,Diversified Alpha,2019-12-01,0.0485
DCM Systematic,Diversified Alpha,2020-01-01,-0.0058
DCM Systematic,Diversified Alpha,2020-02-01,0.0059
DCM Systematic,Diversified Alpha,2020-03-01,0.1437
DCM Systematic,Diversified Alpha,2020-04-01,-0.0088
DCM Systematic,Diversified Alpha,2020-05-01,0.0084
DCM Systematic,Diversified Alpha,2020-06-01,-0.0051
DCM Systematic,Diversified Alpha,2020-07-01,0.0181
DCM Systematic,Diversified Alpha,2020-08-01,-0.0202
DCM Systematic,Diversified Alpha,2020-09-01,0.0410
DCM Systematic,Diversified Alpha,2020-10-01,-0.0177
DCM Systematic,Diversified Alpha,2020-11-01,0.0114
DCM Systematic,Diversified Alpha,2020-12-01,0.0079
DCM Systematic,Diversified Alpha,2021-01-01,-0.0669
DCM Systematic,Diversified Alpha,2021-02-01,0.0247
DCM Systematic,Diversified Alpha,2021-03-01,0.0292
DCM Systematic,Diversified Alpha,2021-04-01,-0.0102
DCM Systematic,Diversified Alpha,2021-05-01,0.0131
DCM Systematic,Diversified Alpha,2021-06-01,0.0522
DCM Systematic,Diversified Alpha,2021-07-01,0.0152
DCM Systematic,Diversified Alpha,2021-08-01,0.0100
DCM Systematic,Diversified Alpha,2021-09-01,0.0034
DCM Systematic,Diversified Alpha,2021-10-01,-0.0168
DCM Systematic,Diversified Alpha,2021-11-01,-0.0174
DCM Systematic,Diversified Alpha,2021-12-01,-0.0018
DCM Systematic,Diversified Alpha,2022-01-01,0.0260
DCM Systematic,Diversified Alpha,2022-02-01,0.0278
DCM Systematic,Diversified Alpha,2022-03-01,0.0626
DCM Systematic,Diversified Alpha,2022-04-01,0.0171
DCM Systematic,Diversified Alpha,2022-05-01,-0.0005
DCM Systematic,Diversified Alpha,2022-06-01,-0.0341
DCM Systematic,Diversified Alpha,2022-07-01,-0.0060
DCM Systematic,Diversified Alpha,2022-08-01,-0.0185
DCM Systematic,Diversified Alpha,2022-09-01,0.0057
DCM Systematic,Diversified Alpha,2022-10-01,0.0258
DCM Systematic,Diversified Alpha,2022-11-01,0.0089
DCM Systematic,Diversified Alpha,2022-12-01,-0.0094
DCM Systematic,Diversified Alpha,2023-01-01,-0.0113
DCM Systematic,Diversified Alpha,2023-02-01,0.0012
DCM Systematic,Diversified Alpha,2023-03-01,-0.0089
DCM Systematic,Diversified Alpha,2023-04-01,-0.0074
DCM Systematic,Diversified Alpha,2023-05-01,-0.0194
DCM Systematic,Diversified Alpha,2023-06-01,0.0347
DCM Systematic,Diversified Alpha,2023-07-01,-0.0015
