Manager,Fund,Date,Change
Hidden Lake Asset Management,Hidden Lake Master Fund,2018-09-01,0.0095
Hidden Lake Asset Management,Hidden Lake Master Fund,2018-10-01,-0.009
Hidden Lake Asset Management,Hidden Lake Master Fund,2018-11-01,-0.034
Hidden Lake Asset Management,Hidden Lake Master Fund,2018-12-01,-0.0336
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-01-01,-0.0357
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-02-01,0.0342
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-03-01,-0.0393
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-04-01,-0.0326
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-05-01,-0.1432
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-06-01,0.0523
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-07-01,-0.0377
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-08-01,0.0236
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-09-01,0.001
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-10-01,-0.0024
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-11-01,0.0469
Hidden Lake Asset Management,Hidden Lake Master Fund,2019-12-01,0.018
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-01-01,-0.0346
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-02-01,0.0911
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-03-01,-0.0072
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-04-01,-0.0195
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-05-01,0.0001
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-06-01,-0.0076
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-07-01,-0.0937
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-08-01,0.0571
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-09-01,0.085
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-10-01,-0.0252
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-11-01,-0.0914
Hidden Lake Asset Management,Hidden Lake Master Fund,2020-12-01,0.0072
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-01-01,0.0185
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-02-01,0.0735
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-03-01,-0.0858
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-04-01,0.0351
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-05-01,0.0988
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-06-01,0.0569
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-07-01,0.0588
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-08-01,0.0341
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-09-01,0.0297
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-10-01,0.0999
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-11-01,0.0861
Hidden Lake Asset Management,Hidden Lake Master Fund,2021-12-01,0.0589
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-01-01,0.0704
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-02-01,0.0039
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-03-01,0.0096
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-04-01,0.0057
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-05-01,-0.0168
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-06-01,-0.0226
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-07-01,0.0091
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-08-01,0.0053
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-09-01,-0.0527
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-10-01,0.066
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-11-01,0.0234
Hidden Lake Asset Management,Hidden Lake Master Fund,2022-12-01,0.0339
Hidden Lake Asset Management,Hidden Lake Master Fund,2023-01-01,0.0112
