Manager,Fund,Date,Change
Landscape,Landscape Capital Partners Fund,2006-09-01,0.0150
Landscape,Landscape Capital Partners Fund,2006-10-01,0.0363
Landscape,Landscape Capital Partners Fund,2006-11-01,0.0128
Landscape,Landscape Capital Partners Fund,2006-12-01,-0.0155
Landscape,Landscape Capital Partners Fund,2007-01-01,0.0227
Landscape,Landscape Capital Partners Fund,2007-02-01,-0.0057
Landscape,Landscape Capital Partners Fund,2007-03-01,-0.0140
Landscape,Landscape Capital Partners Fund,2007-04-01,-0.0111
Landscape,Landscape Capital Partners Fund,2007-05-01,0.0335
Landscape,Landscape Capital Partners Fund,2007-06-01,-0.0507
Landscape,Landscape Capital Partners Fund,2007-07-01,0.0754
Landscape,Landscape Capital Partners Fund,2007-08-01,0.0938
Landscape,Landscape Capital Partners Fund,2007-09-01,-0.0251
Landscape,Landscape Capital Partners Fund,2007-10-01,0.1114
Landscape,Landscape Capital Partners Fund,2007-11-01,-0.0379
Landscape,Landscape Capital Partners Fund,2007-12-01,0.0879
Landscape,Landscape Capital Partners Fund,2008-01-01,0.0368
Landscape,Landscape Capital Partners Fund,2008-02-01,0.0673
Landscape,Landscape Capital Partners Fund,2008-03-01,-0.0065
Landscape,Landscape Capital Partners Fund,2008-04-01,-0.0214
Landscape,Landscape Capital Partners Fund,2008-05-01,0.0702
Landscape,Landscape Capital Partners Fund,2008-06-01,0.0208
Landscape,Landscape Capital Partners Fund,2008-07-01,-0.0229
Landscape,Landscape Capital Partners Fund,2008-08-01,-0.0240
Landscape,Landscape Capital Partners Fund,2008-09-01,0.0005
Landscape,Landscape Capital Partners Fund,2008-10-01,-0.0053
Landscape,Landscape Capital Partners Fund,2008-11-01,0.0581
Landscape,Landscape Capital Partners Fund,2008-12-01,0.0673
Landscape,Landscape Capital Partners Fund,2009-01-01,0.0991
Landscape,Landscape Capital Partners Fund,2009-02-01,-0.0022
Landscape,Landscape Capital Partners Fund,2009-03-01,-0.0316
Landscape,Landscape Capital Partners Fund,2009-04-01,-0.0613
