Manager,Fund,Date,Change
Lattice Capital Management,Dynamic Alpha Fund,2016-05-01,0.0118
Lattice Capital Management,Dynamic Alpha Fund,2016-06-01,0.0099
Lattice Capital Management,Dynamic Alpha Fund,2016-07-01,0.0196
Lattice Capital Management,Dynamic Alpha Fund,2016-08-01,0.0165
Lattice Capital Management,Dynamic Alpha Fund,2016-09-01,0.0235
Lattice Capital Management,Dynamic Alpha Fund,2016-10-01,0.0116
Lattice Capital Management,Dynamic Alpha Fund,2016-11-01,0.0139
Lattice Capital Management,Dynamic Alpha Fund,2016-12-01,0.0152
Lattice Capital Management,Dynamic Alpha Fund,2017-01-01,0.0289
Lattice Capital Management,Dynamic Alpha Fund,2017-02-01,0.0260
Lattice Capital Management,Dynamic Alpha Fund,2017-03-01,0.0245
Lattice Capital Management,Dynamic Alpha Fund,2017-04-01,0.0211
Lattice Capital Management,Dynamic Alpha Fund,2017-05-01,0.0150
Lattice Capital Management,Dynamic Alpha Fund,2017-06-01,0.0249
Lattice Capital Management,Dynamic Alpha Fund,2017-07-01,0.0220
Lattice Capital Management,Dynamic Alpha Fund,2017-08-01,0.0224
Lattice Capital Management,Dynamic Alpha Fund,2017-09-01,0.0200
Lattice Capital Management,Dynamic Alpha Fund,2017-10-01,0.0160
Lattice Capital Management,Dynamic Alpha Fund,2017-11-01,-0.0119
Lattice Capital Management,Dynamic Alpha Fund,2017-12-01,0.0091
Lattice Capital Management,Dynamic Alpha Fund,2018-01-01,-0.0073
Lattice Capital Management,Dynamic Alpha Fund,2018-02-01,-0.0227
Lattice Capital Management,Dynamic Alpha Fund,2018-03-01,0.0193
Lattice Capital Management,Dynamic Alpha Fund,2018-04-01,0.0313
Lattice Capital Management,Dynamic Alpha Fund,2018-05-01,0.0122
Lattice Capital Management,Dynamic Alpha Fund,2018-06-01,0.0086
Lattice Capital Management,Dynamic Alpha Fund,2018-07-01,0.0209
Lattice Capital Management,Dynamic Alpha Fund,2018-08-01,0.0122
Lattice Capital Management,Dynamic Alpha Fund,2018-09-01,0.0114
Lattice Capital Management,Dynamic Alpha Fund,2018-10-01,-0.0039
Lattice Capital Management,Dynamic Alpha Fund,2018-11-01,0.0242
Lattice Capital Management,Dynamic Alpha Fund,2018-12-01,-0.0029
Lattice Capital Management,Dynamic Alpha Fund,2019-01-01,0.0339
Lattice Capital Management,Dynamic Alpha Fund,2019-02-01,0.0112
Lattice Capital Management,Dynamic Alpha Fund,2019-03-01,0.0170
Lattice Capital Management,Dynamic Alpha Fund,2019-04-01,0.0108
Lattice Capital Management,Dynamic Alpha Fund,2019-05-01,0.0158
Lattice Capital Management,Dynamic Alpha Fund,2019-06-01,0.0172
Lattice Capital Management,Dynamic Alpha Fund,2019-07-01,0.0084
Lattice Capital Management,Dynamic Alpha Fund,2019-08-01,0.0037
Lattice Capital Management,Dynamic Alpha Fund,2019-09-01,0.0234
Lattice Capital Management,Dynamic Alpha Fund,2019-10-01,0.0144
Lattice Capital Management,Dynamic Alpha Fund,2019-11-01,0.0129
Lattice Capital Management,Dynamic Alpha Fund,2019-12-01,0.0010
Lattice Capital Management,Dynamic Alpha Fund,2020-01-01,-0.0031
Lattice Capital Management,Dynamic Alpha Fund,2020-02-01,-0.2773
Lattice Capital Management,Dynamic Alpha Fund,2020-03-01,0.5051
Lattice Capital Management,Dynamic Alpha Fund,2020-04-01,0.0155
Lattice Capital Management,Dynamic Alpha Fund,2020-05-01,0.0206
Lattice Capital Management,Dynamic Alpha Fund,2020-06-01,-0.0308
Lattice Capital Management,Dynamic Alpha Fund,2020-07-01,0.0208
Lattice Capital Management,Dynamic Alpha Fund,2020-08-01,0.0095
Lattice Capital Management,Dynamic Alpha Fund,2020-09-01,0.0173
Lattice Capital Management,Dynamic Alpha Fund,2020-10-01,-0.0209
Lattice Capital Management,Dynamic Alpha Fund,2020-11-01,0.0388
Lattice Capital Management,Dynamic Alpha Fund,2020-12-01,0.0098
Lattice Capital Management,Dynamic Alpha Fund,2021-01-01,-0.0171
Lattice Capital Management,Dynamic Alpha Fund,2021-02-01,0.0263
Lattice Capital Management,Dynamic Alpha Fund,2021-03-01,0.0295
Lattice Capital Management,Dynamic Alpha Fund,2021-04-01,0.0104
Lattice Capital Management,Dynamic Alpha Fund,2021-05-01,0.0146
Lattice Capital Management,Dynamic Alpha Fund,2021-06-01,0.0106
Lattice Capital Management,Dynamic Alpha Fund,2021-07-01,0.0086
Lattice Capital Management,Dynamic Alpha Fund,2021-08-01,0.0146
Lattice Capital Management,Dynamic Alpha Fund,2021-09-01,0.0034
Lattice Capital Management,Dynamic Alpha Fund,2021-10-01,0.0234
Lattice Capital Management,Dynamic Alpha Fund,2021-11-01,-0.0067
Lattice Capital Management,Dynamic Alpha Fund,2021-12-01,0.0296
Lattice Capital Management,Dynamic Alpha Fund,2022-01-01,-0.0198
Lattice Capital Management,Dynamic Alpha Fund,2022-02-01,0.0159
Lattice Capital Management,Dynamic Alpha Fund,2022-03-01,0.0313
Lattice Capital Management,Dynamic Alpha Fund,2022-04-01,-0.0350
Lattice Capital Management,Dynamic Alpha Fund,2022-05-01,0.0532
Lattice Capital Management,Dynamic Alpha Fund,2022-06-01,-0.0010
Lattice Capital Management,Dynamic Alpha Fund,2022-07-01,0.0291
Lattice Capital Management,Dynamic Alpha Fund,2022-08-01,-0.0139
Lattice Capital Management,Dynamic Alpha Fund,2022-09-01,-0.0681
Lattice Capital Management,Dynamic Alpha Fund,2022-10-01,0.1104
Lattice Capital Management,Dynamic Alpha Fund,2022-11-01,0.0209
Lattice Capital Management,Dynamic Alpha Fund,2022-12-01,0.0068
Lattice Capital Management,Dynamic Alpha Fund,2023-01-01,0.0207
Lattice Capital Management,Dynamic Alpha Fund,2023-02-01,0.0042
Lattice Capital Management,Dynamic Alpha Fund,2023-03-01,0.0276
Lattice Capital Management,Dynamic Alpha Fund,2023-04-01,0.0109
Lattice Capital Management,Dynamic Alpha Fund,2023-05-01,0.0065
