Manager,Fund,Date,Change
Opti Capital Management,Opti Opportunity Master Fund,2018-04-01,-0.0031
Opti Capital Management,Opti Opportunity Master Fund,2018-05-01,-0.0101
Opti Capital Management,Opti Opportunity Master Fund,2018-06-01,-0.0202
Opti Capital Management,Opti Opportunity Master Fund,2018-07-01,-0.0051
Opti Capital Management,Opti Opportunity Master Fund,2018-08-01,-0.0073
Opti Capital Management,Opti Opportunity Master Fund,2018-09-01,-0.0050
Opti Capital Management,Opti Opportunity Master Fund,2018-10-01,-0.0020
Opti Capital Management,Opti Opportunity Master Fund,2018-11-01,-0.0038
Opti Capital Management,Opti Opportunity Master Fund,2018-12-01,0.0040
Opti Capital Management,Opti Opportunity Master Fund,2019-01-01,-0.0080
Opti Capital Management,Opti Opportunity Master Fund,2019-02-01,-0.0010
Opti Capital Management,Opti Opportunity Master Fund,2019-03-01,-0.0070
Opti Capital Management,Opti Opportunity Master Fund,2019-04-01,-0.0062
Opti Capital Management,Opti Opportunity Master Fund,2019-05-01,-0.0015
Opti Capital Management,Opti Opportunity Master Fund,2019-06-01,-0.0081
Opti Capital Management,Opti Opportunity Master Fund,2019-07-01,-0.0070
Opti Capital Management,Opti Opportunity Master Fund,2019-08-01,-0.0034
Opti Capital Management,Opti Opportunity Master Fund,2019-09-01,-0.0048
Opti Capital Management,Opti Opportunity Master Fund,2019-10-01,-0.0048
Opti Capital Management,Opti Opportunity Master Fund,2019-11-01,-0.0058
Opti Capital Management,Opti Opportunity Master Fund,2019-12-01,-0.0038
Opti Capital Management,Opti Opportunity Master Fund,2020-01-01,-0.0023
Opti Capital Management,Opti Opportunity Master Fund,2020-02-01,-0.0021
Opti Capital Management,Opti Opportunity Master Fund,2020-03-01,-0.0397
Opti Capital Management,Opti Opportunity Master Fund,2020-04-01,0.0365
Opti Capital Management,Opti Opportunity Master Fund,2020-05-01,0.0147
Opti Capital Management,Opti Opportunity Master Fund,2020-06-01,0.0191
Opti Capital Management,Opti Opportunity Master Fund,2020-07-01,0.0407
Opti Capital Management,Opti Opportunity Master Fund,2020-08-01,0.0311
Opti Capital Management,Opti Opportunity Master Fund,2020-09-01,0.0092
Opti Capital Management,Opti Opportunity Master Fund,2020-10-01,0.0110
Opti Capital Management,Opti Opportunity Master Fund,2020-11-01,0.0147
Opti Capital Management,Opti Opportunity Master Fund,2020-12-01,0.0203
Opti Capital Management,Opti Opportunity Master Fund,2021-01-01,0.0195
Opti Capital Management,Opti Opportunity Master Fund,2021-02-01,0.0109
Opti Capital Management,Opti Opportunity Master Fund,2021-03-01,-0.0084
Opti Capital Management,Opti Opportunity Master Fund,2021-04-01,-0.0027
Opti Capital Management,Opti Opportunity Master Fund,2021-05-01,0.0045
Opti Capital Management,Opti Opportunity Master Fund,2021-06-01,0.0029
Opti Capital Management,Opti Opportunity Master Fund,2021-07-01,0.0008
Opti Capital Management,Opti Opportunity Master Fund,2021-08-01,0.0026
Opti Capital Management,Opti Opportunity Master Fund,2021-09-01,0.0112
Opti Capital Management,Opti Opportunity Master Fund,2021-10-01,0.0021
Opti Capital Management,Opti Opportunity Master Fund,2021-11-01,0.0113
Opti Capital Management,Opti Opportunity Master Fund,2021-12-01,0.0102
Opti Capital Management,Opti Opportunity Master Fund,2022-01-01,0.0005
Opti Capital Management,Opti Opportunity Master Fund,2022-02-01,0.0009
Opti Capital Management,Opti Opportunity Master Fund,2022-03-01,0.0033
Opti Capital Management,Opti Opportunity Master Fund,2022-04-01,-0.0047
Opti Capital Management,Opti Opportunity Master Fund,2022-05-01,-0.0238
Opti Capital Management,Opti Opportunity Master Fund,2022-06-01,0.0073
Opti Capital Management,Opti Opportunity Master Fund,2022-07-01,0.0051
Opti Capital Management,Opti Opportunity Master Fund,2022-08-01,0.0233
Opti Capital Management,Opti Opportunity Master Fund,2022-09-01,-0.0094
Opti Capital Management,Opti Opportunity Master Fund,2022-10-01,0.0051
Opti Capital Management,Opti Opportunity Master Fund,2022-11-01,0.0167
Opti Capital Management,Opti Opportunity Master Fund,2022-12-01,0.0133
Opti Capital Management,Opti Opportunity Master Fund,2023-01-01,0.0184
Opti Capital Management,Opti Opportunity Master Fund,2023-02-01,0.0011
Opti Capital Management,Opti Opportunity Master Fund,2023-03-01,0.0061
Opti Capital Management,Opti Opportunity Master Fund,2023-04-01,0.0067
Opti Capital Management,Opti Opportunity Master Fund,2023-05-01,0.0106
