Manager,Fund,Date,Change
PlusPlus Capital Management,Global Alpha,2018-01-01,0.067
PlusPlus Capital Management,Global Alpha,2018-02-01,-0.019
PlusPlus Capital Management,Global Alpha,2018-03-01,-0.014
PlusPlus Capital Management,Global Alpha,2018-04-01,0.008
PlusPlus Capital Management,Global Alpha,2018-05-01,0.005
PlusPlus Capital Management,Global Alpha,2018-06-01,-0.011
PlusPlus Capital Management,Global Alpha,2018-07-01,0.004
PlusPlus Capital Management,Global Alpha,2018-08-01,0.006
PlusPlus Capital Management,Global Alpha,2018-09-01,-0.02
PlusPlus Capital Management,Global Alpha,2018-10-01,0.037
PlusPlus Capital Management,Global Alpha,2018-11-01,-0.004
PlusPlus Capital Management,Global Alpha,2018-12-01,0.057
PlusPlus Capital Management,Global Alpha,2019-01-01,-0.01
PlusPlus Capital Management,Global Alpha,2019-02-01,0.005
PlusPlus Capital Management,Global Alpha,2019-03-01,0.007
PlusPlus Capital Management,Global Alpha,2019-04-01,0.014
PlusPlus Capital Management,Global Alpha,2019-05-01,-0.02
PlusPlus Capital Management,Global Alpha,2019-06-01,-0.018
PlusPlus Capital Management,Global Alpha,2019-07-01,0.012
PlusPlus Capital Management,Global Alpha,2019-08-01,0.004
PlusPlus Capital Management,Global Alpha,2019-09-01,0.002
PlusPlus Capital Management,Global Alpha,2019-10-01,-0.023
PlusPlus Capital Management,Global Alpha,2019-11-01,0.021
PlusPlus Capital Management,Global Alpha,2019-12-01,0.016
PlusPlus Capital Management,Global Alpha,2020-01-01,0.026
PlusPlus Capital Management,Global Alpha,2020-02-01,0.005
PlusPlus Capital Management,Global Alpha,2020-03-01,0.068
PlusPlus Capital Management,Global Alpha,2020-04-01,0.007
PlusPlus Capital Management,Global Alpha,2020-05-01,-0.018
PlusPlus Capital Management,Global Alpha,2020-06-01,0.007
PlusPlus Capital Management,Global Alpha,2020-07-01,0.004
PlusPlus Capital Management,Global Alpha,2020-08-01,-0.003
PlusPlus Capital Management,Global Alpha,2020-09-01,-0.011
PlusPlus Capital Management,Global Alpha,2020-10-01,-0.009
PlusPlus Capital Management,Global Alpha,2020-11-01,0.006
PlusPlus Capital Management,Global Alpha,2020-12-01,0.003
PlusPlus Capital Management,Global Alpha,2021-01-01,0.012
PlusPlus Capital Management,Global Alpha,2021-02-01,0.021
PlusPlus Capital Management,Global Alpha,2021-03-01,-0.005
PlusPlus Capital Management,Global Alpha,2021-04-01,0.013
PlusPlus Capital Management,Global Alpha,2021-05-01,0.003
PlusPlus Capital Management,Global Alpha,2021-06-01,0.002
PlusPlus Capital Management,Global Alpha,2021-07-01,0.001
PlusPlus Capital Management,Global Alpha,2021-08-01,0.001
PlusPlus Capital Management,Global Alpha,2021-09-01,0.003
PlusPlus Capital Management,Global Alpha,2021-10-01,0.002
PlusPlus Capital Management,Global Alpha,2021-11-01,0.003
PlusPlus Capital Management,Global Alpha,2021-12-01,0.009
PlusPlus Capital Management,Global Alpha,2022-01-01,-0.021
PlusPlus Capital Management,Global Alpha,2022-02-01,0.006
PlusPlus Capital Management,Global Alpha,2022-03-01,0.007
PlusPlus Capital Management,Global Alpha,2022-04-01,0.009
PlusPlus Capital Management,Global Alpha,2022-05-01,-0.002
PlusPlus Capital Management,Global Alpha,2022-06-01,0.001
PlusPlus Capital Management,Global Alpha,2022-07-01,0.006
PlusPlus Capital Management,Global Alpha,2022-08-01,-0.005
PlusPlus Capital Management,Global Alpha,2022-09-01,0.002
PlusPlus Capital Management,Global Alpha,2022-10-01,0.007
PlusPlus Capital Management,Global Alpha,2022-11-01,-0.002
PlusPlus Capital Management,Global Alpha,2022-12-01,0.001
PlusPlus Capital Management,Global Alpha,2023-01-01,0
PlusPlus Capital Management,Global Alpha,2023-02-01,0.001
PlusPlus Capital Management,Global Alpha,2023-03-01,-0.004
PlusPlus Capital Management,Global Alpha,2023-04-01,0
PlusPlus Capital Management,Global Alpha,2023-05-01,-0.002
PlusPlus Capital Management,Global Alpha,2023-06-01,0.009
