Manager,Fund,Date,Change
Rosetta,Rosetta RL,2020-05-01,-0.0005
Rosetta,Rosetta RL,2020-06-01,0.0696
Rosetta,Rosetta RL,2020-07-01,0.0631
Rosetta,Rosetta RL,2020-08-01,-0.0046
Rosetta,Rosetta RL,2020-09-01,0.0784
Rosetta,Rosetta RL,2020-10-01,-0.0757
Rosetta,Rosetta RL,2020-11-01,0.0129
Rosetta,Rosetta RL,2020-12-01,0.0265
Rosetta,Rosetta RL,2021-01-01,-0.0329
Rosetta,Rosetta RL,2021-02-01,-0.0058
Rosetta,Rosetta RL,2021-03-01,0.0582
Rosetta,Rosetta RL,2021-04-01,0.0752
Rosetta,Rosetta RL,2021-05-01,0.0768
Rosetta,Rosetta RL,2021-06-01,0.0624
Rosetta,Rosetta RL,2021-07-01,-0.0293
Rosetta,Rosetta RL,2021-08-01,-0.0009
Rosetta,Rosetta RL,2021-09-01,-0.0114
Rosetta,Rosetta RL,2021-10-01,0.0386
Rosetta,Rosetta RL,2021-11-01,0.1161
Rosetta,Rosetta RL,2021-12-01,-0.1489
Rosetta,Rosetta RL,2022-01-01,0.0590
Rosetta,Rosetta RL,2022-02-01,-0.0082
Rosetta,Rosetta RL,2022-03-01,-0.0739
Rosetta,Rosetta RL,2022-04-01,0.0968
Rosetta,Rosetta RL,2022-05-01,0.0219
Rosetta,Rosetta RL,2022-06-01,0.0577
Rosetta,Rosetta RL,2022-07-01,-0.1217
Rosetta,Rosetta RL,2022-08-01,0.1089
Rosetta,Rosetta RL,2022-09-01,-0.0759
Rosetta,Rosetta RL,2022-10-01,0.1434
Rosetta,Rosetta RL,2022-11-01,-0.0307
Rosetta,Rosetta RL,2022-12-01,-0.0091
Rosetta,Rosetta RL,2023-01-01,0.0603
Rosetta,Rosetta RL,2023-02-01,0.0336
Rosetta,Rosetta RL,2023-03-01,-0.1450
Rosetta,Rosetta RL,2023-04-01,-0.0566
Rosetta,Rosetta RL,2023-05-01,-0.0248
Rosetta,Rosetta RL,2023-06-01,0.1604
Rosetta,Rosetta RL,2023-07-01,0.0152
