Manager,Fund,Date,Change
Teza,Microstucture Fund,2019-11-01,0.0012
Teza,Microstucture Fund,2019-12-01,-0.0189
Teza,Microstucture Fund,2020-01-01,-0.0133
Teza,Microstucture Fund,2020-02-01,0.0669
Teza,Microstucture Fund,2020-03-01,-0.0181
Teza,Microstucture Fund,2020-04-01,0.0917
Teza,Microstucture Fund,2020-05-01,0.0277
Teza,Microstucture Fund,2020-06-01,0.0217
Teza,Microstucture Fund,2020-07-01,0.0034
Teza,Microstucture Fund,2020-08-01,-0.0286
Teza,Microstucture Fund,2020-09-01,-0.0148
Teza,Microstucture Fund,2020-10-01,0.0097
Teza,Microstucture Fund,2020-11-01,0.0379
Teza,Microstucture Fund,2020-12-01,-0.0017
Teza,Microstucture Fund,2021-01-01,-0.0117
Teza,Microstucture Fund,2021-02-01,0.0323
Teza,Microstucture Fund,2021-03-01,0.0144
Teza,Microstucture Fund,2021-04-01,0.0169
Teza,Microstucture Fund,2021-05-01,0.01
Teza,Microstucture Fund,2021-06-01,-0.0347
Teza,Microstucture Fund,2021-07-01,-0.0096
Teza,Microstucture Fund,2021-08-01,-0.005
Teza,Microstucture Fund,2021-09-01,-0.0689
Teza,Microstucture Fund,2021-10-01,0.0088
Teza,Microstucture Fund,2021-11-01,0.054
Teza,Microstucture Fund,2021-12-01,0.0025
Teza,Microstucture Fund,2022-01-01,-0.0366
Teza,Microstucture Fund,2022-02-01,0.0127
Teza,Microstucture Fund,2022-03-01,0.0428
Teza,Microstucture Fund,2022-04-01,0.001
Teza,Microstucture Fund,2022-05-01,0.0359
Teza,Microstucture Fund,2022-06-01,0.0232
Teza,Microstucture Fund,2022-07-01,0.0653
Teza,Microstucture Fund,2022-08-01,0.0013
Teza,Microstucture Fund,2022-09-01,0.008
Teza,Microstucture Fund,2022-10-01,0.0161
Teza,Microstucture Fund,2022-11-01,-0.0382
Teza,Microstucture Fund,2022-12-01,-0.0511
Teza,Microstucture Fund,2023-01-01,-0.0173
Teza,Microstucture Fund,2023-02-01,0.0343
Teza,Microstucture Fund,2023-03-01,-0.0219
Teza,Microstucture Fund,2023-04-01,0.0137
Teza,Microstucture Fund,2023-05-01,-0.0083
Teza,Microstucture Fund,2023-06-01,0.0214
Teza,Microstucture Fund,2023-07-01,0.0288
