Manager,Fund,Date,Change
Trident,Trident Capital Management GM,2019-01-01,0.0090
Trident,Trident Capital Management GM,2019-02-01,0.0230
Trident,Trident Capital Management GM,2019-03-01,0.0320
Trident,Trident Capital Management GM,2019-04-01,0.0330
Trident,Trident Capital Management GM,2019-05-01,-0.0320
Trident,Trident Capital Management GM,2019-06-01,0.0890
Trident,Trident Capital Management GM,2019-07-01,0.0040
Trident,Trident Capital Management GM,2019-08-01,0.0210
Trident,Trident Capital Management GM,2019-09-01,-0.0530
Trident,Trident Capital Management GM,2019-10-01,-0.0080
Trident,Trident Capital Management GM,2019-11-01,0.0170
Trident,Trident Capital Management GM,2019-12-01,0.0250
Trident,Trident Capital Management GM,2020-01-01,0.0060
Trident,Trident Capital Management GM,2020-02-01,-0.0120
Trident,Trident Capital Management GM,2020-03-01,0.1030
Trident,Trident Capital Management GM,2020-04-01,-0.0200
Trident,Trident Capital Management GM,2020-05-01,-0.0020
Trident,Trident Capital Management GM,2020-06-01,0.0110
Trident,Trident Capital Management GM,2020-07-01,0.0460
Trident,Trident Capital Management GM,2020-08-01,0.0610
Trident,Trident Capital Management GM,2020-09-01,-0.0620
Trident,Trident Capital Management GM,2020-10-01,-0.0100
Trident,Trident Capital Management GM,2020-11-01,0.0120
Trident,Trident Capital Management GM,2020-12-01,0.0160
Trident,Trident Capital Management GM,2021-01-01,-0.0630
Trident,Trident Capital Management GM,2021-02-01,0.0610
Trident,Trident Capital Management GM,2021-03-01,0.0090
Trident,Trident Capital Management GM,2021-04-01,0.0200
Trident,Trident Capital Management GM,2021-05-01,0.0014
Trident,Trident Capital Management GM,2021-06-01,-0.0010
Trident,Trident Capital Management GM,2021-07-01,0.0220
Trident,Trident Capital Management GM,2021-08-01,0.0100
Trident,Trident Capital Management GM,2021-09-01,-0.0660
Trident,Trident Capital Management GM,2021-10-01,0.0610
Trident,Trident Capital Management GM,2021-11-01,-0.0660
Trident,Trident Capital Management GM,2021-12-01,0.0070
Trident,Trident Capital Management GM,2022-01-01,-0.0170
Trident,Trident Capital Management GM,2022-02-01,0.0010
Trident,Trident Capital Management GM,2022-03-01,0.0021
Trident,Trident Capital Management GM,2022-04-01,0.0090
Trident,Trident Capital Management GM,2022-05-01,-0.0050
Trident,Trident Capital Management GM,2022-06-01,0.0060
Trident,Trident Capital Management GM,2022-07-01,0.0050
Trident,Trident Capital Management GM,2022-08-01,-0.0060
Trident,Trident Capital Management GM,2022-09-01,0.0240
Trident,Trident Capital Management GM,2022-10-01,0.0170
Trident,Trident Capital Management GM,2022-11-01,0.0080
Trident,Trident Capital Management GM,2022-12-01,-0.0060
Trident,Trident Capital Management GM,2023-01-01,0.0070
Trident,Trident Capital Management GM,2023-02-01,-0.0210
Trident,Trident Capital Management GM,2023-03-01,0.0240
Trident,Trident Capital Management GM,2023-04-01,0.0010
Trident,Trident Capital Management GM,2023-05-01,0.0040
Trident,Trident Capital Management GM,2023-06-01,0.0270
Trident,Trident Capital Management GM,2023-07-01,0.0210
