Manager,Fund,Date,Change
Rosetta,Rosetta DL One,2017-09-01,0.0161
Rosetta,Rosetta DL One,2017-10-01,-0.0109
Rosetta,Rosetta DL One,2017-11-01,0.0233
Rosetta,Rosetta DL One,2017-12-01,0.0081
Rosetta,Rosetta DL One,2018-01-01,0.0219
Rosetta,Rosetta DL One,2018-02-01,-0.059
Rosetta,Rosetta DL One,2018-03-01,-0.0706
Rosetta,Rosetta DL One,2018-04-01,0.0877
Rosetta,Rosetta DL One,2018-05-01,0.0876
Rosetta,Rosetta DL One,2018-06-01,0.0134
Rosetta,Rosetta DL One,2018-07-01,-0.0157
Rosetta,Rosetta DL One,2018-08-01,0.0042
Rosetta,Rosetta DL One,2018-09-01,-0.022
Rosetta,Rosetta DL One,2018-10-01,-0.0027
Rosetta,Rosetta DL One,2018-11-01,0.0005
Rosetta,Rosetta DL One,2018-12-01,-0.0641
Rosetta,Rosetta DL One,2019-01-01,0.0602
Rosetta,Rosetta DL One,2019-02-01,-0.0239
Rosetta,Rosetta DL One,2019-03-01,0.0764
Rosetta,Rosetta DL One,2019-04-01,0.0201
Rosetta,Rosetta DL One,2019-05-01,-0.0122
Rosetta,Rosetta DL One,2019-06-01,-0.0272
Rosetta,Rosetta DL One,2019-07-01,-0.0364
Rosetta,Rosetta DL One,2019-08-01,-0.0153
Rosetta,Rosetta DL One,2019-09-01,0.0133
Rosetta,Rosetta DL One,2019-10-01,0.0813
Rosetta,Rosetta DL One,2019-11-01,0.0063
Rosetta,Rosetta DL One,2019-12-01,0.025
Rosetta,Rosetta DL One,2020-01-01,0.0443
Rosetta,Rosetta DL One,2020-02-01,-0.127
Rosetta,Rosetta DL One,2020-03-01,0.2211
Rosetta,Rosetta DL One,2020-04-01,0.1075
Rosetta,Rosetta DL One,2020-05-01,-0.0668
Rosetta,Rosetta DL One,2020-06-01,-0.024
Rosetta,Rosetta DL One,2020-07-01,-0.0038
Rosetta,Rosetta DL One,2020-08-01,-0.0229
Rosetta,Rosetta DL One,2020-09-01,0.036
Rosetta,Rosetta DL One,2020-10-01,-0.0145
Rosetta,Rosetta DL One,2020-11-01,-0.0722
Rosetta,Rosetta DL One,2020-12-01,0.0255
Rosetta,Rosetta DL One,2021-01-01,-0.0877
Rosetta,Rosetta DL One,2021-02-01,-0.0138
Rosetta,Rosetta DL One,2021-03-01,0.0166
Rosetta,Rosetta DL One,2021-04-01,-0.0192
Rosetta,Rosetta DL One,2021-05-01,-0.0174
Rosetta,Rosetta DL One,2021-06-01,0.0551
Rosetta,Rosetta DL One,2021-07-01,-0.0194
Rosetta,Rosetta DL One,2021-08-01,-0.0003
Rosetta,Rosetta DL One,2021-09-01,-0.0437
Rosetta,Rosetta DL One,2021-10-01,0.0078
Rosetta,Rosetta DL One,2021-11-01,0.0286
Rosetta,Rosetta DL One,2021-12-01,0.0896
Rosetta,Rosetta DL One,2022-01-01,0.0522
Rosetta,Rosetta DL One,2022-02-01,0.0391
Rosetta,Rosetta DL One,2022-03-01,0.0166
Rosetta,Rosetta DL One,2022-04-01,-0.0109
Rosetta,Rosetta DL One,2022-05-01,0.1575
Rosetta,Rosetta DL One,2022-06-01,-0.0197
Rosetta,Rosetta DL One,2022-07-01,0.0513
Rosetta,Rosetta DL One,2022-08-01,0.0007
Rosetta,Rosetta DL One,2022-09-01,-0.0081
Rosetta,Rosetta DL One,2022-10-01,0.0032
Rosetta,Rosetta DL One,2022-11-01,0.0666
Rosetta,Rosetta DL One,2022-12-01,-0.0572
Rosetta,Rosetta DL One,2023-01-01,-0.0442
Rosetta,Rosetta DL One,2023-02-01,-0.053
Rosetta,Rosetta DL One,2023-03-01,0.1277
Rosetta,Rosetta DL One,2023-04-01,0.0108
Rosetta,Rosetta DL One,2023-05-01,-0.0251
Rosetta,Rosetta DL One,2023-06-01,0.0786
Rosetta,Rosetta DL One,2023-07-01,0.0062
Rosetta,Rosetta DL One,2023-08-01,-0.0656
Rosetta,Rosetta DL One,2023-09-01,0.0145
Rosetta,Rosetta DL One,2023-10-01,-0.0064
Rosetta,Rosetta DL One,2023-11-01,-0.0624
Rosetta,Rosetta DL One,2023-12-01,-0.033
Rosetta,Rosetta DL One,2024-01-01,0.0497
Rosetta,Rosetta DL One,2024-02-01,-0.0002
Rosetta,Rosetta DL One,2024-03-01,0.0194
Rosetta,Rosetta DL One,2024-04-01,0.0144
Rosetta,Rosetta DL One,2024-05-01,-0.0413
Rosetta,Rosetta DL One,2024-06-01,0.0035
