Manager,Fund,Date,Change
Advent Phoenix,Phoenix Convertible Income,2020-01-01,0.0126
Advent Phoenix,Phoenix Convertible Income,2020-02-01,-0.0327
Advent Phoenix,Phoenix Convertible Income,2020-03-01,-0.1149
Advent Phoenix,Phoenix Convertible Income,2020-04-01,0.1076
Advent Phoenix,Phoenix Convertible Income,2020-05-01,0.0679
Advent Phoenix,Phoenix Convertible Income,2020-06-01,0.0426
Advent Phoenix,Phoenix Convertible Income,2020-07-01,0.0618
Advent Phoenix,Phoenix Convertible Income,2020-08-01,0.0685
Advent Phoenix,Phoenix Convertible Income,2020-09-01,-0.0202
Advent Phoenix,Phoenix Convertible Income,2020-10-01,0.0022
Advent Phoenix,Phoenix Convertible Income,2020-11-01,0.1178
Advent Phoenix,Phoenix Convertible Income,2020-12-01,0.0628
Advent Phoenix,Phoenix Convertible Income,2021-01-01,0.0133
Advent Phoenix,Phoenix Convertible Income,2021-02-01,0.0428
Advent Phoenix,Phoenix Convertible Income,2021-03-01,-0.024
Advent Phoenix,Phoenix Convertible Income,2021-04-01,0.0277
Advent Phoenix,Phoenix Convertible Income,2021-05-01,-0.0138
Advent Phoenix,Phoenix Convertible Income,2021-06-01,0.0228
Advent Phoenix,Phoenix Convertible Income,2021-07-01,-0.0075
Advent Phoenix,Phoenix Convertible Income,2021-08-01,0.0122
Advent Phoenix,Phoenix Convertible Income,2021-09-01,-0.0126
Advent Phoenix,Phoenix Convertible Income,2021-10-01,0.0231
Advent Phoenix,Phoenix Convertible Income,2021-11-01,-0.043
Advent Phoenix,Phoenix Convertible Income,2021-12-01,0.0123
Advent Phoenix,Phoenix Convertible Income,2022-01-01,0.0257
Advent Phoenix,Phoenix Convertible Income,2022-02-01,0.0116
Advent Phoenix,Phoenix Convertible Income,2022-03-01,0.0003
Advent Phoenix,Phoenix Convertible Income,2022-04-01,0.0451
Advent Phoenix,Phoenix Convertible Income,2022-05-01,0.0284
Advent Phoenix,Phoenix Convertible Income,2022-06-01,0.0431
Advent Phoenix,Phoenix Convertible Income,2022-07-01,0.0354
Advent Phoenix,Phoenix Convertible Income,2022-08-01,0.0057
Advent Phoenix,Phoenix Convertible Income,2022-09-01,0.0461
Advent Phoenix,Phoenix Convertible Income,2022-10-01,0.0238
Advent Phoenix,Phoenix Convertible Income,2022-11-01,0.0222
Advent Phoenix,Phoenix Convertible Income,2022-12-01,0.004
Advent Phoenix,Phoenix Convertible Income,2023-01-01,0.045
Advent Phoenix,Phoenix Convertible Income,2023-02-01,-0.0212
Advent Phoenix,Phoenix Convertible Income,2023-03-01,-0.0005
Advent Phoenix,Phoenix Convertible Income,2023-04-01,-0.0045
Advent Phoenix,Phoenix Convertible Income,2023-05-01,0.01
Advent Phoenix,Phoenix Convertible Income,2023-06-01,0.0221
Advent Phoenix,Phoenix Convertible Income,2023-07-01,0.0142
Advent Phoenix,Phoenix Convertible Income,2023-08-01,-0.0221
Advent Phoenix,Phoenix Convertible Income,2023-09-01,-0.0188
Advent Phoenix,Phoenix Convertible Income,2023-10-01,-0.0401
Advent Phoenix,Phoenix Convertible Income,2023-11-01,0.0442
Advent Phoenix,Phoenix Convertible Income,2023-12-01,0.0557
Advent Phoenix,Phoenix Convertible Income,2024-01-01,-0.0095
Advent Phoenix,Phoenix Convertible Income,2024-02-01,0.0052
Advent Phoenix,Phoenix Convertible Income,2024-03-01,0.0206
Advent Phoenix,Phoenix Convertible Income,2024-04-01,-0.0232
Advent Phoenix,Phoenix Convertible Income,2024-05-01,0.0146
Advent Phoenix,Phoenix Convertible Income,2024-06-01,0.0114
