Manager,Fund,Date,Change
Aizawa Asset Management,Asuka Opportunities ,2019-01-01,-0.0016
Aizawa Asset Management,Asuka Opportunities ,2019-02-01,-0.017
Aizawa Asset Management,Asuka Opportunities ,2019-03-01,-0.0146
Aizawa Asset Management,Asuka Opportunities ,2019-04-01,-0.0106
Aizawa Asset Management,Asuka Opportunities ,2019-05-01,-0.0078
Aizawa Asset Management,Asuka Opportunities ,2019-06-01,0.0068
Aizawa Asset Management,Asuka Opportunities ,2019-07-01,-0.0015
Aizawa Asset Management,Asuka Opportunities ,2019-08-01,-0.018
Aizawa Asset Management,Asuka Opportunities ,2019-09-01,-0.0144
Aizawa Asset Management,Asuka Opportunities ,2019-10-01,0.01
Aizawa Asset Management,Asuka Opportunities ,2019-11-01,-0.0066
Aizawa Asset Management,Asuka Opportunities ,2019-12-01,0.0148
Aizawa Asset Management,Asuka Opportunities ,2020-01-01,0.0124
Aizawa Asset Management,Asuka Opportunities ,2020-02-01,0.0035
Aizawa Asset Management,Asuka Opportunities ,2020-03-01,0.0096
Aizawa Asset Management,Asuka Opportunities ,2020-04-01,0.039
Aizawa Asset Management,Asuka Opportunities ,2020-05-01,0.0025
Aizawa Asset Management,Asuka Opportunities ,2020-06-01,0.0163
Aizawa Asset Management,Asuka Opportunities ,2020-07-01,0.0163
Aizawa Asset Management,Asuka Opportunities ,2020-08-01,0.001
Aizawa Asset Management,Asuka Opportunities ,2020-09-01,0.0182
Aizawa Asset Management,Asuka Opportunities ,2020-10-01,0.0164
Aizawa Asset Management,Asuka Opportunities ,2020-11-01,-0.0018
Aizawa Asset Management,Asuka Opportunities ,2020-12-01,0.0083
Aizawa Asset Management,Asuka Opportunities ,2021-01-01,-0.0055
Aizawa Asset Management,Asuka Opportunities ,2021-02-01,0.0138
Aizawa Asset Management,Asuka Opportunities ,2021-03-01,0.0037
Aizawa Asset Management,Asuka Opportunities ,2021-04-01,0.0058
Aizawa Asset Management,Asuka Opportunities ,2021-05-01,0.008
Aizawa Asset Management,Asuka Opportunities ,2021-06-01,-0.003
Aizawa Asset Management,Asuka Opportunities ,2021-07-01,-0.0125
Aizawa Asset Management,Asuka Opportunities ,2021-08-01,-0.0071
Aizawa Asset Management,Asuka Opportunities ,2021-09-01,-0.001
Aizawa Asset Management,Asuka Opportunities ,2021-10-01,0.0049
Aizawa Asset Management,Asuka Opportunities ,2021-11-01,0.036
Aizawa Asset Management,Asuka Opportunities ,2021-12-01,0.0011
Aizawa Asset Management,Asuka Opportunities ,2022-01-01,-0.0168
Aizawa Asset Management,Asuka Opportunities ,2022-02-01,-0.0134
Aizawa Asset Management,Asuka Opportunities ,2022-03-01,0.0093
Aizawa Asset Management,Asuka Opportunities ,2022-04-01,0.0088
Aizawa Asset Management,Asuka Opportunities ,2022-05-01,0.0103
Aizawa Asset Management,Asuka Opportunities ,2022-06-01,-0.00045
Aizawa Asset Management,Asuka Opportunities ,2022-07-01,-0.0297
Aizawa Asset Management,Asuka Opportunities ,2022-08-01,0.0336
Aizawa Asset Management,Asuka Opportunities ,2022-09-01,-0.0329
Aizawa Asset Management,Asuka Opportunities ,2022-10-01,0.0243
Aizawa Asset Management,Asuka Opportunities ,2022-11-01,0.0054
Aizawa Asset Management,Asuka Opportunities ,2022-12-01,0.0346
Aizawa Asset Management,Asuka Opportunities ,2023-01-01,-0.0084
Aizawa Asset Management,Asuka Opportunities ,2023-02-01,-0.0065
Aizawa Asset Management,Asuka Opportunities ,2023-03-01,0.005
Aizawa Asset Management,Asuka Opportunities ,2023-04-01,-0.0046
Aizawa Asset Management,Asuka Opportunities ,2023-05-01,-0.0342
Aizawa Asset Management,Asuka Opportunities ,2023-06-01,-0.0008
Aizawa Asset Management,Asuka Opportunities ,2023-07-01,-0.0062
Aizawa Asset Management,Asuka Opportunities ,2023-08-01,0.0205
Aizawa Asset Management,Asuka Opportunities ,2023-09-01,0.0019
Aizawa Asset Management,Asuka Opportunities ,2023-10-01,-0.0134
Aizawa Asset Management,Asuka Opportunities ,2023-11-01,-0.0258
Aizawa Asset Management,Asuka Opportunities ,2023-12-01,-0.0001
Aizawa Asset Management,Asuka Opportunities ,2024-01-01,-0.0058
Aizawa Asset Management,Asuka Opportunities ,2024-02-01,0.0214
Aizawa Asset Management,Asuka Opportunities ,2024-03-01,-0.0098
Aizawa Asset Management,Asuka Opportunities ,2024-04-01,-0.0079
Aizawa Asset Management,Asuka Opportunities ,2024-05-01,-0.0089
Aizawa Asset Management,Asuka Opportunities ,2024-06-01,-0.0025
,,,
