Manager,Fund,Date,Change
Aptior Capital,Aptior Capital Fund Ltd. Class A,2018-09-01,-0.0034
Aptior Capital,Aptior Capital Fund Ltd. Class A,2018-10-01,-0.0033
Aptior Capital,Aptior Capital Fund Ltd. Class A,2018-11-01,0.0028
Aptior Capital,Aptior Capital Fund Ltd. Class A,2018-12-01,-0.0076
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-01-01,-0.0049
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-02-01,0.0042
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-03-01,-0.0044
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-04-01,0.0032
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-05-01,0.0004
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-06-01,0.0079
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-07-01,0.0096
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-08-01,0.004
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-09-01,0.0042
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-10-01,0.0177
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-11-01,0.0092
Aptior Capital,Aptior Capital Fund Ltd. Class A,2019-12-01,0.0002
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-01-01,-0.0002
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-02-01,0.01
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-03-01,-0.0716
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-04-01,-0.0049
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-05-01,0.0023
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-06-01,0.0145
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-07-01,-0.0047
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-08-01,0.011
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-09-01,0.0048
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-10-01,-0.0082
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-11-01,0.0385
Aptior Capital,Aptior Capital Fund Ltd. Class A,2020-12-01,0.0272
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-01-01,0.0269
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-02-01,0.0286
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-03-01,0.0338
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-04-01,0.0253
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-05-01,0.0256
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-06-01,0.0213
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-07-01,0.0153
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-08-01,0.0143
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-09-01,0.0089
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-10-01,-0.003
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-11-01,-0.0008
Aptior Capital,Aptior Capital Fund Ltd. Class A,2021-12-01,0.0107
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-01-01,0.0145
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-02-01,-0.0258
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-03-01,0.0216
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-04-01,0.0005
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-05-01,-0.004
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-06-01,-0.0378
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-07-01,-0.0016
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-08-01,-0.0043
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-09-01,-0.013
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-10-01,-0.0249
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-11-01,-0.0098
Aptior Capital,Aptior Capital Fund Ltd. Class A,2022-12-01,-0.0393
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-01-01,0.0285
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-02-01,0.0104
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-03-01,-0.0316
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-04-01,0.0085
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-05-01,0.0045
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-06-01,-0.0061
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-07-01,0.0152
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-08-01,-0.0068
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-09-01,-0.001
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-10-01,-0.0061
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-11-01,0.0084
Aptior Capital,Aptior Capital Fund Ltd. Class A,2023-12-01,0.0094
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-01-01,0.0234
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-02-01,0.0217
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-03-01,-0.0007
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-04-01,-0.0007
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-05-01,0.0194
Aptior Capital,Aptior Capital Fund Ltd. Class A,2024-06-01,0.0044
