Manager,Fund,Date,Change
Asturias Investor Relations,Asturias Capital Commingled,2017-07-01,0.016
Asturias Investor Relations,Asturias Capital Commingled,2017-08-01,0.029
Asturias Investor Relations,Asturias Capital Commingled,2017-09-01,-0.022
Asturias Investor Relations,Asturias Capital Commingled,2017-10-01,0.02
Asturias Investor Relations,Asturias Capital Commingled,2017-11-01,-0.036
Asturias Investor Relations,Asturias Capital Commingled,2017-12-01,0.003
Asturias Investor Relations,Asturias Capital Commingled,2018-01-01,0.036
Asturias Investor Relations,Asturias Capital Commingled,2018-02-01,-0.026
Asturias Investor Relations,Asturias Capital Commingled,2018-03-01,-0.014
Asturias Investor Relations,Asturias Capital Commingled,2018-04-01,-0.028
Asturias Investor Relations,Asturias Capital Commingled,2018-05-01,0.041
Asturias Investor Relations,Asturias Capital Commingled,2018-06-01,-0.003
Asturias Investor Relations,Asturias Capital Commingled,2018-07-01,-0.035
Asturias Investor Relations,Asturias Capital Commingled,2018-08-01,0.042
Asturias Investor Relations,Asturias Capital Commingled,2018-09-01,0.017
Asturias Investor Relations,Asturias Capital Commingled,2018-10-01,-0.044
Asturias Investor Relations,Asturias Capital Commingled,2018-11-01,-0.02
Asturias Investor Relations,Asturias Capital Commingled,2018-12-01,0.02
Asturias Investor Relations,Asturias Capital Commingled,2019-01-01,0.032
Asturias Investor Relations,Asturias Capital Commingled,2019-02-01,-0.003
Asturias Investor Relations,Asturias Capital Commingled,2019-03-01,0.029
Asturias Investor Relations,Asturias Capital Commingled,2019-04-01,0.016
Asturias Investor Relations,Asturias Capital Commingled,2019-05-01,0.003
Asturias Investor Relations,Asturias Capital Commingled,2019-06-01,0.017
Asturias Investor Relations,Asturias Capital Commingled,2019-07-01,0.012
Asturias Investor Relations,Asturias Capital Commingled,2019-08-01,0.006
Asturias Investor Relations,Asturias Capital Commingled,2019-09-01,0.002
Asturias Investor Relations,Asturias Capital Commingled,2019-10-01,0.022
Asturias Investor Relations,Asturias Capital Commingled,2019-11-01,0.022
Asturias Investor Relations,Asturias Capital Commingled,2019-12-01,0.007
Asturias Investor Relations,Asturias Capital Commingled,2020-01-01,0.046
Asturias Investor Relations,Asturias Capital Commingled,2020-02-01,0.021
Asturias Investor Relations,Asturias Capital Commingled,2020-03-01,-0.049
Asturias Investor Relations,Asturias Capital Commingled,2020-04-01,0.059
Asturias Investor Relations,Asturias Capital Commingled,2020-05-01,0.042
Asturias Investor Relations,Asturias Capital Commingled,2020-06-01,0.032
Asturias Investor Relations,Asturias Capital Commingled,2020-07-01,-0.002
Asturias Investor Relations,Asturias Capital Commingled,2020-08-01,0.034
Asturias Investor Relations,Asturias Capital Commingled,2020-09-01,-0.004
Asturias Investor Relations,Asturias Capital Commingled,2020-10-01,0.025
Asturias Investor Relations,Asturias Capital Commingled,2020-11-01,0.03
Asturias Investor Relations,Asturias Capital Commingled,2020-12-01,0
Asturias Investor Relations,Asturias Capital Commingled,2021-01-01,-0.013
