Manager,Fund,Date,Change
Banco De Investimento Global,BiG Diversified Macro,2018-06-01,-0.0054
Banco De Investimento Global,BiG Diversified Macro,2018-07-01,-0.0009
Banco De Investimento Global,BiG Diversified Macro,2018-08-01,0.0136
Banco De Investimento Global,BiG Diversified Macro,2018-09-01,-0.0046
Banco De Investimento Global,BiG Diversified Macro,2018-10-01,-0.0192
Banco De Investimento Global,BiG Diversified Macro,2018-11-01,0.0212
Banco De Investimento Global,BiG Diversified Macro,2018-12-01,0.013
Banco De Investimento Global,BiG Diversified Macro,2019-01-01,-0.0075
Banco De Investimento Global,BiG Diversified Macro,2019-02-01,0.0149
Banco De Investimento Global,BiG Diversified Macro,2019-03-01,-0.0183
Banco De Investimento Global,BiG Diversified Macro,2019-04-01,0.0171
Banco De Investimento Global,BiG Diversified Macro,2019-05-01,-0.0204
Banco De Investimento Global,BiG Diversified Macro,2019-06-01,0.0035
Banco De Investimento Global,BiG Diversified Macro,2019-07-01,0.0001
Banco De Investimento Global,BiG Diversified Macro,2019-08-01,-0.0307
Banco De Investimento Global,BiG Diversified Macro,2019-09-01,-0.0143
Banco De Investimento Global,BiG Diversified Macro,2019-10-01,0.0121
Banco De Investimento Global,BiG Diversified Macro,2019-11-01,0.0019
Banco De Investimento Global,BiG Diversified Macro,2019-12-01,0.0336
Banco De Investimento Global,BiG Diversified Macro,2020-01-01,-0.0054
Banco De Investimento Global,BiG Diversified Macro,2020-02-01,-0.0197
Banco De Investimento Global,BiG Diversified Macro,2020-03-01,-0.0222
Banco De Investimento Global,BiG Diversified Macro,2020-04-01,0.0181
Banco De Investimento Global,BiG Diversified Macro,2020-05-01,0.0108
Banco De Investimento Global,BiG Diversified Macro,2020-06-01,-0.0057
Banco De Investimento Global,BiG Diversified Macro,2020-07-01,0.0086
Banco De Investimento Global,BiG Diversified Macro,2020-08-01,-0.0009
Banco De Investimento Global,BiG Diversified Macro,2020-09-01,-0.0078
Banco De Investimento Global,BiG Diversified Macro,2020-10-01,-0.0053
Banco De Investimento Global,BiG Diversified Macro,2020-11-01,0.0384
Banco De Investimento Global,BiG Diversified Macro,2020-12-01,0.0299
Banco De Investimento Global,BiG Diversified Macro,2021-01-01,0.0162
Banco De Investimento Global,BiG Diversified Macro,2021-02-01,0.0309
Banco De Investimento Global,BiG Diversified Macro,2021-03-01,0.0111
Banco De Investimento Global,BiG Diversified Macro,2021-04-01,-0.0012
Banco De Investimento Global,BiG Diversified Macro,2021-05-01,0.0125
Banco De Investimento Global,BiG Diversified Macro,2021-06-01,-0.0113
Banco De Investimento Global,BiG Diversified Macro,2021-07-01,0.0093
Banco De Investimento Global,BiG Diversified Macro,2021-08-01,0.0165
Banco De Investimento Global,BiG Diversified Macro,2021-09-01,0.0179
Banco De Investimento Global,BiG Diversified Macro,2021-10-01,0.001
Banco De Investimento Global,BiG Diversified Macro,2021-11-01,-0.0335
Banco De Investimento Global,BiG Diversified Macro,2021-12-01,-0.0019
Banco De Investimento Global,BiG Diversified Macro,2022-01-01,0.0048
Banco De Investimento Global,BiG Diversified Macro,2022-02-01,0.0086
Banco De Investimento Global,BiG Diversified Macro,2022-03-01,0.011
Banco De Investimento Global,BiG Diversified Macro,2022-04-01,0.0402
Banco De Investimento Global,BiG Diversified Macro,2022-05-01,0.0032
Banco De Investimento Global,BiG Diversified Macro,2022-06-01,-0.0123
Banco De Investimento Global,BiG Diversified Macro,2022-07-01,-0.0104
Banco De Investimento Global,BiG Diversified Macro,2022-08-01,0.0089
Banco De Investimento Global,BiG Diversified Macro,2022-09-01,0.0018
Banco De Investimento Global,BiG Diversified Macro,2022-10-01,0.0011
Banco De Investimento Global,BiG Diversified Macro,2022-11-01,-0.0167
Banco De Investimento Global,BiG Diversified Macro,2022-12-01,-0.0128
Banco De Investimento Global,BiG Diversified Macro,2023-01-01,0.0108
Banco De Investimento Global,BiG Diversified Macro,2023-02-01,0.024
Banco De Investimento Global,BiG Diversified Macro,2023-03-01,0.0053
Banco De Investimento Global,BiG Diversified Macro,2023-04-01,0.022
Banco De Investimento Global,BiG Diversified Macro,2023-05-01,0.0144
Banco De Investimento Global,BiG Diversified Macro,2023-06-01,0.014
Banco De Investimento Global,BiG Diversified Macro,2023-07-01,0.0051
Banco De Investimento Global,BiG Diversified Macro,2023-08-01,0.0222
Banco De Investimento Global,BiG Diversified Macro,2023-09-01,0.0192
Banco De Investimento Global,BiG Diversified Macro,2023-10-01,0.0041
Banco De Investimento Global,BiG Diversified Macro,2023-11-01,-0.0072
Banco De Investimento Global,BiG Diversified Macro,2023-12-01,-0.0051
Banco De Investimento Global,BiG Diversified Macro,2024-01-01,0.0228
Banco De Investimento Global,BiG Diversified Macro,2024-02-01,0.0268
Banco De Investimento Global,BiG Diversified Macro,2024-03-01,0.0193
Banco De Investimento Global,BiG Diversified Macro,2024-04-01,0.0122
Banco De Investimento Global,BiG Diversified Macro,2024-05-01,-0.0077
Banco De Investimento Global,BiG Diversified Macro,2024-06-01,-0.0047
