Manager,Fund,Date,Change
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-01-01,0.001
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-02-01,-0.044
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-03-01,0.03
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-04-01,-0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-05-01,-0.028
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-06-01,0.016
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-07-01,0.018
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-08-01,0.021
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-09-01,-0.03
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-10-01,-0.07
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-11-01,-0.006
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2017-12-01,-0.002
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-01-01,-0.064
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-02-01,0.119
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-03-01,0.008
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-04-01,0.043
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-05-01,0.007
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-06-01,-0.029
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-07-01,0.008
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-08-01,0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-09-01,-0.015
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-10-01,0
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-11-01,-0.018
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2018-12-01,0.007
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-01-01,0.035
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-02-01,0
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-03-01,-0.001
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-04-01,0.009
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-05-01,0.034
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-06-01,0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-07-01,0.003
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-08-01,-0.013
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-09-01,0.013
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-10-01,0.03
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-11-01,0.048
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2019-12-01,0.029
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-01-01,0.023
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-02-01,0.057
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-03-01,0.114
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-04-01,0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-05-01,-0.021
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-06-01,-0.075
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-07-01,0.026
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-08-01,-0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-09-01,0.039
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-10-01,-0.02
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-11-01,0.005
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2020-12-01,0.013
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-01-01,-0.002
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-02-01,0.014
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-03-01,0.014
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-04-01,0.002
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-05-01,-0.02
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-06-01,0.004
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-07-01,0.018
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-08-01,-0.024
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-09-01,0.042
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-10-01,-0.013
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-11-01,-0.044
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2021-12-01,0.009
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-01-01,-0.04
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-02-01,0.007
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-03-01,0.049
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-04-01,0.01
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-05-01,0.059
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-06-01,0.008
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-07-01,0.043
Carmika Partners Investment,Carmika Alpha Hedge Strategy,2022-08-01,0.028
