Manager,Fund,Date,Change
Chepstow Lane Capital,Chepstow Credit Opportunities,2022-10-01,0.0059
Chepstow Lane Capital,Chepstow Credit Opportunities,2022-11-01,0.0139
Chepstow Lane Capital,Chepstow Credit Opportunities,2022-12-01,-0.0088
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-01-01,0.0319
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-02-01,0.0012
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-03-01,-0.0259
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-04-01,0.0138
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-05-01,0.0135
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-06-01,0.0151
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-07-01,0.024
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-08-01,0.05
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-09-01,0.0181
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-10-01,-0.0127
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-11-01,0.0193
Chepstow Lane Capital,Chepstow Credit Opportunities,2023-12-01,0.0218
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-01-01,0.0308
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-02-01,0.0135
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-03-01,0.0021
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-04-01,0.0032
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-05-01,0.0165
Chepstow Lane Capital,Chepstow Credit Opportunities,2024-06-01,0.0069
