Manager,Fund,Date,Change
Claughton Capital LLC,Claughton,2019-01-01,-0.0338
Claughton Capital LLC,Claughton,2019-02-01,-0.0445
Claughton Capital LLC,Claughton,2019-03-01,-0.0347
Claughton Capital LLC,Claughton,2019-04-01,0.0126
Claughton Capital LLC,Claughton,2019-05-01,0.0508
Claughton Capital LLC,Claughton,2019-06-01,0.0474
Claughton Capital LLC,Claughton,2019-07-01,-0.0336
Claughton Capital LLC,Claughton,2019-08-01,0.037
Claughton Capital LLC,Claughton,2019-09-01,-0.0164
Claughton Capital LLC,Claughton,2019-10-01,-0.0453
Claughton Capital LLC,Claughton,2019-11-01,0.0616
Claughton Capital LLC,Claughton,2019-12-01,0.0085
Claughton Capital LLC,Claughton,2020-01-01,0.0379
Claughton Capital LLC,Claughton,2020-02-01,0.0979
Claughton Capital LLC,Claughton,2020-03-01,0.1648
Claughton Capital LLC,Claughton,2020-04-01,-0.0033
Claughton Capital LLC,Claughton,2020-05-01,-0.0075
Claughton Capital LLC,Claughton,2020-06-01,-0.039
Claughton Capital LLC,Claughton,2020-07-01,0.0323
Claughton Capital LLC,Claughton,2020-08-01,0.0314
Claughton Capital LLC,Claughton,2020-09-01,0.0001
Claughton Capital LLC,Claughton,2020-10-01,0.0056
Claughton Capital LLC,Claughton,2020-11-01,-0.0196
Claughton Capital LLC,Claughton,2020-12-01,0.0232
Claughton Capital LLC,Claughton,2021-01-01,-0.0041
Claughton Capital LLC,Claughton,2021-02-01,0.0548
Claughton Capital LLC,Claughton,2021-03-01,0.0241
Claughton Capital LLC,Claughton,2021-04-01,0.0077
Claughton Capital LLC,Claughton,2021-05-01,-0.0315
Claughton Capital LLC,Claughton,2021-06-01,0.0001
Claughton Capital LLC,Claughton,2021-07-01,-0.0267
Claughton Capital LLC,Claughton,2021-08-01,-0.0006
Claughton Capital LLC,Claughton,2021-09-01,0.0037
Claughton Capital LLC,Claughton,2021-10-01,0.0118
Claughton Capital LLC,Claughton,2021-11-01,0.01
Claughton Capital LLC,Claughton,2021-12-01,-0.021
Claughton Capital LLC,Claughton,2022-01-01,0.0588
Claughton Capital LLC,Claughton,2022-02-01,-0.0368
Claughton Capital LLC,Claughton,2022-03-01,0.0387
Claughton Capital LLC,Claughton,2022-04-01,0.0387
Claughton Capital LLC,Claughton,2022-05-01,-0.0224
Claughton Capital LLC,Claughton,2022-06-01,0.0129
Claughton Capital LLC,Claughton,2022-07-01,0.0322
Claughton Capital LLC,Claughton,2022-08-01,-0.0012
Claughton Capital LLC,Claughton,2022-09-01,0.0386
Claughton Capital LLC,Claughton,2022-10-01,-0.0251
Claughton Capital LLC,Claughton,2022-11-01,0.0018
Claughton Capital LLC,Claughton,2022-12-01,0.0013
Claughton Capital LLC,Claughton,2023-01-01,-0.0375
Claughton Capital LLC,Claughton,2023-02-01,0.048
Claughton Capital LLC,Claughton,2023-03-01,-0.0116
Claughton Capital LLC,Claughton,2023-04-01,0.0007
Claughton Capital LLC,Claughton,2023-05-01,0.0352
Claughton Capital LLC,Claughton,2023-06-01,-0.0125
Claughton Capital LLC,Claughton,2023-07-01,-0.0115
Claughton Capital LLC,Claughton,2023-08-01,-0.0162
Claughton Capital LLC,Claughton,2023-09-01,0.0169
Claughton Capital LLC,Claughton,2023-10-01,-0.0166
Claughton Capital LLC,Claughton,2023-11-01,0.0291
Claughton Capital LLC,Claughton,2023-12-01,0.0466
Claughton Capital LLC,Claughton,2024-01-01,-0.0135
Claughton Capital LLC,Claughton,2024-02-01,0.0149
Claughton Capital LLC,Claughton,2024-03-01,-0.0006
Claughton Capital LLC,Claughton,2024-04-01,0.018
Claughton Capital LLC,Claughton,2024-05-01,0.0002
Claughton Capital LLC,Claughton,2024-06-01,0.0131
