Manager,Fund,Date,Change
Cliffwater,Cliffwater Corporate Lending,2019-06-01,0.002
Cliffwater,Cliffwater Corporate Lending,2019-07-01,0.004
Cliffwater,Cliffwater Corporate Lending,2019-08-01,0.0021
Cliffwater,Cliffwater Corporate Lending,2019-09-01,0.005
Cliffwater,Cliffwater Corporate Lending,2019-10-01,0.001
Cliffwater,Cliffwater Corporate Lending,2019-11-01,0.01
Cliffwater,Cliffwater Corporate Lending,2019-12-01,0.0071
Cliffwater,Cliffwater Corporate Lending,2020-01-01,0.0049
Cliffwater,Cliffwater Corporate Lending,2020-02-01,0.001
Cliffwater,Cliffwater Corporate Lending,2020-03-01,-0.0215
Cliffwater,Cliffwater Corporate Lending,2020-04-01,0.009
Cliffwater,Cliffwater Corporate Lending,2020-05-01,0.0189
Cliffwater,Cliffwater Corporate Lending,2020-06-01,0.0109
Cliffwater,Cliffwater Corporate Lending,2020-07-01,0.0078
Cliffwater,Cliffwater Corporate Lending,2020-08-01,0.0126
Cliffwater,Cliffwater Corporate Lending,2020-09-01,0.0078
Cliffwater,Cliffwater Corporate Lending,2020-10-01,0.0058
Cliffwater,Cliffwater Corporate Lending,2020-11-01,0.0195
Cliffwater,Cliffwater Corporate Lending,2020-12-01,0.0078
Cliffwater,Cliffwater Corporate Lending,2021-01-01,0.0117
Cliffwater,Cliffwater Corporate Lending,2021-02-01,0.0077
Cliffwater,Cliffwater Corporate Lending,2021-03-01,0.0086
Cliffwater,Cliffwater Corporate Lending,2021-04-01,0.0104
Cliffwater,Cliffwater Corporate Lending,2021-05-01,0.0099
Cliffwater,Cliffwater Corporate Lending,2021-06-01,0.0057
Cliffwater,Cliffwater Corporate Lending,2021-07-01,0.0057
Cliffwater,Cliffwater Corporate Lending,2021-08-01,0.011
Cliffwater,Cliffwater Corporate Lending,2021-09-01,0.0057
Cliffwater,Cliffwater Corporate Lending,2021-10-01,0.0066
Cliffwater,Cliffwater Corporate Lending,2021-11-01,0.0101
Cliffwater,Cliffwater Corporate Lending,2021-12-01,0.0062
Cliffwater,Cliffwater Corporate Lending,2022-01-01,0.0066
Cliffwater,Cliffwater Corporate Lending,2022-02-01,0.0047
Cliffwater,Cliffwater Corporate Lending,2022-03-01,0.0065
Cliffwater,Cliffwater Corporate Lending,2022-04-01,0.0083
Cliffwater,Cliffwater Corporate Lending,2022-05-01,-0.0019
Cliffwater,Cliffwater Corporate Lending,2022-06-01,0.0009
Cliffwater,Cliffwater Corporate Lending,2022-07-01,0.0077
Cliffwater,Cliffwater Corporate Lending,2022-08-01,0.0114
Cliffwater,Cliffwater Corporate Lending,2022-09-01,-0.0009
Cliffwater,Cliffwater Corporate Lending,2022-10-01,0.006
Cliffwater,Cliffwater Corporate Lending,2022-11-01,0.0086
Cliffwater,Cliffwater Corporate Lending,2022-12-01,0.0056
Cliffwater,Cliffwater Corporate Lending,2023-01-01,0.0115
Cliffwater,Cliffwater Corporate Lending,2023-02-01,0.0066
Cliffwater,Cliffwater Corporate Lending,2023-03-01,0.0047
Cliffwater,Cliffwater Corporate Lending,2023-04-01,0.0102
Cliffwater,Cliffwater Corporate Lending,2023-05-01,0.0105
Cliffwater,Cliffwater Corporate Lending,2023-06-01,0.0113
Cliffwater,Cliffwater Corporate Lending,2023-07-01,0.012
Cliffwater,Cliffwater Corporate Lending,2023-08-01,0.0114
Cliffwater,Cliffwater Corporate Lending,2023-09-01,0.0103
Cliffwater,Cliffwater Corporate Lending,2023-10-01,0.0091
Cliffwater,Cliffwater Corporate Lending,2023-11-01,0.0113
Cliffwater,Cliffwater Corporate Lending,2023-12-01,0.0109
Cliffwater,Cliffwater Corporate Lending,2024-01-01,0.0104
Cliffwater,Cliffwater Corporate Lending,2024-02-01,0.0085
Cliffwater,Cliffwater Corporate Lending,2024-03-01,0.01
Cliffwater,Cliffwater Corporate Lending,2024-04-01,0.0133
Cliffwater,Cliffwater Corporate Lending,2024-05-01,0.0131
Cliffwater,Cliffwater Corporate Lending,2024-06-01,0.0102
