Manager,Fund,Date,Change
Contrarian Investors,Contrarian Commodity Strategy,2021-02-01,0.03
Contrarian Investors,Contrarian Commodity Strategy,2021-03-01,-0.018
Contrarian Investors,Contrarian Commodity Strategy,2021-04-01,0.034
Contrarian Investors,Contrarian Commodity Strategy,2021-05-01,0.015
Contrarian Investors,Contrarian Commodity Strategy,2021-06-01,-0.012
Contrarian Investors,Contrarian Commodity Strategy,2021-07-01,0.029
Contrarian Investors,Contrarian Commodity Strategy,2021-08-01,0.004
Contrarian Investors,Contrarian Commodity Strategy,2021-09-01,-0.002
Contrarian Investors,Contrarian Commodity Strategy,2021-10-01,0.016
Contrarian Investors,Contrarian Commodity Strategy,2021-11-01,-0.01
Contrarian Investors,Contrarian Commodity Strategy,2021-12-01,-0.002
Contrarian Investors,Contrarian Commodity Strategy,2022-01-01,0.036
Contrarian Investors,Contrarian Commodity Strategy,2022-02-01,0.009
Contrarian Investors,Contrarian Commodity Strategy,2022-03-01,0.01
Contrarian Investors,Contrarian Commodity Strategy,2022-04-01,-0.002
Contrarian Investors,Contrarian Commodity Strategy,2022-05-01,0.006
Contrarian Investors,Contrarian Commodity Strategy,2022-06-01,-0.035
Contrarian Investors,Contrarian Commodity Strategy,2022-07-01,-0.009
Contrarian Investors,Contrarian Commodity Strategy,2022-08-01,-0.014
Contrarian Investors,Contrarian Commodity Strategy,2022-09-01,0.015
Contrarian Investors,Contrarian Commodity Strategy,2022-10-01,0.019
Contrarian Investors,Contrarian Commodity Strategy,2022-11-01,0.025
Contrarian Investors,Contrarian Commodity Strategy,2022-12-01,0.011
Contrarian Investors,Contrarian Commodity Strategy,2023-01-01,-0.007
Contrarian Investors,Contrarian Commodity Strategy,2023-02-01,-0.02
Contrarian Investors,Contrarian Commodity Strategy,2023-03-01,0.032
Contrarian Investors,Contrarian Commodity Strategy,2023-04-01,0.058
Contrarian Investors,Contrarian Commodity Strategy,2023-05-01,-0.043
Contrarian Investors,Contrarian Commodity Strategy,2023-06-01,-0.013
Contrarian Investors,Contrarian Commodity Strategy,2023-07-01,0.04
Contrarian Investors,Contrarian Commodity Strategy,2023-08-01,-0.006
Contrarian Investors,Contrarian Commodity Strategy,2023-09-01,-0.009
Contrarian Investors,Contrarian Commodity Strategy,2023-10-01,0.012
Contrarian Investors,Contrarian Commodity Strategy,2023-11-01,-0.02
Contrarian Investors,Contrarian Commodity Strategy,2023-12-01,-0.009
Contrarian Investors,Contrarian Commodity Strategy,2024-01-01,-0.001
Contrarian Investors,Contrarian Commodity Strategy,2024-02-01,-0.035
Contrarian Investors,Contrarian Commodity Strategy,2024-03-01,0.013
Contrarian Investors,Contrarian Commodity Strategy,2024-04-01,0.026
Contrarian Investors,Contrarian Commodity Strategy,2024-05-01,0.029
Contrarian Investors,Contrarian Commodity Strategy,2024-06-01,-0.019
