Manager,Fund,Date,Change
DSC Meridian Capital,DSCM Climate Action LP,2021-04-01,0.0171
DSC Meridian Capital,DSCM Climate Action LP,2021-05-01,0.0329
DSC Meridian Capital,DSCM Climate Action LP,2021-06-01,0.0104
DSC Meridian Capital,DSCM Climate Action LP,2021-07-01,-0.0064
DSC Meridian Capital,DSCM Climate Action LP,2021-08-01,0.0085
DSC Meridian Capital,DSCM Climate Action LP,2021-09-01,0.0005
DSC Meridian Capital,DSCM Climate Action LP,2021-10-01,0.0059
DSC Meridian Capital,DSCM Climate Action LP,2021-11-01,0.0022
DSC Meridian Capital,DSCM Climate Action LP,2021-12-01,0.0086
DSC Meridian Capital,DSCM Climate Action LP,2022-01-01,-0.0024
DSC Meridian Capital,DSCM Climate Action LP,2022-02-01,0.011
DSC Meridian Capital,DSCM Climate Action LP,2022-03-01,-0.0082
DSC Meridian Capital,DSCM Climate Action LP,2022-04-01,-0.009
DSC Meridian Capital,DSCM Climate Action LP,2022-05-01,-0.033
DSC Meridian Capital,DSCM Climate Action LP,2022-06-01,-0.0824
DSC Meridian Capital,DSCM Climate Action LP,2022-07-01,-0.0079
DSC Meridian Capital,DSCM Climate Action LP,2022-08-01,0.0122
DSC Meridian Capital,DSCM Climate Action LP,2022-09-01,-0.0519
DSC Meridian Capital,DSCM Climate Action LP,2022-10-01,-0.0008
DSC Meridian Capital,DSCM Climate Action LP,2022-11-01,0.0284
DSC Meridian Capital,DSCM Climate Action LP,2022-12-01,0.0081
DSC Meridian Capital,DSCM Climate Action LP,2023-01-01,0.0481
DSC Meridian Capital,DSCM Climate Action LP,2023-02-01,0.0145
DSC Meridian Capital,DSCM Climate Action LP,2023-03-01,0.003
DSC Meridian Capital,DSCM Climate Action LP,2023-04-01,0.0156
DSC Meridian Capital,DSCM Climate Action LP,2023-05-01,0.0035
DSC Meridian Capital,DSCM Climate Action LP,2023-06-01,0.0508
DSC Meridian Capital,DSCM Climate Action LP,2023-07-01,0.0099
DSC Meridian Capital,DSCM Climate Action LP,2023-08-01,-0.0012
DSC Meridian Capital,DSCM Climate Action LP,2023-09-01,0.015
DSC Meridian Capital,DSCM Climate Action LP,2023-10-01,-0.0215
DSC Meridian Capital,DSCM Climate Action LP,2023-11-01,0.0213
DSC Meridian Capital,DSCM Climate Action LP,2023-12-01,0.0418
DSC Meridian Capital,DSCM Climate Action LP,2024-01-01,0.0073
DSC Meridian Capital,DSCM Climate Action LP,2024-02-01,0.0191
DSC Meridian Capital,DSCM Climate Action LP,2024-03-01,0.016
DSC Meridian Capital,DSCM Climate Action LP,2024-04-01,-0.0042
DSC Meridian Capital,DSCM Climate Action LP,2024-05-01,0.0132
DSC Meridian Capital,DSCM Climate Action LP,2024-06-01,0.0079
