Manager,Fund,Date,Change
DUNN Capital Management,WMA Institutional Program,2019-01-01,-0.0167
DUNN Capital Management,WMA Institutional Program,2019-02-01,0.0085
DUNN Capital Management,WMA Institutional Program,2019-03-01,0.0538
DUNN Capital Management,WMA Institutional Program,2019-04-01,0.0085
DUNN Capital Management,WMA Institutional Program,2019-05-01,0.0057
DUNN Capital Management,WMA Institutional Program,2019-06-01,0.0215
DUNN Capital Management,WMA Institutional Program,2019-07-01,0.025
DUNN Capital Management,WMA Institutional Program,2019-08-01,0.0547
DUNN Capital Management,WMA Institutional Program,2019-09-01,-0.0563
DUNN Capital Management,WMA Institutional Program,2019-10-01,-0.0302
DUNN Capital Management,WMA Institutional Program,2019-11-01,0.0147
DUNN Capital Management,WMA Institutional Program,2019-12-01,-0.0015
DUNN Capital Management,WMA Institutional Program,2020-01-01,0.0019
DUNN Capital Management,WMA Institutional Program,2020-02-01,-0.0271
DUNN Capital Management,WMA Institutional Program,2020-03-01,0.0382
DUNN Capital Management,WMA Institutional Program,2020-04-01,0.0022
DUNN Capital Management,WMA Institutional Program,2020-05-01,-0.0142
DUNN Capital Management,WMA Institutional Program,2020-06-01,-0.017
DUNN Capital Management,WMA Institutional Program,2020-07-01,-0.0059
DUNN Capital Management,WMA Institutional Program,2020-08-01,0.0085
DUNN Capital Management,WMA Institutional Program,2020-09-01,-0.0263
DUNN Capital Management,WMA Institutional Program,2020-10-01,-0.0008
DUNN Capital Management,WMA Institutional Program,2020-11-01,-0.0016
DUNN Capital Management,WMA Institutional Program,2020-12-01,0.0392
DUNN Capital Management,WMA Institutional Program,2021-01-01,-0.0116
DUNN Capital Management,WMA Institutional Program,2021-02-01,0.0173
DUNN Capital Management,WMA Institutional Program,2021-03-01,0.0087
DUNN Capital Management,WMA Institutional Program,2021-04-01,0.0376
DUNN Capital Management,WMA Institutional Program,2021-05-01,0.0132
DUNN Capital Management,WMA Institutional Program,2021-06-01,-0.0221
DUNN Capital Management,WMA Institutional Program,2021-07-01,-0.0118
DUNN Capital Management,WMA Institutional Program,2021-08-01,-0.0031
DUNN Capital Management,WMA Institutional Program,2021-09-01,0.0062
DUNN Capital Management,WMA Institutional Program,2021-10-01,0.0432
DUNN Capital Management,WMA Institutional Program,2021-11-01,-0.0775
DUNN Capital Management,WMA Institutional Program,2021-12-01,0.0307
DUNN Capital Management,WMA Institutional Program,2022-01-01,0.0459
DUNN Capital Management,WMA Institutional Program,2022-02-01,0.0365
DUNN Capital Management,WMA Institutional Program,2022-03-01,0.0666
DUNN Capital Management,WMA Institutional Program,2022-04-01,0.0419
DUNN Capital Management,WMA Institutional Program,2022-05-01,-0.0061
DUNN Capital Management,WMA Institutional Program,2022-06-01,0.0105
DUNN Capital Management,WMA Institutional Program,2022-07-01,-0.0307
DUNN Capital Management,WMA Institutional Program,2022-08-01,0.0644
DUNN Capital Management,WMA Institutional Program,2022-09-01,0.0353
DUNN Capital Management,WMA Institutional Program,2022-10-01,0.0031
DUNN Capital Management,WMA Institutional Program,2022-11-01,-0.0418
DUNN Capital Management,WMA Institutional Program,2022-12-01,0.0209
DUNN Capital Management,WMA Institutional Program,2023-01-01,-0.0454
DUNN Capital Management,WMA Institutional Program,2023-02-01,0.0559
DUNN Capital Management,WMA Institutional Program,2023-03-01,-0.0718
DUNN Capital Management,WMA Institutional Program,2023-04-01,0.0412
DUNN Capital Management,WMA Institutional Program,2023-05-01,0.0203
DUNN Capital Management,WMA Institutional Program,2023-06-01,0.0344
DUNN Capital Management,WMA Institutional Program,2023-07-01,-0.052
DUNN Capital Management,WMA Institutional Program,2023-08-01,-0.0127
DUNN Capital Management,WMA Institutional Program,2023-09-01,0.0124
DUNN Capital Management,WMA Institutional Program,2023-10-01,-0.0329
DUNN Capital Management,WMA Institutional Program,2023-11-01,-0.0606
DUNN Capital Management,WMA Institutional Program,2023-12-01,-0.0168
DUNN Capital Management,WMA Institutional Program,2024-01-01,0.0474
DUNN Capital Management,WMA Institutional Program,2024-02-01,0.0938
DUNN Capital Management,WMA Institutional Program,2024-03-01,0.0132
DUNN Capital Management,WMA Institutional Program,2024-04-01,-0.0084
DUNN Capital Management,WMA Institutional Program,2024-05-01,-0.0383
DUNN Capital Management,WMA Institutional Program,2024-06-01,-0.0223
,,,
