Manager,Fund,Date,Change
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2018-09-01,0.034
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2018-10-01,-0.007
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2018-11-01,0.002
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2018-12-01,0.001
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-01-01,0.054
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-02-01,0.027
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-03-01,0.072
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-04-01,0.015
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-05-01,0.007
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-06-01,0.056
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-07-01,0.07
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-08-01,0.033
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-09-01,0.002
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-10-01,-0.027
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-11-01,0.005
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2019-12-01,0.075
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-01-01,-0.004
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-02-01,-0.037
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-03-01,-0.044
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-04-01,0.197
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-05-01,0.236
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-06-01,0.23
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-07-01,0.216
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-08-01,0.058
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-09-01,-0.065
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-10-01,-0.026
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-11-01,0.028
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2020-12-01,0.141
Delbrook Capital,Delbrook Resource Opportunities Master Fund LP,2021-01-01,0.009
