Manager,Fund,Date,Change
Diameter Capital,Diameter Dislocation,2022-07-01,0.0209
Diameter Capital,Diameter Dislocation,2022-08-01,-0.0023
Diameter Capital,Diameter Dislocation,2022-09-01,-0.049
Diameter Capital,Diameter Dislocation,2022-10-01,0.0177
Diameter Capital,Diameter Dislocation,2022-11-01,0.016
Diameter Capital,Diameter Dislocation,2022-12-01,0.0019
Diameter Capital,Diameter Dislocation,2023-01-01,0.0447
Diameter Capital,Diameter Dislocation,2023-02-01,0.0165
Diameter Capital,Diameter Dislocation,2023-03-01,-0.0051
Diameter Capital,Diameter Dislocation,2023-04-01,0.0136
Diameter Capital,Diameter Dislocation,2023-05-01,0.0103
Diameter Capital,Diameter Dislocation,2023-06-01,0.0222
Diameter Capital,Diameter Dislocation,2023-07-01,0.0178
Diameter Capital,Diameter Dislocation,2023-08-01,-0.0137
Diameter Capital,Diameter Dislocation,2023-09-01,0.012
Diameter Capital,Diameter Dislocation,2023-10-01,-0.0112
Diameter Capital,Diameter Dislocation,2023-11-01,0.0116
Diameter Capital,Diameter Dislocation,2023-12-01,0.0408
Diameter Capital,Diameter Dislocation,2024-01-01,0.014
Diameter Capital,Diameter Dislocation,2024-02-01,0.0206
Diameter Capital,Diameter Dislocation,2024-03-01,0.0059
Diameter Capital,Diameter Dislocation,2024-04-01,-0.0029
Diameter Capital,Diameter Dislocation,2024-05-01,0.0112
Diameter Capital,Diameter Dislocation,2024-06-01,0.0126
,,,
