Manager,Fund,Date,Change
Dormouse Limited,Dormouse Futures Program - A Shares,2018-01-01,0.0336
Dormouse Limited,Dormouse Futures Program - A Shares,2018-02-01,0.002
Dormouse Limited,Dormouse Futures Program - A Shares,2018-03-01,-0.0214
Dormouse Limited,Dormouse Futures Program - A Shares,2018-04-01,0.0191
Dormouse Limited,Dormouse Futures Program - A Shares,2018-05-01,0.017
Dormouse Limited,Dormouse Futures Program - A Shares,2018-06-01,0.0211
Dormouse Limited,Dormouse Futures Program - A Shares,2018-07-01,0.0367
Dormouse Limited,Dormouse Futures Program - A Shares,2018-08-01,0.0011
Dormouse Limited,Dormouse Futures Program - A Shares,2018-09-01,0.009
Dormouse Limited,Dormouse Futures Program - A Shares,2018-10-01,-0.0172
Dormouse Limited,Dormouse Futures Program - A Shares,2018-11-01,-0.0152
Dormouse Limited,Dormouse Futures Program - A Shares,2018-12-01,0.0344
Dormouse Limited,Dormouse Futures Program - A Shares,2019-01-01,-0.0022
Dormouse Limited,Dormouse Futures Program - A Shares,2019-02-01,0.0102
Dormouse Limited,Dormouse Futures Program - A Shares,2019-03-01,0.0305
Dormouse Limited,Dormouse Futures Program - A Shares,2019-04-01,-0.006
Dormouse Limited,Dormouse Futures Program - A Shares,2019-05-01,0.0129
Dormouse Limited,Dormouse Futures Program - A Shares,2019-06-01,0.0276
Dormouse Limited,Dormouse Futures Program - A Shares,2019-07-01,0.01
Dormouse Limited,Dormouse Futures Program - A Shares,2019-08-01,0.0252
Dormouse Limited,Dormouse Futures Program - A Shares,2019-09-01,0.0073
Dormouse Limited,Dormouse Futures Program - A Shares,2019-10-01,-0.0202
Dormouse Limited,Dormouse Futures Program - A Shares,2019-11-01,-0.0063
Dormouse Limited,Dormouse Futures Program - A Shares,2019-12-01,0.0236
Dormouse Limited,Dormouse Futures Program - A Shares,2020-01-01,-0.0294
Dormouse Limited,Dormouse Futures Program - A Shares,2020-02-01,0.0078
Dormouse Limited,Dormouse Futures Program - A Shares,2020-03-01,-0.0658
