Manager,Fund,Date,Change
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2017-10-01,0.0202
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2017-11-01,0.0062
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2017-12-01,0.0184
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-01-01,0.0035
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-02-01,0.0122
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-03-01,0.0382
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-04-01,0.0205
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-05-01,0.0389
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-06-01,-0.0071
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-07-01,0.0248
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-08-01,0.0102
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-09-01,0.0218
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-10-01,0.0069
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-11-01,0.0075
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2018-12-01,0.0204
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-01-01,0.0052
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-02-01,0.0207
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-03-01,0.0027
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-04-01,0.0182
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-05-01,0.0041
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-06-01,0.0302
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-07-01,0.0051
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-08-01,0.0402
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-09-01,0.0112
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-10-01,-0.0045
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-11-01,0.0152
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2019-12-01,0.0141
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-01-01,0.0114
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-02-01,0.0137
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-03-01,0.0604
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-04-01,0.0925
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-05-01,0.011
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-06-01,0.0079
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-07-01,0.0456
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-08-01,0.0082
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-09-01,0.0178
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-10-01,0.0133
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-11-01,0.0224
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2020-12-01,0.0304
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-01-01,0.0215
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-02-01,0.1145
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-03-01,0.0205
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-04-01,0.068
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-05-01,0.0409
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-06-01,0.0505
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-07-01,0.0033
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-08-01,0.0065
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-09-01,0.0515
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-10-01,-0.0051
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-11-01,-0.0226
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2021-12-01,0.0123
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-01-01,0.0624
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-02-01,0.0511
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-03-01,0.0622
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-04-01,0.0991
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-05-01,-0.0007
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-06-01,-0.0012
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-07-01,-0.0092
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-08-01,0.0534
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-09-01,-0.0391
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-10-01,0.0087
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-11-01,-0.0138
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2022-12-01,-0.0067
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-01-01,-0.0282
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-02-01,0.0016
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-03-01,0.0246
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-04-01,0.0268
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-05-01,-0.0077
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-06-01,0.0242
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-07-01,-0.0067
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-08-01,0.0025
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-09-01,0.0112
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-10-01,-0.0158
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-11-01,0.011
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2023-12-01,0.0112
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-01-01,0.0646
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-02-01,0.0676
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-03-01,-0.0125
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-04-01,-0.0085
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-05-01,-0.025
Dorset Natural Resources ,Dorset Natural Resources & Commodity Investment ,2024-06-01,-0.0229
