Manager,Fund,Date,Change
Introspect Capital,Introspect Value Fund,2017-10-01,-0.003
Introspect Capital,Introspect Value Fund,2017-11-01,-0.014
Introspect Capital,Introspect Value Fund,2017-12-01,0.027
Introspect Capital,Introspect Value Fund,2018-01-01,0.05
Introspect Capital,Introspect Value Fund,2018-02-01,0.019
Introspect Capital,Introspect Value Fund,2018-03-01,0.041
Introspect Capital,Introspect Value Fund,2018-04-01,0.05
Introspect Capital,Introspect Value Fund,2018-05-01,-0.058
Introspect Capital,Introspect Value Fund,2018-06-01,0.027
Introspect Capital,Introspect Value Fund,2018-07-01,-0.006
Introspect Capital,Introspect Value Fund,2018-08-01,-0.026
Introspect Capital,Introspect Value Fund,2018-09-01,-0.006
Introspect Capital,Introspect Value Fund,2018-10-01,-0.027
Introspect Capital,Introspect Value Fund,2018-11-01,0.004
Introspect Capital,Introspect Value Fund,2018-12-01,0.027
Introspect Capital,Introspect Value Fund,2019-01-01,0.04
Introspect Capital,Introspect Value Fund,2019-02-01,0.015
Introspect Capital,Introspect Value Fund,2019-03-01,0.047
Introspect Capital,Introspect Value Fund,2019-04-01,0.086
Introspect Capital,Introspect Value Fund,2019-05-01,-0.042
Introspect Capital,Introspect Value Fund,2019-06-01,0.022
Introspect Capital,Introspect Value Fund,2019-07-01,0.019
Introspect Capital,Introspect Value Fund,2019-08-01,-0.008
Introspect Capital,Introspect Value Fund,2019-09-01,0.008
Introspect Capital,Introspect Value Fund,2019-10-01,-0.027
Introspect Capital,Introspect Value Fund,2019-11-01,-0.002
Introspect Capital,Introspect Value Fund,2019-12-01,0.037
Introspect Capital,Introspect Value Fund,2020-01-01,-0.018
Introspect Capital,Introspect Value Fund,2020-02-01,-0.038
Introspect Capital,Introspect Value Fund,2020-03-01,-0.196
Introspect Capital,Introspect Value Fund,2020-04-01,0.07
Introspect Capital,Introspect Value Fund,2020-05-01,-0.005
Introspect Capital,Introspect Value Fund,2020-06-01,0.028
Introspect Capital,Introspect Value Fund,2020-07-01,0.017
Introspect Capital,Introspect Value Fund,2020-08-01,0.06
Introspect Capital,Introspect Value Fund,2020-09-01,0.021
Introspect Capital,Introspect Value Fund,2020-10-01,-0.027
Introspect Capital,Introspect Value Fund,2020-11-01,0.042
Introspect Capital,Introspect Value Fund,2020-12-01,0.016
Introspect Capital,Introspect Value Fund,2021-01-01,0.023
Introspect Capital,Introspect Value Fund,2021-02-01,0.019
Introspect Capital,Introspect Value Fund,2021-03-01,0.02
Introspect Capital,Introspect Value Fund,2021-04-01,0.025
Introspect Capital,Introspect Value Fund,2021-05-01,0.019
Introspect Capital,Introspect Value Fund,2021-06-01,0.029
Introspect Capital,Introspect Value Fund,2021-07-01,0.006
Introspect Capital,Introspect Value Fund,2021-08-01,0.037
Introspect Capital,Introspect Value Fund,2021-09-01,-0.017
Introspect Capital,Introspect Value Fund,2021-10-01,0.042
Introspect Capital,Introspect Value Fund,2021-11-01,-0.017
Introspect Capital,Introspect Value Fund,2021-12-01,0.04
Introspect Capital,Introspect Value Fund,2022-01-01,0.025
Introspect Capital,Introspect Value Fund,2022-02-01,0.019
Introspect Capital,Introspect Value Fund,2022-03-01,0.035
Introspect Capital,Introspect Value Fund,2022-04-01,0.034
Introspect Capital,Introspect Value Fund,2022-05-01,-0.04
Introspect Capital,Introspect Value Fund,2022-06-01,-0.079
Introspect Capital,Introspect Value Fund,2022-07-01,0.05
Introspect Capital,Introspect Value Fund,2022-08-01,0.01
Introspect Capital,Introspect Value Fund,2022-09-01,-0.036
Introspect Capital,Introspect Value Fund,2022-10-01,0.02
Introspect Capital,Introspect Value Fund,2022-11-01,-0.029
Introspect Capital,Introspect Value Fund,2022-12-01,-0.022
Introspect Capital,Introspect Value Fund,2023-01-01,0.002
Introspect Capital,Introspect Value Fund,2023-02-01,-0.008
Introspect Capital,Introspect Value Fund,2023-03-01,0.048
Introspect Capital,Introspect Value Fund,2023-04-01,0.037
Introspect Capital,Introspect Value Fund,2023-05-01,0
Introspect Capital,Introspect Value Fund,2023-06-01,0.071
Introspect Capital,Introspect Value Fund,2023-07-01,0.006
Introspect Capital,Introspect Value Fund,2023-08-01,0.01
Introspect Capital,Introspect Value Fund,2023-09-01,0.01
Introspect Capital,Introspect Value Fund,2023-10-01,-0.041
Introspect Capital,Introspect Value Fund,2023-11-01,0.029
Introspect Capital,Introspect Value Fund,2023-12-01,0.093
Introspect Capital,Introspect Value Fund,2024-01-01,-0.007
Introspect Capital,Introspect Value Fund,2024-02-01,0.07
Introspect Capital,Introspect Value Fund,2024-03-01,-0.011
Introspect Capital,Introspect Value Fund,2024-04-01,-0.014
Introspect Capital,Introspect Value Fund,2024-05-01,-0.043
Introspect Capital,Introspect Value Fund,2024-06-01,0.068
