Manager,Fund,Date,Change
Lighthouse Group,Pier61 Fund LP,2022-04-01,-0.0012
Lighthouse Group,Pier61 Fund LP,2022-05-01,-0.0013
Lighthouse Group,Pier61 Fund LP,2022-06-01,-0.0035
Lighthouse Group,Pier61 Fund LP,2022-07-01,0.0055
Lighthouse Group,Pier61 Fund LP,2022-08-01,0.0097
Lighthouse Group,Pier61 Fund LP,2022-09-01,-0.0528
Lighthouse Group,Pier61 Fund LP,2022-10-01,0.0008
Lighthouse Group,Pier61 Fund LP,2022-11-01,0.0131
Lighthouse Group,Pier61 Fund LP,2022-12-01,0.0098
Lighthouse Group,Pier61 Fund LP,2023-01-01,0.0192
Lighthouse Group,Pier61 Fund LP,2023-02-01,0.0094
Lighthouse Group,Pier61 Fund LP,2023-03-01,-0.0036
Lighthouse Group,Pier61 Fund LP,2023-04-01,0.0163
Lighthouse Group,Pier61 Fund LP,2023-05-01,0.0122
Lighthouse Group,Pier61 Fund LP,2023-06-01,0.013
Lighthouse Group,Pier61 Fund LP,2023-07-01,0.0093
Lighthouse Group,Pier61 Fund LP,2023-08-01,0.0065
Lighthouse Group,Pier61 Fund LP,2023-09-01,0.0148
Lighthouse Group,Pier61 Fund LP,2023-10-01,0.0041
Lighthouse Group,Pier61 Fund LP,2023-11-01,0.013
Lighthouse Group,Pier61 Fund LP,2023-12-01,0.0176
Lighthouse Group,Pier61 Fund LP,2024-01-01,0.0094
Lighthouse Group,Pier61 Fund LP,2024-02-01,0.0148
Lighthouse Group,Pier61 Fund LP,2024-03-01,0.0184
Lighthouse Group,Pier61 Fund LP,2024-04-01,-0.0006
Lighthouse Group,Pier61 Fund LP,2024-05-01,-0.003
Lighthouse Group,Pier61 Fund LP,2024-06-01,-0.004
