Manager,Fund,Date,Change
Linmar Capital,Linmar Capital,2018-09-01,-0.0015
Linmar Capital,Linmar Capital,2018-10-01,-0.0048
Linmar Capital,Linmar Capital,2018-11-01,-0.0077
Linmar Capital,Linmar Capital,2018-12-01,-0.0254
Linmar Capital,Linmar Capital,2019-01-01,0.0593
Linmar Capital,Linmar Capital,2019-02-01,0.0346
Linmar Capital,Linmar Capital,2019-03-01,0.0075
Linmar Capital,Linmar Capital,2019-04-01,0.0109
Linmar Capital,Linmar Capital,2019-05-01,-0.0021
Linmar Capital,Linmar Capital,2019-06-01,0.044
Linmar Capital,Linmar Capital,2019-07-01,-0.0245
Linmar Capital,Linmar Capital,2019-08-01,-0.027
Linmar Capital,Linmar Capital,2019-09-01,-0.0255
Linmar Capital,Linmar Capital,2019-10-01,0.0148
Linmar Capital,Linmar Capital,2019-11-01,0.0097
Linmar Capital,Linmar Capital,2019-12-01,0.0211
Linmar Capital,Linmar Capital,2020-01-01,0.0097
Linmar Capital,Linmar Capital,2020-02-01,0.0008
Linmar Capital,Linmar Capital,2020-03-01,-0.0752
Linmar Capital,Linmar Capital,2020-04-01,0.0456
Linmar Capital,Linmar Capital,2020-05-01,0.0523
Linmar Capital,Linmar Capital,2020-06-01,0.0259
Linmar Capital,Linmar Capital,2020-07-01,0.021
Linmar Capital,Linmar Capital,2020-08-01,0.0522
Linmar Capital,Linmar Capital,2020-09-01,-0.0032
Linmar Capital,Linmar Capital,2020-10-01,0.0517
Linmar Capital,Linmar Capital,2020-11-01,0.0748
Linmar Capital,Linmar Capital,2020-12-01,0.0245
Linmar Capital,Linmar Capital,2021-01-01,-0.004
Linmar Capital,Linmar Capital,2021-02-01,0.0645
Linmar Capital,Linmar Capital,2021-03-01,0.0368
Linmar Capital,Linmar Capital,2021-04-01,0.0077
Linmar Capital,Linmar Capital,2021-05-01,0.0003
Linmar Capital,Linmar Capital,2021-06-01,0.0048
Linmar Capital,Linmar Capital,2021-07-01,-0.027
Linmar Capital,Linmar Capital,2021-08-01,0.0189
Linmar Capital,Linmar Capital,2021-09-01,-0.0007
Linmar Capital,Linmar Capital,2021-10-01,-0.0101
Linmar Capital,Linmar Capital,2021-11-01,-0.0234
Linmar Capital,Linmar Capital,2021-12-01,-0.0109
Linmar Capital,Linmar Capital,2022-01-01,-0.0698
Linmar Capital,Linmar Capital,2022-02-01,0.0055
Linmar Capital,Linmar Capital,2022-03-01,-0.012
Linmar Capital,Linmar Capital,2022-04-01,-0.0447
Linmar Capital,Linmar Capital,2022-05-01,-0.0119
Linmar Capital,Linmar Capital,2022-06-01,-0.072
Linmar Capital,Linmar Capital,2022-07-01,-0.0084
Linmar Capital,Linmar Capital,2022-08-01,-0.0398
Linmar Capital,Linmar Capital,2022-09-01,-0.0614
Linmar Capital,Linmar Capital,2022-10-01,0.0009
Linmar Capital,Linmar Capital,2022-11-01,0.0347
Linmar Capital,Linmar Capital,2022-12-01,0.0636
Linmar Capital,Linmar Capital,2023-01-01,0.0845
Linmar Capital,Linmar Capital,2023-02-01,-0.0283
Linmar Capital,Linmar Capital,2023-03-01,-0.0247
Linmar Capital,Linmar Capital,2023-04-01,-0.0022
Linmar Capital,Linmar Capital,2023-05-01,0.0264
Linmar Capital,Linmar Capital,2023-06-01,0.0636
Linmar Capital,Linmar Capital,2023-07-01,-0.0207
Linmar Capital,Linmar Capital,2023-08-01,0.1696
Linmar Capital,Linmar Capital,2023-09-01,0.0443
Linmar Capital,Linmar Capital,2023-10-01,-0.0495
Linmar Capital,Linmar Capital,2023-11-01,-0.028
Linmar Capital,Linmar Capital,2023-12-01,0.0055
Linmar Capital,Linmar Capital,2024-01-01,0.0359
Linmar Capital,Linmar Capital,2024-02-01,0.0386
Linmar Capital,Linmar Capital,2024-03-01,0.0333
Linmar Capital,Linmar Capital,2024-04-01,-0.0191
Linmar Capital,Linmar Capital,2024-05-01,0.0559
Linmar Capital,Linmar Capital,2024-06-01,-0.0245
