Manager,Fund,Date,Change
"Nipun Capital, L.P",Nipun Asia Total Return,2019-01-01,0.0269
"Nipun Capital, L.P",Nipun Asia Total Return,2019-02-01,-0.0185
"Nipun Capital, L.P",Nipun Asia Total Return,2019-03-01,0.0161
"Nipun Capital, L.P",Nipun Asia Total Return,2019-04-01,0.0227
"Nipun Capital, L.P",Nipun Asia Total Return,2019-05-01,0.0014
"Nipun Capital, L.P",Nipun Asia Total Return,2019-06-01,0.0133
"Nipun Capital, L.P",Nipun Asia Total Return,2019-07-01,0.0075
"Nipun Capital, L.P",Nipun Asia Total Return,2019-08-01,0.0111
"Nipun Capital, L.P",Nipun Asia Total Return,2019-09-01,-0.0247
"Nipun Capital, L.P",Nipun Asia Total Return,2019-10-01,0.0033
"Nipun Capital, L.P",Nipun Asia Total Return,2019-11-01,0.0147
"Nipun Capital, L.P",Nipun Asia Total Return,2019-12-01,-0.0018
"Nipun Capital, L.P",Nipun Asia Total Return,2020-01-01,-0.0184
"Nipun Capital, L.P",Nipun Asia Total Return,2020-02-01,-0.0399
"Nipun Capital, L.P",Nipun Asia Total Return,2020-03-01,-0.0161
"Nipun Capital, L.P",Nipun Asia Total Return,2020-04-01,0.0044
"Nipun Capital, L.P",Nipun Asia Total Return,2020-05-01,-0.0046
"Nipun Capital, L.P",Nipun Asia Total Return,2020-06-01,-0.0083
"Nipun Capital, L.P",Nipun Asia Total Return,2020-07-01,0.0656
"Nipun Capital, L.P",Nipun Asia Total Return,2020-08-01,0.0285
"Nipun Capital, L.P",Nipun Asia Total Return,2020-09-01,0.0212
"Nipun Capital, L.P",Nipun Asia Total Return,2020-10-01,0.016
"Nipun Capital, L.P",Nipun Asia Total Return,2020-11-01,0.001
"Nipun Capital, L.P",Nipun Asia Total Return,2020-12-01,0.0084
"Nipun Capital, L.P",Nipun Asia Total Return,2021-01-01,0.027
"Nipun Capital, L.P",Nipun Asia Total Return,2021-02-01,0.031
"Nipun Capital, L.P",Nipun Asia Total Return,2021-03-01,0.0229
"Nipun Capital, L.P",Nipun Asia Total Return,2021-04-01,0.0217
"Nipun Capital, L.P",Nipun Asia Total Return,2021-05-01,-0.0094
"Nipun Capital, L.P",Nipun Asia Total Return,2021-06-01,0.0013
"Nipun Capital, L.P",Nipun Asia Total Return,2021-07-01,-0.027
"Nipun Capital, L.P",Nipun Asia Total Return,2021-08-01,-0.02
"Nipun Capital, L.P",Nipun Asia Total Return,2021-09-01,0.0025
"Nipun Capital, L.P",Nipun Asia Total Return,2021-10-01,-0.019
"Nipun Capital, L.P",Nipun Asia Total Return,2021-11-01,-0.0167
"Nipun Capital, L.P",Nipun Asia Total Return,2021-12-01,0.0046
"Nipun Capital, L.P",Nipun Asia Total Return,2022-01-01,0.0291
"Nipun Capital, L.P",Nipun Asia Total Return,2022-02-01,0.0074
"Nipun Capital, L.P",Nipun Asia Total Return,2022-03-01,-0.0085
"Nipun Capital, L.P",Nipun Asia Total Return,2022-04-01,0.0152
"Nipun Capital, L.P",Nipun Asia Total Return,2022-05-01,-0.0106
"Nipun Capital, L.P",Nipun Asia Total Return,2022-06-01,0.0151
"Nipun Capital, L.P",Nipun Asia Total Return,2022-07-01,0.0034
"Nipun Capital, L.P",Nipun Asia Total Return,2022-08-01,-0.0002
"Nipun Capital, L.P",Nipun Asia Total Return,2022-09-01,0.0052
"Nipun Capital, L.P",Nipun Asia Total Return,2022-10-01,0.004
"Nipun Capital, L.P",Nipun Asia Total Return,2022-11-01,0.0034
"Nipun Capital, L.P",Nipun Asia Total Return,2022-12-01,0.0016
"Nipun Capital, L.P",Nipun Asia Total Return,2023-01-01,0.0081
"Nipun Capital, L.P",Nipun Asia Total Return,2023-02-01,0.0007
"Nipun Capital, L.P",Nipun Asia Total Return,2023-03-01,0.0092
"Nipun Capital, L.P",Nipun Asia Total Return,2023-04-01,0.0108
"Nipun Capital, L.P",Nipun Asia Total Return,2023-05-01,0.002
"Nipun Capital, L.P",Nipun Asia Total Return,2023-06-01,0.0043
"Nipun Capital, L.P",Nipun Asia Total Return,2023-07-01,0.0228
"Nipun Capital, L.P",Nipun Asia Total Return,2023-08-01,0.0256
"Nipun Capital, L.P",Nipun Asia Total Return,2023-09-01,0.022
"Nipun Capital, L.P",Nipun Asia Total Return,2023-10-01,0.0172
"Nipun Capital, L.P",Nipun Asia Total Return,2023-11-01,-0.003
"Nipun Capital, L.P",Nipun Asia Total Return,2023-12-01,0.0168
"Nipun Capital, L.P",Nipun Asia Total Return,2024-01-01,0.0246
"Nipun Capital, L.P",Nipun Asia Total Return,2024-02-01,0.0187
"Nipun Capital, L.P",Nipun Asia Total Return,2024-03-01,0.0405
"Nipun Capital, L.P",Nipun Asia Total Return,2024-04-01,0.0141
"Nipun Capital, L.P",Nipun Asia Total Return,2024-05-01,0.0101
"Nipun Capital, L.P",Nipun Asia Total Return,2024-06-01,0.0097
