Manager,Fund,Date,Change
PGIM Wadhwani,Macro Tail Risk Strategy,2022-08-01,0.0181
PGIM Wadhwani,Macro Tail Risk Strategy,2022-09-01,0.0512
PGIM Wadhwani,Macro Tail Risk Strategy,2022-10-01,-0.0104
PGIM Wadhwani,Macro Tail Risk Strategy,2022-11-01,-0.022
PGIM Wadhwani,Macro Tail Risk Strategy,2022-12-01,0.005
PGIM Wadhwani,Macro Tail Risk Strategy,2023-01-01,-0.0161
PGIM Wadhwani,Macro Tail Risk Strategy,2023-02-01,0.0296
PGIM Wadhwani,Macro Tail Risk Strategy,2023-03-01,-0.0664
PGIM Wadhwani,Macro Tail Risk Strategy,2023-04-01,0.0054
PGIM Wadhwani,Macro Tail Risk Strategy,2023-05-01,0.0199
PGIM Wadhwani,Macro Tail Risk Strategy,2023-06-01,-0.0108
PGIM Wadhwani,Macro Tail Risk Strategy,2023-07-01,-0.0232
PGIM Wadhwani,Macro Tail Risk Strategy,2023-08-01,0.0071
PGIM Wadhwani,Macro Tail Risk Strategy,2023-09-01,0.0357
PGIM Wadhwani,Macro Tail Risk Strategy,2023-10-01,0.004
PGIM Wadhwani,Macro Tail Risk Strategy,2023-11-01,-0.0584
PGIM Wadhwani,Macro Tail Risk Strategy,2023-12-01,-0.0004
PGIM Wadhwani,Macro Tail Risk Strategy,2024-01-01,0.0197
PGIM Wadhwani,Macro Tail Risk Strategy,2024-02-01,0.0067
PGIM Wadhwani,Macro Tail Risk Strategy,2024-03-01,0.0053
PGIM Wadhwani,Macro Tail Risk Strategy,2024-04-01,0.0309
PGIM Wadhwani,Macro Tail Risk Strategy,2024-05-01,-0.0371
PGIM Wadhwani,Macro Tail Risk Strategy,2024-06-01,-0.0144
,,,
