Manager,Fund,Date,Change
RPD Fund Management,RPD Opportunity Fund,2021-02-01,0.2216
RPD Fund Management,RPD Opportunity Fund,2021-03-01,0.0716
RPD Fund Management,RPD Opportunity Fund,2021-04-01,0.0154
RPD Fund Management,RPD Opportunity Fund,2021-05-01,0.0197
RPD Fund Management,RPD Opportunity Fund,2021-06-01,0.0307
RPD Fund Management,RPD Opportunity Fund,2021-07-01,0.0089
RPD Fund Management,RPD Opportunity Fund,2021-08-01,0.0776
RPD Fund Management,RPD Opportunity Fund,2021-09-01,-0.0378
RPD Fund Management,RPD Opportunity Fund,2021-10-01,0.0065
RPD Fund Management,RPD Opportunity Fund,2021-11-01,-0.0428
RPD Fund Management,RPD Opportunity Fund,2021-12-01,0.0615
RPD Fund Management,RPD Opportunity Fund,2022-01-01,0.053
RPD Fund Management,RPD Opportunity Fund,2022-02-01,-0.0261
RPD Fund Management,RPD Opportunity Fund,2022-03-01,0.0051
RPD Fund Management,RPD Opportunity Fund,2022-04-01,0.0029
RPD Fund Management,RPD Opportunity Fund,2022-05-01,0.0521
RPD Fund Management,RPD Opportunity Fund,2022-06-01,0.0061
RPD Fund Management,RPD Opportunity Fund,2022-07-01,-0.0301
RPD Fund Management,RPD Opportunity Fund,2022-08-01,0.0477
RPD Fund Management,RPD Opportunity Fund,2022-09-01,-0.0887
RPD Fund Management,RPD Opportunity Fund,2022-10-01,-0.177
RPD Fund Management,RPD Opportunity Fund,2022-11-01,0.2241
RPD Fund Management,RPD Opportunity Fund,2022-12-01,0.0567
RPD Fund Management,RPD Opportunity Fund,2023-01-01,0.0782
RPD Fund Management,RPD Opportunity Fund,2023-02-01,-0.0153
RPD Fund Management,RPD Opportunity Fund,2023-03-01,0.0015
RPD Fund Management,RPD Opportunity Fund,2023-04-01,0.0037
RPD Fund Management,RPD Opportunity Fund,2023-05-01,0.0021
RPD Fund Management,RPD Opportunity Fund,2023-06-01,0.0148
RPD Fund Management,RPD Opportunity Fund,2023-07-01,0.0238
RPD Fund Management,RPD Opportunity Fund,2023-08-01,-0.0197
RPD Fund Management,RPD Opportunity Fund,2023-09-01,-0.005
RPD Fund Management,RPD Opportunity Fund,2023-10-01,-0.0123
RPD Fund Management,RPD Opportunity Fund,2023-11-01,0.0013
RPD Fund Management,RPD Opportunity Fund,2023-12-01,0.0117
RPD Fund Management,RPD Opportunity Fund,2024-01-01,-0.0377
RPD Fund Management,RPD Opportunity Fund,2024-02-01,-0.0443
RPD Fund Management,RPD Opportunity Fund,2024-03-01,-0.0068
RPD Fund Management,RPD Opportunity Fund,2024-04-01,0.0097
RPD Fund Management,RPD Opportunity Fund,2024-05-01,0.0151
RPD Fund Management,RPD Opportunity Fund,2024-06-01,-0.0169
