Manager,Fund,Date,Change
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2017-10-01,0.003
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2017-11-01,0.0314
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2017-12-01,0.0198
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-01-01,0.0871
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-02-01,-0.1333
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-03-01,0.0067
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-04-01,0.0124
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-05-01,-0.0539
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-06-01,-0.0043
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-07-01,0.0016
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-08-01,0.0554
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-09-01,-0.0169
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-10-01,-0.123
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-11-01,-0.0258
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2018-12-01,0.0152
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-01-01,-0.0075
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-02-01,0.0129
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-03-01,0.0781
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-04-01,0.0226
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-05-01,-0.0227
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-06-01,0.068
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-07-01,0.0809
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-08-01,0.0667
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-09-01,-0.0104
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-10-01,-0.0365
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-11-01,0.0301
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2019-12-01,-0.057
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-01-01,0.0457
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-02-01,-0.105
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-03-01,-0.1376
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-04-01,0.0195
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-05-01,-0.0172
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-06-01,-0.0331
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-07-01,-0.0122
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-08-01,-0.0525
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-09-01,-0.0004
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-10-01,-0.0256
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-11-01,0.0419
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2020-12-01,0.0601
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-01-01,0.0061
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-02-01,0.0512
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-03-01,0.0172
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-04-01,0.0199
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-05-01,0.0452
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-06-01,-0.0149
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-07-01,0.0211
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-08-01,-0.03
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-09-01,0.0104
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-10-01,0.0961
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-11-01,-0.0929
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2021-12-01,0.0171
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-01-01,0.0305
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-02-01,0.0204
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-03-01,0.1424
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-04-01,0.0873
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-05-01,0.0057
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-06-01,0.0308
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-07-01,-0.0287
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-08-01,-0.0547
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-09-01,-0.0316
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-10-01,0.0538
ReSolve Asset Management,ReSolve Evolution Multi-Strategy Futures Program,2022-11-01,-0.0631
