Manager,Fund,Date,Change
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-01-01,0.0124
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-02-01,0.0059
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-03-01,-0.001
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-04-01,0.0004
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-05-01,-0.0085
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-06-01,0.0062
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-07-01,0.0043
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-08-01,0.0029
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-09-01,0.0197
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-10-01,0.0058
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-11-01,-0.0039
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2019-12-01,0.0054
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-01-01,0.0101
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-02-01,0.0124
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-03-01,-0.0159
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-04-01,0.0047
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-05-01,0.0054
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-06-01,0.0092
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-07-01,0.0086
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-08-01,0.0076
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-09-01,0.0111
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-10-01,0.0049
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-11-01,0.0037
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2020-12-01,0.0044
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-01-01,0.0038
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-02-01,0.0043
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-03-01,0.0007
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-04-01,0.0035
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-05-01,0.0042
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-06-01,0.0022
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-07-01,0.0039
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-08-01,-0.0029
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-09-01,-0.0004
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-10-01,0.0005
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-11-01,0.003
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2021-12-01,0.0013
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-01-01,0.0011
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-02-01,0.0008
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-03-01,-0.0015
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-04-01,-0.0012
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-05-01,0.0008
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-06-01,-0.0038
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-07-01,0.0008
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-08-01,0.0079
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-09-01,-0.0133
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-10-01,0.0015
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-11-01,-0.011
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2022-12-01,0.0035
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-01-01,0.0121
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-02-01,0.0114
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-03-01,0.013
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-04-01,0.0122
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-05-01,0.0116
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-06-01,0.0137
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-07-01,0.0117
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-08-01,0.0134
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-09-01,0.0104
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-10-01,0.0129
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-11-01,0.008
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2023-12-01,0.0088
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-01-01,0.0098
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-02-01,0.0119
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-03-01,0.0096
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-04-01,0.0053
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-05-01,-0.0034
SCOR Investment Partners,The Atropos Catbond Fund B3 (USD),2024-06-01,0.0098
