Manager,Fund,Date,Change
Silverback,Opportunistic Credit Strategy,2019-01-01,0.0403
Silverback,Opportunistic Credit Strategy,2019-02-01,0.0148
Silverback,Opportunistic Credit Strategy,2019-03-01,-0.018
Silverback,Opportunistic Credit Strategy,2019-04-01,0.029
Silverback,Opportunistic Credit Strategy,2019-05-01,-0.0123
Silverback,Opportunistic Credit Strategy,2019-06-01,-0.0002
Silverback,Opportunistic Credit Strategy,2019-07-01,-0.0215
Silverback,Opportunistic Credit Strategy,2019-08-01,0.0028
Silverback,Opportunistic Credit Strategy,2019-09-01,0.0298
Silverback,Opportunistic Credit Strategy,2019-10-01,0.0156
Silverback,Opportunistic Credit Strategy,2019-11-01,0.0144
Silverback,Opportunistic Credit Strategy,2019-12-01,0.0364
Silverback,Opportunistic Credit Strategy,2020-01-01,-0.0161
Silverback,Opportunistic Credit Strategy,2020-02-01,0.0417
Silverback,Opportunistic Credit Strategy,2020-03-01,-0.1378
Silverback,Opportunistic Credit Strategy,2020-04-01,0.02
Silverback,Opportunistic Credit Strategy,2020-05-01,0.0072
Silverback,Opportunistic Credit Strategy,2020-06-01,0.0443
Silverback,Opportunistic Credit Strategy,2020-07-01,0.0264
Silverback,Opportunistic Credit Strategy,2020-08-01,0.0221
Silverback,Opportunistic Credit Strategy,2020-09-01,-0.0076
Silverback,Opportunistic Credit Strategy,2020-10-01,0.0118
Silverback,Opportunistic Credit Strategy,2020-11-01,0.0509
Silverback,Opportunistic Credit Strategy,2020-12-01,0.1054
Silverback,Opportunistic Credit Strategy,2021-01-01,0.1139
Silverback,Opportunistic Credit Strategy,2021-02-01,0.0423
Silverback,Opportunistic Credit Strategy,2021-03-01,0.0515
Silverback,Opportunistic Credit Strategy,2021-04-01,-0.0262
Silverback,Opportunistic Credit Strategy,2021-05-01,0.0088
Silverback,Opportunistic Credit Strategy,2021-06-01,0.0087
Silverback,Opportunistic Credit Strategy,2021-07-01,-0.0241
Silverback,Opportunistic Credit Strategy,2021-08-01,-0.0087
Silverback,Opportunistic Credit Strategy,2021-09-01,0.0207
Silverback,Opportunistic Credit Strategy,2021-10-01,0.0004
Silverback,Opportunistic Credit Strategy,2021-11-01,-0.0293
Silverback,Opportunistic Credit Strategy,2021-12-01,-0.0144
Silverback,Opportunistic Credit Strategy,2022-01-01,-0.014
Silverback,Opportunistic Credit Strategy,2022-02-01,0.0032
Silverback,Opportunistic Credit Strategy,2022-03-01,0.0071
Silverback,Opportunistic Credit Strategy,2022-04-01,-0.0274
Silverback,Opportunistic Credit Strategy,2022-05-01,-0.0448
Silverback,Opportunistic Credit Strategy,2022-06-01,-0.0084
Silverback,Opportunistic Credit Strategy,2022-07-01,0.0258
Silverback,Opportunistic Credit Strategy,2022-08-01,0.0551
Silverback,Opportunistic Credit Strategy,2022-09-01,-0.0093
Silverback,Opportunistic Credit Strategy,2022-10-01,-0.0015
Silverback,Opportunistic Credit Strategy,2022-11-01,-0.0349
Silverback,Opportunistic Credit Strategy,2022-12-01,-0.006
Silverback,Opportunistic Credit Strategy,2023-01-01,0.0301
Silverback,Opportunistic Credit Strategy,2023-02-01,0.0229
Silverback,Opportunistic Credit Strategy,2023-03-01,-0.0446
Silverback,Opportunistic Credit Strategy,2023-04-01,-0.0078
Silverback,Opportunistic Credit Strategy,2023-05-01,0.0253
Silverback,Opportunistic Credit Strategy,2023-06-01,0.0381
Silverback,Opportunistic Credit Strategy,2023-07-01,0.0038
Silverback,Opportunistic Credit Strategy,2023-08-01,-0.0232
Silverback,Opportunistic Credit Strategy,2023-09-01,-0.0126
Silverback,Opportunistic Credit Strategy,2023-10-01,-0.0471
Silverback,Opportunistic Credit Strategy,2023-11-01,-0.0022
Silverback,Opportunistic Credit Strategy,2023-12-01,0.0375
Silverback,Opportunistic Credit Strategy,2024-01-01,-0.0092
Silverback,Opportunistic Credit Strategy,2024-02-01,0.0112
Silverback,Opportunistic Credit Strategy,2024-03-01,0.0319
Silverback,Opportunistic Credit Strategy,2024-04-01,-0.0141
Silverback,Opportunistic Credit Strategy,2024-05-01,0.0097
Silverback,Opportunistic Credit Strategy,2024-06-01,-0.0011
,,,
