Manager,Fund,Date,Change
Sourcerock Group,Sourcerock,2020-09-01,0.0079
Sourcerock Group,Sourcerock,2020-10-01,-0.0015
Sourcerock Group,Sourcerock,2020-11-01,0.071
Sourcerock Group,Sourcerock,2020-12-01,0.0202
Sourcerock Group,Sourcerock,2021-01-01,-0.1984
Sourcerock Group,Sourcerock,2021-02-01,0.2561
Sourcerock Group,Sourcerock,2021-03-01,-0.0259
Sourcerock Group,Sourcerock,2021-04-01,0.0332
Sourcerock Group,Sourcerock,2021-05-01,0.1891
Sourcerock Group,Sourcerock,2021-06-01,0.0619
Sourcerock Group,Sourcerock,2021-07-01,-0.0455
Sourcerock Group,Sourcerock,2021-08-01,0.046
Sourcerock Group,Sourcerock,2021-09-01,0.0813
Sourcerock Group,Sourcerock,2021-10-01,-0.0117
Sourcerock Group,Sourcerock,2021-11-01,-0.0104
Sourcerock Group,Sourcerock,2021-12-01,0.0503
Sourcerock Group,Sourcerock,2022-01-01,0.0697
Sourcerock Group,Sourcerock,2022-02-01,0.111
Sourcerock Group,Sourcerock,2022-03-01,0.0039
Sourcerock Group,Sourcerock,2022-04-01,0.011
Sourcerock Group,Sourcerock,2022-05-01,0.0727
Sourcerock Group,Sourcerock,2022-06-01,-0.0718
Sourcerock Group,Sourcerock,2022-07-01,0.0356
Sourcerock Group,Sourcerock,2022-08-01,0.0329
Sourcerock Group,Sourcerock,2022-09-01,0.0395
Sourcerock Group,Sourcerock,2022-10-01,0.1066
Sourcerock Group,Sourcerock,2022-11-01,0.0135
Sourcerock Group,Sourcerock,2022-12-01,0.0619
Sourcerock Group,Sourcerock,2023-01-01,0.0486
Sourcerock Group,Sourcerock,2023-02-01,0.0563
Sourcerock Group,Sourcerock,2023-03-01,0.0031
Sourcerock Group,Sourcerock,2023-04-01,0.0191
Sourcerock Group,Sourcerock,2023-05-01,0.0264
Sourcerock Group,Sourcerock,2023-06-01,-0.0108
Sourcerock Group,Sourcerock,2023-07-01,0.0284
Sourcerock Group,Sourcerock,2023-08-01,0.0405
Sourcerock Group,Sourcerock,2023-09-01,0.0044
Sourcerock Group,Sourcerock,2023-10-01,-0.0153
Sourcerock Group,Sourcerock,2023-11-01,-0.0153
Sourcerock Group,Sourcerock,2023-12-01,0.0148
Sourcerock Group,Sourcerock,2024-01-01,-0.0458
Sourcerock Group,Sourcerock,2024-02-01,-0.0222
Sourcerock Group,Sourcerock,2024-03-01,0.0279
Sourcerock Group,Sourcerock,2024-04-01,0.0035
Sourcerock Group,Sourcerock,2024-05-01,0.0068
Sourcerock Group,Sourcerock,2024-06-01,0.0015
