Manager,Fund,Date,Change
Suvretta Capital Management,Averill Master Fund - Series A,2020-03-01,0.059
Suvretta Capital Management,Averill Master Fund - Series A,2020-04-01,0.166
Suvretta Capital Management,Averill Master Fund - Series A,2020-05-01,0.303
Suvretta Capital Management,Averill Master Fund - Series A,2020-06-01,0.087
Suvretta Capital Management,Averill Master Fund - Series A,2020-07-01,0.055
Suvretta Capital Management,Averill Master Fund - Series A,2020-08-01,0.179
Suvretta Capital Management,Averill Master Fund - Series A,2020-09-01,0.061
Suvretta Capital Management,Averill Master Fund - Series A,2020-10-01,0.109
Suvretta Capital Management,Averill Master Fund - Series A,2020-11-01,0.053
Suvretta Capital Management,Averill Master Fund - Series A,2020-12-01,0.13
Suvretta Capital Management,Averill Master Fund - Series A,2021-01-01,-0.248
Suvretta Capital Management,Averill Master Fund - Series A,2021-02-01,0.255
Suvretta Capital Management,Averill Master Fund - Series A,2021-03-01,0.071
Suvretta Capital Management,Averill Master Fund - Series A,2021-04-01,-0.012
Suvretta Capital Management,Averill Master Fund - Series A,2021-05-01,0.019
Suvretta Capital Management,Averill Master Fund - Series A,2021-06-01,-0.101
Suvretta Capital Management,Averill Master Fund - Series A,2021-07-01,0.006
Suvretta Capital Management,Averill Master Fund - Series A,2021-08-01,0.03
Suvretta Capital Management,Averill Master Fund - Series A,2021-09-01,0.03
Suvretta Capital Management,Averill Master Fund - Series A,2021-10-01,0.071
Suvretta Capital Management,Averill Master Fund - Series A,2021-11-01,-0.018
Suvretta Capital Management,Averill Master Fund - Series A,2021-12-01,0.124
Suvretta Capital Management,Averill Master Fund - Series A,2022-01-01,0.104
Suvretta Capital Management,Averill Master Fund - Series A,2022-02-01,-0.01
Suvretta Capital Management,Averill Master Fund - Series A,2022-03-01,0.012
Suvretta Capital Management,Averill Master Fund - Series A,2022-04-01,0.068
Suvretta Capital Management,Averill Master Fund - Series A,2022-05-01,0
Suvretta Capital Management,Averill Master Fund - Series A,2022-06-01,-0.038
Suvretta Capital Management,Averill Master Fund - Series A,2022-07-01,-0.069
Suvretta Capital Management,Averill Master Fund - Series A,2022-08-01,-0.173
Suvretta Capital Management,Averill Master Fund - Series A,2022-09-01,0.01
Suvretta Capital Management,Averill Master Fund - Series A,2022-10-01,0.005
Suvretta Capital Management,Averill Master Fund - Series A,2022-11-01,0.027
Suvretta Capital Management,Averill Master Fund - Series A,2022-12-01,0.106
Suvretta Capital Management,Averill Master Fund - Series A,2023-01-01,-0.012
Suvretta Capital Management,Averill Master Fund - Series A,2023-02-01,-0.021
Suvretta Capital Management,Averill Master Fund - Series A,2023-03-01,0.044
Suvretta Capital Management,Averill Master Fund - Series A,2023-04-01,-0.003
Suvretta Capital Management,Averill Master Fund - Series A,2023-05-01,0.016
Suvretta Capital Management,Averill Master Fund - Series A,2023-06-01,0.034
Suvretta Capital Management,Averill Master Fund - Series A,2023-07-01,-0.012
Suvretta Capital Management,Averill Master Fund - Series A,2023-08-01,0.046
Suvretta Capital Management,Averill Master Fund - Series A,2023-09-01,0.051
Suvretta Capital Management,Averill Master Fund - Series A,2023-10-01,0.004
Suvretta Capital Management,Averill Master Fund - Series A,2023-11-01,-0.046
Suvretta Capital Management,Averill Master Fund - Series A,2023-12-01,0.025
Suvretta Capital Management,Averill Master Fund - Series A,2024-01-01,0.055
Suvretta Capital Management,Averill Master Fund - Series A,2024-02-01,0.054
Suvretta Capital Management,Averill Master Fund - Series A,2024-03-01,0.026
Suvretta Capital Management,Averill Master Fund - Series A,2024-04-01,-0.007
Suvretta Capital Management,Averill Master Fund - Series A,2024-05-01,0.003
Suvretta Capital Management,Averill Master Fund - Series A,2024-06-01,0.029
