Manager,Fund,Date,Change
Waratah,Waratah ONE X Class,2019-01-01,0.002
Waratah,Waratah ONE X Class,2019-02-01,0.025
Waratah,Waratah ONE X Class,2019-03-01,0.005
Waratah,Waratah ONE X Class,2019-04-01,0.003
Waratah,Waratah ONE X Class,2019-05-01,0.006
Waratah,Waratah ONE X Class,2019-06-01,0.005
Waratah,Waratah ONE X Class,2019-07-01,-0.001
Waratah,Waratah ONE X Class,2019-08-01,0.023
Waratah,Waratah ONE X Class,2019-09-01,-0.03
Waratah,Waratah ONE X Class,2019-10-01,-0.012
Waratah,Waratah ONE X Class,2019-11-01,0.02
Waratah,Waratah ONE X Class,2019-12-01,-0.008
Waratah,Waratah ONE X Class,2020-01-01,-0.018
Waratah,Waratah ONE X Class,2020-02-01,0.028
Waratah,Waratah ONE X Class,2020-03-01,0.056
Waratah,Waratah ONE X Class,2020-04-01,0.04
Waratah,Waratah ONE X Class,2020-05-01,-0.024
Waratah,Waratah ONE X Class,2020-06-01,0.003
Waratah,Waratah ONE X Class,2020-07-01,0.023
Waratah,Waratah ONE X Class,2020-08-01,-0.012
Waratah,Waratah ONE X Class,2020-09-01,0.009
Waratah,Waratah ONE X Class,2020-10-01,-0.015
Waratah,Waratah ONE X Class,2020-11-01,-0.007
Waratah,Waratah ONE X Class,2020-12-01,0.008
Waratah,Waratah ONE X Class,2021-01-01,-0.035
Waratah,Waratah ONE X Class,2021-02-01,0.022
Waratah,Waratah ONE X Class,2021-03-01,0.016
Waratah,Waratah ONE X Class,2021-04-01,0.007
Waratah,Waratah ONE X Class,2021-05-01,0
Waratah,Waratah ONE X Class,2021-06-01,0.024
Waratah,Waratah ONE X Class,2021-07-01,0.011
Waratah,Waratah ONE X Class,2021-08-01,0.027
Waratah,Waratah ONE X Class,2021-09-01,0.001
Waratah,Waratah ONE X Class,2021-10-01,0.001
Waratah,Waratah ONE X Class,2021-11-01,-0.01
Waratah,Waratah ONE X Class,2021-12-01,0.015
Waratah,Waratah ONE X Class,2022-01-01,0.006
Waratah,Waratah ONE X Class,2022-02-01,0.041
Waratah,Waratah ONE X Class,2022-03-01,-0.016
Waratah,Waratah ONE X Class,2022-04-01,0.029
Waratah,Waratah ONE X Class,2022-05-01,-0.014
Waratah,Waratah ONE X Class,2022-06-01,-0.009
Waratah,Waratah ONE X Class,2022-07-01,0.028
Waratah,Waratah ONE X Class,2022-08-01,0.002
Waratah,Waratah ONE X Class,2022-09-01,-0.01
Waratah,Waratah ONE X Class,2022-10-01,0.009
Waratah,Waratah ONE X Class,2022-11-01,-0.005
Waratah,Waratah ONE X Class,2022-12-01,0
Waratah,Waratah ONE X Class,2023-01-01,0.004
Waratah,Waratah ONE X Class,2023-02-01,-0.022
Waratah,Waratah ONE X Class,2023-03-01,0.007
Waratah,Waratah ONE X Class,2023-04-01,-0.006
Waratah,Waratah ONE X Class,2023-05-01,-0.021
Waratah,Waratah ONE X Class,2023-06-01,0
Waratah,Waratah ONE X Class,2023-07-01,-0.002
Waratah,Waratah ONE X Class,2023-08-01,0.005
Waratah,Waratah ONE X Class,2023-09-01,0.025
Waratah,Waratah ONE X Class,2023-10-01,0.013
Waratah,Waratah ONE X Class,2023-11-01,-0.008
Waratah,Waratah ONE X Class,2023-12-01,-0.007
Waratah,Waratah ONE X Class,2024-01-01,0.017
Waratah,Waratah ONE X Class,2024-02-01,0.037
Waratah,Waratah ONE X Class,2024-03-01,0.005
Waratah,Waratah ONE X Class,2024-04-01,0.012
Waratah,Waratah ONE X Class,2024-05-01,0.008
Waratah,Waratah ONE X Class,2024-06-01,-0.004
