Manager,Fund,Date,Change
XIB Asset Management,XIB,2019-08-01,0.0142
XIB Asset Management,XIB,2019-09-01,0.0085
XIB Asset Management,XIB,2019-10-01,-0.0258
XIB Asset Management,XIB,2019-11-01,0.031
XIB Asset Management,XIB,2019-12-01,0.0215
XIB Asset Management,XIB,2020-01-01,0.0309
XIB Asset Management,XIB,2020-02-01,0.0505
XIB Asset Management,XIB,2020-03-01,0.0158
XIB Asset Management,XIB,2020-04-01,0.0484
XIB Asset Management,XIB,2020-05-01,0.0689
XIB Asset Management,XIB,2020-06-01,0.0449
XIB Asset Management,XIB,2020-07-01,0.0769
XIB Asset Management,XIB,2020-08-01,0.0313
XIB Asset Management,XIB,2020-09-01,0.0001
XIB Asset Management,XIB,2020-10-01,0.0157
XIB Asset Management,XIB,2020-11-01,0.014
XIB Asset Management,XIB,2020-12-01,0.1763
XIB Asset Management,XIB,2021-01-01,0.2014
XIB Asset Management,XIB,2021-02-01,0.3965
XIB Asset Management,XIB,2021-03-01,0.1565
XIB Asset Management,XIB,2021-04-01,0.0002
XIB Asset Management,XIB,2021-05-01,0.0224
XIB Asset Management,XIB,2021-06-01,-0.0045
XIB Asset Management,XIB,2021-07-01,0.0165
XIB Asset Management,XIB,2021-08-01,-0.0357
XIB Asset Management,XIB,2021-09-01,-0.0346
XIB Asset Management,XIB,2021-10-01,0.0285
XIB Asset Management,XIB,2021-11-01,0.0446
XIB Asset Management,XIB,2021-12-01,-0.0082
XIB Asset Management,XIB,2022-01-01,-0.052
XIB Asset Management,XIB,2022-02-01,-0.0086
XIB Asset Management,XIB,2022-03-01,-0.0308
XIB Asset Management,XIB,2022-04-01,-0.0457
XIB Asset Management,XIB,2022-05-01,-0.0311
XIB Asset Management,XIB,2022-06-01,-0.0288
XIB Asset Management,XIB,2022-07-01,-0.026
XIB Asset Management,XIB,2022-08-01,0.0168
XIB Asset Management,XIB,2022-09-01,0.04
XIB Asset Management,XIB,2022-10-01,-0.0374
XIB Asset Management,XIB,2022-11-01,0.0418
XIB Asset Management,XIB,2022-12-01,0.0077
XIB Asset Management,XIB,2023-01-01,0.0198
XIB Asset Management,XIB,2023-02-01,0.0058
XIB Asset Management,XIB,2023-03-01,0.0082
XIB Asset Management,XIB,2023-04-01,0.0145
XIB Asset Management,XIB,2023-05-01,-0.0533
XIB Asset Management,XIB,2023-06-01,-0.008
XIB Asset Management,XIB,2023-07-01,0.0048
XIB Asset Management,XIB,2023-08-01,0.0371
XIB Asset Management,XIB,2023-09-01,0.0379
XIB Asset Management,XIB,2023-10-01,-0.0197
XIB Asset Management,XIB,2023-11-01,0.0252
XIB Asset Management,XIB,2023-12-01,-0.008
XIB Asset Management,XIB,2024-01-01,0.0651
XIB Asset Management,XIB,2024-02-01,-0.0296
XIB Asset Management,XIB,2024-03-01,0.0837
XIB Asset Management,XIB,2024-04-01,0.11
XIB Asset Management,XIB,2024-05-01,-0.0413
XIB Asset Management,XIB,2024-06-01,-0.067
