Manager,Fund,Date,Change
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-01-01,0.0223
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-02-01,0.0269
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-03-01,0.0073
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-04-01,0.0053
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-05-01,0.0008
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-06-01,0.0162
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-07-01,0.0019
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-08-01,-0.0003
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-09-01,0.0002
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-10-01,0.0128
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-11-01,0.0058
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2018-12-01,-0.0083
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-01-01,0.0263
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-02-01,0.0146
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-03-01,-0.0087
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-04-01,0.0191
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-05-01,0.0025
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-06-01,0.0087
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-07-01,-0.0012
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-08-01,0.0021
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-09-01,0.0012
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-10-01,0.0094
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-11-01,0.0059
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2019-12-01,0.019
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-01-01,0.007
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-02-01,0.0047
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-03-01,-0.0321
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-04-01,0.0187
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-05-01,0.0137
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-06-01,0.0109
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-07-01,0.0059
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-08-01,0.0158
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-09-01,0.0141
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-10-01,0.011
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-11-01,0.0136
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2020-12-01,0.0129
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-01-01,0.0182
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-02-01,0.0158
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-03-01,0.0186
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-04-01,0.0052
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-05-01,0.0072
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-06-01,0.004
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-07-01,-0.009
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-08-01,0.0037
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-09-01,0.004
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-10-01,-0.0033
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-11-01,0.0032
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2021-12-01,0.0019
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-01-01,0.0111
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-02-01,0.0154
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-03-01,0.0042
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-04-01,0.0106
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-05-01,-0.0032
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-06-01,0.0132
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-07-01,-0.0212
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-08-01,0.0079
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-09-01,-0.0006
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-10-01,-0.0123
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-11-01,0.0023
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2022-12-01,0.014
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2023-01-01,0.0091
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2023-02-01,0.0121
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2023-03-01,0.0148
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2023-04-01,0.0052
Mariner Investment Group,Mariner Atlantic Multi-Strategy,2023-05-01,-0.0045
