Manager,Fund,Date,Change
Gibson Capital,Dynamic Alpha Fund,2016-07-01,-0.0013
Gibson Capital,Dynamic Alpha Fund,2016-08-01,-0.0065
Gibson Capital,Dynamic Alpha Fund,2016-09-01,0.0177
Gibson Capital,Dynamic Alpha Fund,2016-10-01,-0.012
Gibson Capital,Dynamic Alpha Fund,2016-11-01,0.018
Gibson Capital,Dynamic Alpha Fund,2016-12-01,0.0303
Gibson Capital,Dynamic Alpha Fund,2017-01-01,-0.0108
Gibson Capital,Dynamic Alpha Fund,2017-02-01,0.0084
Gibson Capital,Dynamic Alpha Fund,2017-03-01,-0.0242
Gibson Capital,Dynamic Alpha Fund,2017-04-01,0.013
Gibson Capital,Dynamic Alpha Fund,2017-05-01,-0.0121
Gibson Capital,Dynamic Alpha Fund,2017-06-01,0.014
Gibson Capital,Dynamic Alpha Fund,2017-07-01,0.0079
Gibson Capital,Dynamic Alpha Fund,2017-08-01,-0.0025
Gibson Capital,Dynamic Alpha Fund,2017-09-01,-0.0006
Gibson Capital,Dynamic Alpha Fund,2017-10-01,0.016
Gibson Capital,Dynamic Alpha Fund,2017-11-01,-0.0049
Gibson Capital,Dynamic Alpha Fund,2017-12-01,0.0098
Gibson Capital,Dynamic Alpha Fund,2018-01-01,-0.0103
Gibson Capital,Dynamic Alpha Fund,2018-02-01,0.0137
Gibson Capital,Dynamic Alpha Fund,2018-03-01,-0.0007
Gibson Capital,Dynamic Alpha Fund,2018-04-01,0.004
Gibson Capital,Dynamic Alpha Fund,2018-05-01,-0.0032
Gibson Capital,Dynamic Alpha Fund,2018-06-01,-0.0058
Gibson Capital,Dynamic Alpha Fund,2018-07-01,0.0147
Gibson Capital,Dynamic Alpha Fund,2018-08-01,-0.0074
Gibson Capital,Dynamic Alpha Fund,2018-09-01,0.0171
Gibson Capital,Dynamic Alpha Fund,2018-10-01,0.0035
Gibson Capital,Dynamic Alpha Fund,2018-11-01,-0.0008
Gibson Capital,Dynamic Alpha Fund,2018-12-01,-0.0103
Gibson Capital,Dynamic Alpha Fund,2019-01-01,0.0098
Gibson Capital,Dynamic Alpha Fund,2019-02-01,-0.0007
Gibson Capital,Dynamic Alpha Fund,2019-03-01,0.0317
Gibson Capital,Dynamic Alpha Fund,2019-04-01,0.0023
Gibson Capital,Dynamic Alpha Fund,2019-05-01,0.0038
Gibson Capital,Dynamic Alpha Fund,2019-06-01,-0.0074
Gibson Capital,Dynamic Alpha Fund,2019-07-01,0.0044
Gibson Capital,Dynamic Alpha Fund,2019-08-01,-0.0019
Gibson Capital,Dynamic Alpha Fund,2019-09-01,0.0053
Gibson Capital,Dynamic Alpha Fund,2019-10-01,0.0003
Gibson Capital,Dynamic Alpha Fund,2019-11-01,-0.0064
Gibson Capital,Dynamic Alpha Fund,2019-12-01,0.0081
Gibson Capital,Dynamic Alpha Fund,2020-01-01,-0.0044
Gibson Capital,Dynamic Alpha Fund,2020-02-01,0.0065
Gibson Capital,Dynamic Alpha Fund,2020-03-01,0.0086
Gibson Capital,Dynamic Alpha Fund,2020-04-01,0.0061
Gibson Capital,Dynamic Alpha Fund,2020-05-01,0.0037
Gibson Capital,Dynamic Alpha Fund,2020-06-01,-0.0016
Gibson Capital,Dynamic Alpha Fund,2020-07-01,0.0342
Gibson Capital,Dynamic Alpha Fund,2020-08-01,0.0067
Gibson Capital,Dynamic Alpha Fund,2020-09-01,-0.01
Gibson Capital,Dynamic Alpha Fund,2020-10-01,0.0067
Gibson Capital,Dynamic Alpha Fund,2020-11-01,-0.0033
Gibson Capital,Dynamic Alpha Fund,2020-12-01,0.0081
Gibson Capital,Dynamic Alpha Fund,2021-01-01,0.0086
Gibson Capital,Dynamic Alpha Fund,2021-02-01,-0.0158
Gibson Capital,Dynamic Alpha Fund,2021-03-01,0.0252
Gibson Capital,Dynamic Alpha Fund,2021-04-01,0.0352
Gibson Capital,Dynamic Alpha Fund,2021-05-01,0.0113
Gibson Capital,Dynamic Alpha Fund,2021-06-01,0.0008
Gibson Capital,Dynamic Alpha Fund,2021-07-01,-0.0018
Gibson Capital,Dynamic Alpha Fund,2021-08-01,0.0165
Gibson Capital,Dynamic Alpha Fund,2021-09-01,-0.0079
Gibson Capital,Dynamic Alpha Fund,2021-10-01,-0.0067
Gibson Capital,Dynamic Alpha Fund,2021-11-01,-0.0049
Gibson Capital,Dynamic Alpha Fund,2021-12-01,-0.0029
Gibson Capital,Dynamic Alpha Fund,2022-01-01,0.0021
Gibson Capital,Dynamic Alpha Fund,2022-02-01,-0.0007
Gibson Capital,Dynamic Alpha Fund,2022-03-01,-0.0159
Gibson Capital,Dynamic Alpha Fund,2022-04-01,0.0177
Gibson Capital,Dynamic Alpha Fund,2022-05-01,-0.0015
Gibson Capital,Dynamic Alpha Fund,2022-06-01,-0.0061
Gibson Capital,Dynamic Alpha Fund,2022-07-01,0.0043
Gibson Capital,Dynamic Alpha Fund,2022-08-01,0.012
Gibson Capital,Dynamic Alpha Fund,2022-09-01,0.0105
Gibson Capital,Dynamic Alpha Fund,2022-10-01,0.0081
Gibson Capital,Dynamic Alpha Fund,2022-11-01,0.0034
Gibson Capital,Dynamic Alpha Fund,2022-12-01,0.0624
Gibson Capital,Dynamic Alpha Fund,2023-01-01,0.0004
Gibson Capital,Dynamic Alpha Fund,2023-02-01,0.0059
Gibson Capital,Dynamic Alpha Fund,2023-03-01,0.0237
Gibson Capital,Dynamic Alpha Fund,2023-04-01,0.0033
