Manager,Fund,Date,Change
Incline Investment Management,Tahoe Fund,2012-07-01,0.0593
Incline Investment Management,Tahoe Fund,2012-08-01,0.0303
Incline Investment Management,Tahoe Fund,2012-09-01,-0.0245
Incline Investment Management,Tahoe Fund,2012-10-01,-0.0459
Incline Investment Management,Tahoe Fund,2012-11-01,0.0122
Incline Investment Management,Tahoe Fund,2012-12-01,0.0184
Incline Investment Management,Tahoe Fund,2013-01-01,-0.0217
Incline Investment Management,Tahoe Fund,2013-02-01,-0.0203
Incline Investment Management,Tahoe Fund,2013-03-01,0.0402
Incline Investment Management,Tahoe Fund,2013-04-01,-0.0224
Incline Investment Management,Tahoe Fund,2013-05-01,0.0604
Incline Investment Management,Tahoe Fund,2013-06-01,0.0064
Incline Investment Management,Tahoe Fund,2013-07-01,0.0358
Incline Investment Management,Tahoe Fund,2013-08-01,-0.0183
Incline Investment Management,Tahoe Fund,2013-09-01,-0.0338
Incline Investment Management,Tahoe Fund,2013-10-01,-0.0568
Incline Investment Management,Tahoe Fund,2013-11-01,0.0713
Incline Investment Management,Tahoe Fund,2013-12-01,0.0414
Incline Investment Management,Tahoe Fund,2014-01-01,0.0568
Incline Investment Management,Tahoe Fund,2014-02-01,-0.0099
Incline Investment Management,Tahoe Fund,2014-03-01,0.0001
Incline Investment Management,Tahoe Fund,2014-04-01,0.0075
Incline Investment Management,Tahoe Fund,2014-05-01,-0.0059
Incline Investment Management,Tahoe Fund,2014-06-01,0.0163
Incline Investment Management,Tahoe Fund,2014-07-01,-0.0521
Incline Investment Management,Tahoe Fund,2014-08-01,0.0469
Incline Investment Management,Tahoe Fund,2014-09-01,0.0665
Incline Investment Management,Tahoe Fund,2014-10-01,-0.0152
Incline Investment Management,Tahoe Fund,2014-11-01,0.045
Incline Investment Management,Tahoe Fund,2014-12-01,0.0351
Incline Investment Management,Tahoe Fund,2015-01-01,0.0413
Incline Investment Management,Tahoe Fund,2015-02-01,-0.043
Incline Investment Management,Tahoe Fund,2015-03-01,0.0092
Incline Investment Management,Tahoe Fund,2015-04-01,-0.0268
Incline Investment Management,Tahoe Fund,2015-05-01,-0.0103
Incline Investment Management,Tahoe Fund,2015-06-01,-0.0375
Incline Investment Management,Tahoe Fund,2015-07-01,0.0228
Incline Investment Management,Tahoe Fund,2015-08-01,-0.035
Incline Investment Management,Tahoe Fund,2015-09-01,0.0334
Incline Investment Management,Tahoe Fund,2015-10-01,-0.0809
Incline Investment Management,Tahoe Fund,2015-11-01,0.0391
Incline Investment Management,Tahoe Fund,2015-12-01,-0.0704
Incline Investment Management,Tahoe Fund,2016-01-01,0.0867
Incline Investment Management,Tahoe Fund,2016-02-01,0.0655
Incline Investment Management,Tahoe Fund,2016-03-01,-0.0766
Incline Investment Management,Tahoe Fund,2016-04-01,0.0226
Incline Investment Management,Tahoe Fund,2016-05-01,-0.0843
Incline Investment Management,Tahoe Fund,2016-06-01,0.0945
Incline Investment Management,Tahoe Fund,2016-07-01,0.0335
Incline Investment Management,Tahoe Fund,2016-08-01,-0.0729
Incline Investment Management,Tahoe Fund,2016-09-01,-0.0131
Incline Investment Management,Tahoe Fund,2016-10-01,-0.0705
Incline Investment Management,Tahoe Fund,2016-11-01,0.0387
Incline Investment Management,Tahoe Fund,2016-12-01,0.0141
Incline Investment Management,Tahoe Fund,2017-01-01,-0.0189
Incline Investment Management,Tahoe Fund,2017-02-01,0.0323
Incline Investment Management,Tahoe Fund,2017-03-01,-0.0662
Incline Investment Management,Tahoe Fund,2017-04-01,0.0044
Incline Investment Management,Tahoe Fund,2017-05-01,0.0226
Incline Investment Management,Tahoe Fund,2017-06-01,-0.0411
Incline Investment Management,Tahoe Fund,2017-07-01,0.0246
Incline Investment Management,Tahoe Fund,2017-08-01,0.0149
Incline Investment Management,Tahoe Fund,2017-09-01,-0.0482
Incline Investment Management,Tahoe Fund,2017-10-01,0.08
Incline Investment Management,Tahoe Fund,2017-11-01,0.0135
Incline Investment Management,Tahoe Fund,2017-12-01,0.0196
Incline Investment Management,Tahoe Fund,2018-01-01,0.0788
Incline Investment Management,Tahoe Fund,2018-02-01,-0.108
Incline Investment Management,Tahoe Fund,2018-03-01,0.0033
Incline Investment Management,Tahoe Fund,2018-04-01,0.0217
Incline Investment Management,Tahoe Fund,2018-05-01,0.0065
Incline Investment Management,Tahoe Fund,2018-06-01,0.0033
Incline Investment Management,Tahoe Fund,2018-07-01,0.0139
