Manager,Fund,Date,Change
J E Moody &  Company,1x ret%,2015-01-01,0.0023
J E Moody &  Company,1x ret%,2015-02-01,0.0376
J E Moody &  Company,1x ret%,2015-03-01,-0.0191
J E Moody &  Company,1x ret%,2015-04-01,-0.0151
J E Moody &  Company,1x ret%,2015-05-01,-0.0088
J E Moody &  Company,1x ret%,2015-06-01,-0.0042
J E Moody &  Company,1x ret%,2015-07-01,0.0118
J E Moody &  Company,1x ret%,2015-08-01,-0.0106
J E Moody &  Company,1x ret%,2015-09-01,-0.0039
J E Moody &  Company,1x ret%,2015-10-01,-0.0034
J E Moody &  Company,1x ret%,2015-11-01,0.0267
J E Moody &  Company,1x ret%,2015-12-01,-0.0019
J E Moody &  Company,1x ret%,2016-01-01,0.0048
J E Moody &  Company,1x ret%,2016-02-01,-0.0101
J E Moody &  Company,1x ret%,2016-03-01,-0.0048
J E Moody &  Company,1x ret%,2016-04-01,-0.0058
J E Moody &  Company,1x ret%,2016-05-01,-0.0037
J E Moody &  Company,1x ret%,2016-06-01,-0.0152
J E Moody &  Company,1x ret%,2016-07-01,0.0110
J E Moody &  Company,1x ret%,2016-08-01,0.0017
J E Moody &  Company,1x ret%,2016-09-01,0.0163
J E Moody &  Company,1x ret%,2016-10-01,-0.0132
J E Moody &  Company,1x ret%,2016-11-01,0.0057
J E Moody &  Company,1x ret%,2016-12-01,-0.0026
J E Moody &  Company,1x ret%,2017-01-01,-0.0015
J E Moody &  Company,1x ret%,2017-02-01,-0.0014
J E Moody &  Company,1x ret%,2017-03-01,0.0205
J E Moody &  Company,1x ret%,2017-04-01,-0.0099
J E Moody &  Company,1x ret%,2017-05-01,-0.0158
J E Moody &  Company,1x ret%,2017-06-01,0.0203
J E Moody &  Company,1x ret%,2017-07-01,0.0172
J E Moody &  Company,1x ret%,2017-08-01,0.0223
J E Moody &  Company,1x ret%,2017-09-01,-0.0074
J E Moody &  Company,1x ret%,2017-10-01,-0.0082
J E Moody &  Company,1x ret%,2017-11-01,0.0111
J E Moody &  Company,1x ret%,2017-12-01,-0.0040
J E Moody &  Company,1x ret%,2018-01-01,0.0412
J E Moody &  Company,1x ret%,2018-02-01,-0.0005
J E Moody &  Company,1x ret%,2018-03-01,0.0075
J E Moody &  Company,1x ret%,2018-04-01,-0.0128
J E Moody &  Company,1x ret%,2018-05-01,-0.0031
J E Moody &  Company,1x ret%,2018-06-01,-0.0017
J E Moody &  Company,1x ret%,2018-07-01,0.0286
J E Moody &  Company,1x ret%,2018-08-01,-0.0066
J E Moody &  Company,1x ret%,2018-09-01,-0.0003
J E Moody &  Company,1x ret%,2018-10-01,0.0120
J E Moody &  Company,1x ret%,2018-11-01,-0.0079
J E Moody &  Company,1x ret%,2018-12-01,0.0065
J E Moody &  Company,1x ret%,2019-01-01,-0.0134
J E Moody &  Company,1x ret%,2019-02-01,0.0022
J E Moody &  Company,1x ret%,2019-03-01,0.0094
J E Moody &  Company,1x ret%,2019-04-01,-0.0021
J E Moody &  Company,1x ret%,2019-05-01,0.0062
J E Moody &  Company,1x ret%,2019-06-01,-0.0092
J E Moody &  Company,1x ret%,2019-07-01,-0.0052
J E Moody &  Company,1x ret%,2019-08-01,-0.0079
J E Moody &  Company,1x ret%,2019-09-01,-0.0074
J E Moody &  Company,1x ret%,2019-10-01,-0.0055
J E Moody &  Company,1x ret%,2019-11-01,0.0002
J E Moody &  Company,1x ret%,2019-12-01,-0.0007
J E Moody &  Company,1x ret%,2020-01-01,0.0145
J E Moody &  Company,1x ret%,2020-02-01,0.0246
J E Moody &  Company,1x ret%,2020-03-01,0.0818
J E Moody &  Company,1x ret%,2020-04-01,-0.0022
J E Moody &  Company,1x ret%,2020-05-01,-0.0171
J E Moody &  Company,1x ret%,2020-06-01,0.0062
J E Moody &  Company,1x ret%,2020-07-01,-0.0038
J E Moody &  Company,1x ret%,2020-08-01,-0.0076
J E Moody &  Company,1x ret%,2020-09-01,0.0109
J E Moody &  Company,1x ret%,2020-10-01,0.0049
