Manager,Fund,Date,Change
John Street Capital ,John Street Systematic Strategy Fund,2015-01-01,0.0159
John Street Capital ,John Street Systematic Strategy Fund,2015-02-01,-0.0047
John Street Capital ,John Street Systematic Strategy Fund,2015-03-01,0.0042
John Street Capital ,John Street Systematic Strategy Fund,2015-04-01,0.0146
John Street Capital ,John Street Systematic Strategy Fund,2015-05-01,0.0194
John Street Capital ,John Street Systematic Strategy Fund,2015-06-01,-0.0039
John Street Capital ,John Street Systematic Strategy Fund,2015-07-01,0.0299
John Street Capital ,John Street Systematic Strategy Fund,2015-08-01,0.0149
John Street Capital ,John Street Systematic Strategy Fund,2015-09-01,0.0242
John Street Capital ,John Street Systematic Strategy Fund,2015-10-01,-0.0234
John Street Capital ,John Street Systematic Strategy Fund,2015-11-01,-0.0211
John Street Capital ,John Street Systematic Strategy Fund,2015-12-01,-0.0067
John Street Capital ,John Street Systematic Strategy Fund,2016-01-01,0.0415
John Street Capital ,John Street Systematic Strategy Fund,2016-02-01,0.0016
John Street Capital ,John Street Systematic Strategy Fund,2016-03-01,0.0121
John Street Capital ,John Street Systematic Strategy Fund,2016-04-01,-0.026
John Street Capital ,John Street Systematic Strategy Fund,2016-05-01,0.0076
John Street Capital ,John Street Systematic Strategy Fund,2016-06-01,-0.007
John Street Capital ,John Street Systematic Strategy Fund,2016-07-01,0.0316
John Street Capital ,John Street Systematic Strategy Fund,2016-08-01,0.0254
John Street Capital ,John Street Systematic Strategy Fund,2016-09-01,-0.0247
John Street Capital ,John Street Systematic Strategy Fund,2016-10-01,0.0033
John Street Capital ,John Street Systematic Strategy Fund,2016-11-01,0.0061
John Street Capital ,John Street Systematic Strategy Fund,2016-12-01,-0.0175
John Street Capital ,John Street Systematic Strategy Fund,2017-01-01,-0.0183
John Street Capital ,John Street Systematic Strategy Fund,2017-02-01,0.0109
John Street Capital ,John Street Systematic Strategy Fund,2017-03-01,0.0121
John Street Capital ,John Street Systematic Strategy Fund,2017-04-01,-0.0031
John Street Capital ,John Street Systematic Strategy Fund,2017-05-01,-0.0249
John Street Capital ,John Street Systematic Strategy Fund,2017-06-01,-0.0039
John Street Capital ,John Street Systematic Strategy Fund,2017-07-01,0.0443
John Street Capital ,John Street Systematic Strategy Fund,2017-08-01,0.0087
John Street Capital ,John Street Systematic Strategy Fund,2017-09-01,0.0103
John Street Capital ,John Street Systematic Strategy Fund,2017-10-01,-0.0124
John Street Capital ,John Street Systematic Strategy Fund,2017-11-01,0.0183
John Street Capital ,John Street Systematic Strategy Fund,2017-12-01,-0.0036
John Street Capital ,John Street Systematic Strategy Fund,2018-01-01,0.0384
John Street Capital ,John Street Systematic Strategy Fund,2018-02-01,-0.0407
John Street Capital ,John Street Systematic Strategy Fund,2018-03-01,0.0084
John Street Capital ,John Street Systematic Strategy Fund,2018-04-01,0.0089
John Street Capital ,John Street Systematic Strategy Fund,2018-05-01,0.045
