Manager,Fund,Date,Change
Machina,Machina Neutron Fund,2018-01-01,0.0000
Machina,Machina Neutron Fund,2018-02-01,0.0200
Machina,Machina Neutron Fund,2018-03-01,0.0060
Machina,Machina Neutron Fund,2018-04-01,-0.0050
Machina,Machina Neutron Fund,2018-05-01,0.0410
Machina,Machina Neutron Fund,2018-06-01,0.0040
Machina,Machina Neutron Fund,2018-07-01,0.0080
Machina,Machina Neutron Fund,2018-08-01,0.0130
Machina,Machina Neutron Fund,2018-09-01,0.0070
Machina,Machina Neutron Fund,2018-10-01,0.0000
Machina,Machina Neutron Fund,2018-11-01,-0.0070
Machina,Machina Neutron Fund,2018-12-01,0.0210
Machina,Machina Neutron Fund,2019-01-01,0.0300
Machina,Machina Neutron Fund,2019-02-01,-0.0030
Machina,Machina Neutron Fund,2019-03-01,0.0130
Machina,Machina Neutron Fund,2019-04-01,-0.0140
Machina,Machina Neutron Fund,2019-05-01,0.0070
Machina,Machina Neutron Fund,2019-06-01,-0.0070
Machina,Machina Neutron Fund,2019-07-01,-0.0240
Machina,Machina Neutron Fund,2019-08-01,-0.0040
Machina,Machina Neutron Fund,2019-09-01,0.0220
Machina,Machina Neutron Fund,2019-10-01,0.0240
Machina,Machina Neutron Fund,2019-11-01,-0.0400
Machina,Machina Neutron Fund,2019-12-01,0.0080
Machina,Machina Neutron Fund,2020-01-01,0.0024
Machina,Machina Neutron Fund,2020-02-01,-0.0200
Machina,Machina Neutron Fund,2020-03-01,0.0830
Machina,Machina Neutron Fund,2020-04-01,0.0560
Machina,Machina Neutron Fund,2020-05-01,0.0200
Machina,Machina Neutron Fund,2020-06-01,0.0410
Machina,Machina Neutron Fund,2020-07-01,0.0080
Machina,Machina Neutron Fund,2020-08-01,0.0080
Machina,Machina Neutron Fund,2020-09-01,0.0090
Machina,Machina Neutron Fund,2020-10-01,-0.0230
Machina,Machina Neutron Fund,2020-11-01,0.0520
Machina,Machina Neutron Fund,2020-12-01,0.0130
Machina,Machina Neutron Fund,2021-01-01,0.0110
Machina,Machina Neutron Fund,2021-02-01,0.0050
Machina,Machina Neutron Fund,2021-03-01,0.0130
Machina,Machina Neutron Fund,2021-04-01,0.0330
Machina,Machina Neutron Fund,2021-05-01,0.0190
Machina,Machina Neutron Fund,2021-06-01,-0.0090
Machina,Machina Neutron Fund,2021-07-01,0.0100
Machina,Machina Neutron Fund,2021-08-01,-0.0340
Machina,Machina Neutron Fund,2021-09-01,-0.0160
Machina,Machina Neutron Fund,2021-10-01,0.0020
Machina,Machina Neutron Fund,2021-11-01,0.0010
Machina,Machina Neutron Fund,2021-12-01,0.0190
Machina,Machina Neutron Fund,2022-01-01,0.0010
Machina,Machina Neutron Fund,2022-02-01,-0.0060
Machina,Machina Neutron Fund,2022-03-01,0.0300
Machina,Machina Neutron Fund,2022-04-01,0.0090
Machina,Machina Neutron Fund,2022-05-01,-0.0090
Machina,Machina Neutron Fund,2022-06-01,0.0190
Machina,Machina Neutron Fund,2022-07-01,0.0110
Machina,Machina Neutron Fund,2022-08-01,0.0030
Machina,Machina Neutron Fund,2022-09-01,-0.0030
Machina,Machina Neutron Fund,2022-10-01,0.0020
Machina,Machina Neutron Fund,2022-11-01,0.0010
Machina,Machina Neutron Fund,2022-12-01,-0.0040
Machina,Machina Neutron Fund,2023-01-01,-0.0210
Machina,Machina Neutron Fund,2023-02-01,0.0210
Machina,Machina Neutron Fund,2023-03-01,-0.0010
Machina,Machina Neutron Fund,2023-04-01,0.0080
Machina,Machina Neutron Fund,2023-05-01,0.0010
Machina,Machina Neutron Fund,2023-06-01,0.0070
Machina,Machina Neutron Fund,2023-07-01,-0.0250
