Manager,Fund,Date,Change
Maple Rock,Class B,2015-01-01,0.0034
Maple Rock,Class B,2015-02-01,0.0086
Maple Rock,Class B,2015-03-01,0.02
Maple Rock,Class B,2015-04-01,-0.0075
Maple Rock,Class B,2015-05-01,-0.0074
Maple Rock,Class B,2015-06-01,-0.0072
Maple Rock,Class B,2015-07-01,0.0001
Maple Rock,Class B,2015-08-01,-0.0151
Maple Rock,Class B,2015-09-01,-0.042
Maple Rock,Class B,2015-10-01,-0.0165
Maple Rock,Class B,2015-11-01,-0.0054
Maple Rock,Class B,2015-12-01,-0.0176
Maple Rock,Class B,2016-01-01,-0.0386
Maple Rock,Class B,2016-02-01,-0.0244
Maple Rock,Class B,2016-03-01,0.0847
Maple Rock,Class B,2016-04-01,0.034
Maple Rock,Class B,2016-05-01,0.038
Maple Rock,Class B,2016-06-01,-0.0004
Maple Rock,Class B,2016-07-01,0.001
Maple Rock,Class B,2016-08-01,0.021
Maple Rock,Class B,2016-09-01,0.0389
Maple Rock,Class B,2016-10-01,0.0021
Maple Rock,Class B,2016-11-01,0.0586
Maple Rock,Class B,2016-12-01,0.0085
Maple Rock,Class B,2017-01-01,0.0197
Maple Rock,Class B,2017-02-01,0.0069
Maple Rock,Class B,2017-03-01,-0.0111
Maple Rock,Class B,2017-04-01,0.0087
Maple Rock,Class B,2017-05-01,-0.0269
Maple Rock,Class B,2017-06-01,-0.0068
Maple Rock,Class B,2017-07-01,0.0471
Maple Rock,Class B,2017-08-01,0.018
Maple Rock,Class B,2017-09-01,-0.0211
Maple Rock,Class B,2017-10-01,0.0367
Maple Rock,Class B,2017-11-01,-0.0097
Maple Rock,Class B,2017-12-01,0.0225
Maple Rock,Class B,2018-01-01,0.0592
Maple Rock,Class B,2018-02-01,-0.0392
Maple Rock,Class B,2018-03-01,-0.0159
Maple Rock,Class B,2018-04-01,-0.0277
Maple Rock,Class B,2018-05-01,0.0046
Maple Rock,Class B,2018-06-01,0.0012
Maple Rock,Class B,2018-07-01,0.0174
Maple Rock,Class B,2018-08-01,0.0109
Maple Rock,Class B,2018-09-01,-0.0186
Maple Rock,Class B,2018-10-01,-0.0425
Maple Rock,Class B,2018-11-01,-0.0163
Maple Rock,Class B,2018-12-01,-0.023
Maple Rock,Class B,2019-01-01,0.0195
Maple Rock,Class B,2019-02-01,0.0344
Maple Rock,Class B,2019-03-01,-0.0122
Maple Rock,Class B,2019-04-01,0.0511
Maple Rock,Class B,2019-05-01,-0.0161
Maple Rock,Class B,2019-06-01,-0.0128
Maple Rock,Class B,2019-07-01,0.0274
Maple Rock,Class B,2019-08-01,0.0182
Maple Rock,Class B,2019-09-01,-0.0152
Maple Rock,Class B,2019-10-01,-0.0124
Maple Rock,Class B,2019-11-01,0.0721
Maple Rock,Class B,2019-12-01,0.0251
Maple Rock,Class B,2020-01-01,-0.0499
Maple Rock,Class B,2020-02-01,-0.0909
Maple Rock,Class B,2020-03-01,-0.1725
Maple Rock,Class B,2020-04-01,0.1241
Maple Rock,Class B,2020-05-01,0.0461
Maple Rock,Class B,2020-06-01,0.0321
Maple Rock,Class B,2020-07-01,0.0149
Maple Rock,Class B,2020-08-01,0.0702
Maple Rock,Class B,2020-09-01,-0.0629
Maple Rock,Class B,2020-10-01,-0.0313
Maple Rock,Class B,2020-11-01,0.2343
Maple Rock,Class B,2020-12-01,0.1489
Maple Rock,Class B,2021-01-01,0.0372
Maple Rock,Class B,2021-02-01,0.2453
Maple Rock,Class B,2021-03-01,0.0179
Maple Rock,Class B,2021-04-01,0.054
Maple Rock,Class B,2021-05-01,0.08
Maple Rock,Class B,2021-06-01,-0.0084
Maple Rock,Class B,2021-07-01,-0.0307
Maple Rock,Class B,2021-08-01,-0.0195
Maple Rock,Class B,2021-09-01,0.1161
Maple Rock,Class B,2021-10-01,0.0143
Maple Rock,Class B,2021-11-01,-0.0576
Maple Rock,Class B,2021-12-01,0.022
Maple Rock,Class B,2022-01-01,0.0728
Maple Rock,Class B,2022-02-01,0.0049
Maple Rock,Class B,2022-03-01,0.0557
Maple Rock,Class B,2022-04-01,0.0949
Maple Rock,Class B,2022-05-01,0.0489
Maple Rock,Class B,2022-06-01,-0.0329
Maple Rock,Class B,2022-07-01,-0.0205
Maple Rock,Class B,2022-08-01,0.0004
Maple Rock,Class B,2022-09-01,-0.0662
Maple Rock,Class B,2022-10-01,-0.045
Maple Rock,Class B,2022-11-01,0.0093
Maple Rock,Class B,2022-12-01,0.0384
Maple Rock,Class B,2023-01-01,0.0746
Maple Rock,Class B,2023-02-01,-0.0459
Maple Rock,Class B,2023-03-01,-0.0146
Maple Rock,Class B,2023-04-01,-0.003
Maple Rock,Class B,2023-05-01,-0.0535
