Manager,Fund,Date,Change
McMillan Asset Management,VC Equity,2015-01-01,0.0245
McMillan Asset Management,VC Equity,2015-02-01,0.0079
McMillan Asset Management,VC Equity,2015-03-01,0.0048
McMillan Asset Management,VC Equity,2015-04-01,0.0110
McMillan Asset Management,VC Equity,2015-05-01,0.0033
McMillan Asset Management,VC Equity,2015-06-01,0.0116
McMillan Asset Management,VC Equity,2015-07-01,0.0145
McMillan Asset Management,VC Equity,2015-08-01,-0.0160
McMillan Asset Management,VC Equity,2015-09-01,0.0122
McMillan Asset Management,VC Equity,2015-10-01,0.0048
McMillan Asset Management,VC Equity,2015-11-01,0.0092
McMillan Asset Management,VC Equity,2015-12-01,0.0046
McMillan Asset Management,VC Equity,2016-01-01,-0.0285
McMillan Asset Management,VC Equity,2016-02-01,0.0224
McMillan Asset Management,VC Equity,2016-03-01,0.0137
McMillan Asset Management,VC Equity,2016-04-01,0.0077
McMillan Asset Management,VC Equity,2016-05-01,0.0166
McMillan Asset Management,VC Equity,2016-06-01,0.0170
McMillan Asset Management,VC Equity,2016-07-01,0.0090
McMillan Asset Management,VC Equity,2016-08-01,0.0083
McMillan Asset Management,VC Equity,2016-09-01,0.0153
McMillan Asset Management,VC Equity,2016-10-01,0.0094
McMillan Asset Management,VC Equity,2016-11-01,0.0065
McMillan Asset Management,VC Equity,2016-12-01,0.0062
McMillan Asset Management,VC Equity,2017-01-01,0.0035
McMillan Asset Management,VC Equity,2017-02-01,0.0043
McMillan Asset Management,VC Equity,2017-03-01,0.0054
McMillan Asset Management,VC Equity,2017-04-01,0.0051
McMillan Asset Management,VC Equity,2017-05-01,0.0049
McMillan Asset Management,VC Equity,2017-06-01,0.0027
McMillan Asset Management,VC Equity,2017-07-01,0.0043
McMillan Asset Management,VC Equity,2017-08-01,0.0115
McMillan Asset Management,VC Equity,2017-09-01,0.0034
McMillan Asset Management,VC Equity,2017-10-01,0.0043
McMillan Asset Management,VC Equity,2017-11-01,0.0044
McMillan Asset Management,VC Equity,2017-12-01,0.0046
McMillan Asset Management,VC Equity,2018-01-01,0.0044
McMillan Asset Management,VC Equity,2018-02-01,0.0110
McMillan Asset Management,VC Equity,2018-03-01,-0.0379
McMillan Asset Management,VC Equity,2018-04-01,-0.0006
McMillan Asset Management,VC Equity,2018-05-01,0.0055
McMillan Asset Management,VC Equity,2018-06-01,0.0058
McMillan Asset Management,VC Equity,2018-07-01,0.0053
McMillan Asset Management,VC Equity,2018-08-01,0.0035
McMillan Asset Management,VC Equity,2018-09-01,0.0044
McMillan Asset Management,VC Equity,2018-10-01,-0.0404
McMillan Asset Management,VC Equity,2018-11-01,0.0045
McMillan Asset Management,VC Equity,2018-12-01,-0.0172
McMillan Asset Management,VC Equity,2019-01-01,-0.0013
McMillan Asset Management,VC Equity,2019-02-01,0.0055
McMillan Asset Management,VC Equity,2019-03-01,0.0063
McMillan Asset Management,VC Equity,2019-04-01,0.0030
McMillan Asset Management,VC Equity,2019-05-01,0.0087
McMillan Asset Management,VC Equity,2019-06-01,0.0149
McMillan Asset Management,VC Equity,2019-07-01,0.0035
McMillan Asset Management,VC Equity,2019-08-01,-0.0034
McMillan Asset Management,VC Equity,2019-09-01,0.0112
McMillan Asset Management,VC Equity,2019-10-01,-0.0003
McMillan Asset Management,VC Equity,2019-11-01,0.0041
McMillan Asset Management,VC Equity,2019-12-01,-0.0028
McMillan Asset Management,VC Equity,2020-01-01,0.0031
McMillan Asset Management,VC Equity,2020-02-01,-0.1463
McMillan Asset Management,VC Equity,2020-03-01,0.1897
McMillan Asset Management,VC Equity,2020-04-01,0.0009
McMillan Asset Management,VC Equity,2020-05-01,0.0059
McMillan Asset Management,VC Equity,2020-06-01,-0.0038
McMillan Asset Management,VC Equity,2020-07-01,0.0054
McMillan Asset Management,VC Equity,2020-08-01,0.0045
McMillan Asset Management,VC Equity,2020-09-01,0.0088
McMillan Asset Management,VC Equity,2020-10-01,0.0022
McMillan Asset Management,VC Equity,2020-11-01,0.0039
McMillan Asset Management,VC Equity,2020-12-01,0.0033
McMillan Asset Management,VC Equity,2021-01-01,0.0026
McMillan Asset Management,VC Equity,2021-02-01,0.0036
McMillan Asset Management,VC Equity,2021-03-01,0.0052
McMillan Asset Management,VC Equity,2021-04-01,0.0014
McMillan Asset Management,VC Equity,2021-05-01,0.0022
McMillan Asset Management,VC Equity,2021-06-01,0.0010
McMillan Asset Management,VC Equity,2021-07-01,0.0005
McMillan Asset Management,VC Equity,2021-08-01,0.0007
McMillan Asset Management,VC Equity,2021-09-01,0.0081
McMillan Asset Management,VC Equity,2021-10-01,-0.0005
McMillan Asset Management,VC Equity,2021-11-01,0.0046
McMillan Asset Management,VC Equity,2021-12-01,0.0066
McMillan Asset Management,VC Equity,2022-01-01,0.0011
