Manager,Fund,Date,Change
Mulvaney,Mulvaney,1999-05-01,-0.0029
Mulvaney,Mulvaney,1999-06-01,-0.0014
Mulvaney,Mulvaney,1999-07-01,-0.0222
Mulvaney,Mulvaney,1999-08-01,0.0213
Mulvaney,Mulvaney,1999-09-01,-0.0481
Mulvaney,Mulvaney,1999-10-01,-0.048
Mulvaney,Mulvaney,1999-11-01,0.0701
Mulvaney,Mulvaney,1999-12-01,0.0484
Mulvaney,Mulvaney,2000-01-01,-0.0502
Mulvaney,Mulvaney,2000-02-01,0.0252
Mulvaney,Mulvaney,2000-03-01,-0.084
Mulvaney,Mulvaney,2000-04-01,-0.0027
Mulvaney,Mulvaney,2000-05-01,0.0697
Mulvaney,Mulvaney,2000-06-01,0.0155
Mulvaney,Mulvaney,2000-07-01,-0.0125
Mulvaney,Mulvaney,2000-08-01,0.1268
Mulvaney,Mulvaney,2000-09-01,-0.0436
Mulvaney,Mulvaney,2000-10-01,0.0196
Mulvaney,Mulvaney,2000-11-01,0.0905
Mulvaney,Mulvaney,2000-12-01,0.089
Mulvaney,Mulvaney,2001-01-01,-0.0962
Mulvaney,Mulvaney,2001-02-01,0.1876
Mulvaney,Mulvaney,2001-03-01,0.1346
Mulvaney,Mulvaney,2001-04-01,-0.1525
Mulvaney,Mulvaney,2001-05-01,-0.0066
Mulvaney,Mulvaney,2001-06-01,0.0539
Mulvaney,Mulvaney,2001-07-01,-0.0126
Mulvaney,Mulvaney,2001-08-01,0
Mulvaney,Mulvaney,2001-09-01,0
Mulvaney,Mulvaney,2001-10-01,0
Mulvaney,Mulvaney,2001-11-01,0
Mulvaney,Mulvaney,2001-12-01,0
Mulvaney,Mulvaney,2002-01-01,0
Mulvaney,Mulvaney,2002-02-01,0
Mulvaney,Mulvaney,2002-03-01,-0.0752
Mulvaney,Mulvaney,2002-04-01,0.0155
Mulvaney,Mulvaney,2002-05-01,0.0675
Mulvaney,Mulvaney,2002-06-01,0.0738
Mulvaney,Mulvaney,2002-07-01,0.0595
Mulvaney,Mulvaney,2002-08-01,0.0544
Mulvaney,Mulvaney,2002-09-01,0.0513
Mulvaney,Mulvaney,2002-10-01,-0.0773
Mulvaney,Mulvaney,2002-11-01,-0.0508
Mulvaney,Mulvaney,2002-12-01,0.078
Mulvaney,Mulvaney,2003-01-01,0.132
Mulvaney,Mulvaney,2003-02-01,0.0722
Mulvaney,Mulvaney,2003-03-01,-0.1283
Mulvaney,Mulvaney,2003-04-01,0.0145
Mulvaney,Mulvaney,2003-05-01,0.0764
Mulvaney,Mulvaney,2003-06-01,-0.0761
Mulvaney,Mulvaney,2003-07-01,-0.0633
Mulvaney,Mulvaney,2003-08-01,0.0007
Mulvaney,Mulvaney,2003-09-01,0.0666
Mulvaney,Mulvaney,2003-10-01,0.1532
Mulvaney,Mulvaney,2003-11-01,-0.0027
Mulvaney,Mulvaney,2003-12-01,0.0535
Mulvaney,Mulvaney,2004-01-01,0.0419
Mulvaney,Mulvaney,2004-02-01,0.0845
Mulvaney,Mulvaney,2004-03-01,0.0237
Mulvaney,Mulvaney,2004-04-01,-0.115
Mulvaney,Mulvaney,2004-05-01,-0.0699
Mulvaney,Mulvaney,2004-06-01,-0.0073
Mulvaney,Mulvaney,2004-07-01,-0.0041
Mulvaney,Mulvaney,2004-08-01,-0.0621
Mulvaney,Mulvaney,2004-09-01,0.0776
Mulvaney,Mulvaney,2004-10-01,0.0076
Mulvaney,Mulvaney,2004-11-01,0.0963
Mulvaney,Mulvaney,2004-12-01,-0.0494
Mulvaney,Mulvaney,2005-01-01,-0.0428
Mulvaney,Mulvaney,2005-02-01,0.0054
Mulvaney,Mulvaney,2005-03-01,0.023
Mulvaney,Mulvaney,2005-04-01,-0.0928
Mulvaney,Mulvaney,2005-05-01,-0.0408
Mulvaney,Mulvaney,2005-06-01,0.0532
Mulvaney,Mulvaney,2005-07-01,0.0662
Mulvaney,Mulvaney,2005-08-01,0.0278
Mulvaney,Mulvaney,2005-09-01,0.1357
Mulvaney,Mulvaney,2005-10-01,-0.0564
Mulvaney,Mulvaney,2005-11-01,0.1527
Mulvaney,Mulvaney,2005-12-01,0.0835
Mulvaney,Mulvaney,2006-01-01,0.1109
Mulvaney,Mulvaney,2006-02-01,-0.027
Mulvaney,Mulvaney,2006-03-01,0.1305
Mulvaney,Mulvaney,2006-04-01,0.1146
Mulvaney,Mulvaney,2006-05-01,-0.0427
Mulvaney,Mulvaney,2006-06-01,-0.061
Mulvaney,Mulvaney,2006-07-01,-0.052
Mulvaney,Mulvaney,2006-08-01,0.0195
Mulvaney,Mulvaney,2006-09-01,0.01
Mulvaney,Mulvaney,2006-10-01,-0.0013
Mulvaney,Mulvaney,2006-11-01,0.0056
Mulvaney,Mulvaney,2006-12-01,0.016
Mulvaney,Mulvaney,2007-01-01,0.0056
Mulvaney,Mulvaney,2007-02-01,-0.0518
Mulvaney,Mulvaney,2007-03-01,-0.0882
Mulvaney,Mulvaney,2007-04-01,0.0259
Mulvaney,Mulvaney,2007-05-01,0.047
Mulvaney,Mulvaney,2007-06-01,0.0485
Mulvaney,Mulvaney,2007-07-01,-0.1689
Mulvaney,Mulvaney,2007-08-01,-0.194
Mulvaney,Mulvaney,2007-09-01,0.0392
Mulvaney,Mulvaney,2007-10-01,0.1372
Mulvaney,Mulvaney,2007-11-01,-0.0859
Mulvaney,Mulvaney,2007-12-01,0.0847
Mulvaney,Mulvaney,2008-01-01,0.2165
Mulvaney,Mulvaney,2008-02-01,0.2886
Mulvaney,Mulvaney,2008-03-01,-0.0796
Mulvaney,Mulvaney,2008-04-01,-0.0858
Mulvaney,Mulvaney,2008-05-01,0.0535
Mulvaney,Mulvaney,2008-06-01,0.0851
Mulvaney,Mulvaney,2008-07-01,-0.1878
Mulvaney,Mulvaney,2008-08-01,-0.0673
Mulvaney,Mulvaney,2008-09-01,0.1158
Mulvaney,Mulvaney,2008-10-01,0.4549
Mulvaney,Mulvaney,2008-11-01,0.0697
Mulvaney,Mulvaney,2008-12-01,0.053
Mulvaney,Mulvaney,2009-01-01,0.016
Mulvaney,Mulvaney,2009-02-01,-0.0003
Mulvaney,Mulvaney,2009-03-01,-0.0336
Mulvaney,Mulvaney,2009-04-01,-0.0551
Mulvaney,Mulvaney,2009-05-01,-0.013
Mulvaney,Mulvaney,2009-06-01,-0.0681
Mulvaney,Mulvaney,2009-07-01,-0.0053
Mulvaney,Mulvaney,2009-08-01,0.1085
Mulvaney,Mulvaney,2009-09-01,0.0132
Mulvaney,Mulvaney,2009-10-01,-0.0786
Mulvaney,Mulvaney,2009-11-01,0.107
Mulvaney,Mulvaney,2009-12-01,-0.0319
Mulvaney,Mulvaney,2010-01-01,-0.0384
Mulvaney,Mulvaney,2010-02-01,-0.0715
Mulvaney,Mulvaney,2010-03-01,-0.0515
Mulvaney,Mulvaney,2010-04-01,0.0202
Mulvaney,Mulvaney,2010-05-01,-0.0877
Mulvaney,Mulvaney,2010-06-01,0.0053
Mulvaney,Mulvaney,2010-07-01,-0.1203
Mulvaney,Mulvaney,2010-08-01,0.1459
Mulvaney,Mulvaney,2010-09-01,0.1646
Mulvaney,Mulvaney,2010-10-01,0.2229
Mulvaney,Mulvaney,2010-11-01,-0.0536
Mulvaney,Mulvaney,2010-12-01,0.253
Mulvaney,Mulvaney,2011-01-01,0.0207
Mulvaney,Mulvaney,2011-02-01,0.0978
Mulvaney,Mulvaney,2011-03-01,-0.0462
Mulvaney,Mulvaney,2011-04-01,0.0607
Mulvaney,Mulvaney,2011-05-01,-0.1182
Mulvaney,Mulvaney,2011-06-01,-0.0741
Mulvaney,Mulvaney,2011-07-01,0.1115
Mulvaney,Mulvaney,2011-08-01,0.0159
Mulvaney,Mulvaney,2011-09-01,-0.042
Mulvaney,Mulvaney,2011-10-01,-0.1414
Mulvaney,Mulvaney,2011-11-01,0.1205
