Manager,Fund,Date,Change
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-01-01,-0.0017
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-02-01,0.0146
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-03-01,0.0028
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-04-01,0.0129
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-05-01,0.0079
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-06-01,-0.0115
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-07-01,0.0040
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-08-01,0.0124
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-09-01,-0.0128
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-10-01,0.0068
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-11-01,-0.0079
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2015-12-01,0.0127
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-01-01,-0.0028
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-02-01,-0.0065
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-03-01,0.0126
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-04-01,0.0175
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-05-01,0.0073
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-06-01,0.0168
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-07-01,0.0201
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-08-01,0.0018
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-09-01,0.0156
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-10-01,-0.0081
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-11-01,-0.0026
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2016-12-01,0.0157
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-01-01,0.0159
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-02-01,-0.0017
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-03-01,0.0039
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-04-01,0.0089
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-05-01,0.0116
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-06-01,0.0061
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-07-01,0.0120
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-08-01,0.0021
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-09-01,0.0005
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-10-01,0.0107
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-11-01,0.0045
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2017-12-01,-0.0017
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-01-01,0.0015
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-02-01,0.0124
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-03-01,0.0142
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-04-01,0.0164
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-05-01,-0.0534
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-06-01,0.0084
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-07-01,0.0002
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-08-01,-0.0015
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-09-01,0.0015
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-10-01,0.0101
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-11-01,0.0068
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2018-12-01,-0.0092
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-01-01,0.0188
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-02-01,0.0025
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-03-01,0.0123
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-04-01,0.0065
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-05-01,0.0084
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-06-01,0.0074
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-07-01,0.0090
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-08-01,0.0049
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-09-01,0.0037
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-10-01,0.0052
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-11-01,0.0107
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2019-12-01,0.0094
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-01-01,0.0162
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-02-01,0.0057
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-03-01,-0.0462
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-04-01,0.0365
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-05-01,0.0005
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-06-01,0.0097
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-07-01,0.0093
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-08-01,0.0069
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-09-01,0.0127
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-10-01,0.0016
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-11-01,0.0205
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2020-12-01,0.0147
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-01-01,0.0010
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-02-01,-0.0117
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-03-01,0.0085
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-04-01,0.0010
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-05-01,0.0026
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-06-01,-0.0026
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-07-01,-0.0074
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-08-01,0.0038
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-09-01,0.0137
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-10-01,-0.0519
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-11-01,0.0121
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2021-12-01,0.0175
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-01-01,0.0265
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-02-01,-0.0111
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-03-01,0.0052
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-04-01,0.0152
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-05-01,-0.0110
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-06-01,-0.0166
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-07-01,-0.0039
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-08-01,0.0076
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-09-01,-0.0019
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-10-01,0.0042
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-11-01,-0.0028
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2022-12-01,0.0215
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2023-01-01,0.0226
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2023-02-01,0.0152
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2023-03-01,-0.0129
Capstone Investment Advisors,Capstone Global Master Cayman Limited,2023-04-01,0.0060
