Manager,Fund,Date,Change
EMC Capital Advisors,Classic Program,2015-01-01,0.0340
EMC Capital Advisors,Classic Program,2015-02-01,-0.0150
EMC Capital Advisors,Classic Program,2015-03-01,0.0050
EMC Capital Advisors,Classic Program,2015-04-01,0.0010
EMC Capital Advisors,Classic Program,2015-05-01,0.0070
EMC Capital Advisors,Classic Program,2015-06-01,-0.0460
EMC Capital Advisors,Classic Program,2015-07-01,0.0470
EMC Capital Advisors,Classic Program,2015-08-01,-0.0260
EMC Capital Advisors,Classic Program,2015-09-01,0.0390
EMC Capital Advisors,Classic Program,2015-10-01,-0.0360
EMC Capital Advisors,Classic Program,2015-11-01,0.0310
EMC Capital Advisors,Classic Program,2015-12-01,-0.0330
EMC Capital Advisors,Classic Program,2016-01-01,0.0860
EMC Capital Advisors,Classic Program,2016-02-01,0.0500
EMC Capital Advisors,Classic Program,2016-03-01,-0.0700
EMC Capital Advisors,Classic Program,2016-04-01,-0.0680
EMC Capital Advisors,Classic Program,2016-05-01,-0.0230
EMC Capital Advisors,Classic Program,2016-06-01,0.0210
EMC Capital Advisors,Classic Program,2016-07-01,0.0180
EMC Capital Advisors,Classic Program,2016-08-01,-0.0540
EMC Capital Advisors,Classic Program,2016-09-01,-0.0140
EMC Capital Advisors,Classic Program,2016-10-01,-0.0490
EMC Capital Advisors,Classic Program,2016-11-01,-0.0250
EMC Capital Advisors,Classic Program,2016-12-01,-0.0090
EMC Capital Advisors,Classic Program,2017-01-01,-0.0080
EMC Capital Advisors,Classic Program,2017-02-01,0.0470
EMC Capital Advisors,Classic Program,2017-03-01,-0.0640
EMC Capital Advisors,Classic Program,2017-04-01,0.0040
EMC Capital Advisors,Classic Program,2017-05-01,0.0200
EMC Capital Advisors,Classic Program,2017-06-01,-0.0450
EMC Capital Advisors,Classic Program,2017-07-01,0.0090
EMC Capital Advisors,Classic Program,2017-08-01,0.0110
EMC Capital Advisors,Classic Program,2017-09-01,-0.0670
EMC Capital Advisors,Classic Program,2017-10-01,0.0620
EMC Capital Advisors,Classic Program,2017-11-01,-0.0050
EMC Capital Advisors,Classic Program,2017-12-01,0.0300
EMC Capital Advisors,Classic Program,2018-01-01,0.1250
EMC Capital Advisors,Classic Program,2018-02-01,-0.0580
EMC Capital Advisors,Classic Program,2018-03-01,-0.0160
EMC Capital Advisors,Classic Program,2018-04-01,0.0010
EMC Capital Advisors,Classic Program,2018-05-01,-0.0270
EMC Capital Advisors,Classic Program,2018-06-01,-0.0120
EMC Capital Advisors,Classic Program,2018-07-01,-0.0070
EMC Capital Advisors,Classic Program,2018-08-01,0.0180
EMC Capital Advisors,Classic Program,2018-09-01,-0.0100
EMC Capital Advisors,Classic Program,2018-10-01,-0.0440
EMC Capital Advisors,Classic Program,2018-11-01,0.0090
EMC Capital Advisors,Classic Program,2018-12-01,0.0160
EMC Capital Advisors,Classic Program,2019-01-01,-0.0580
EMC Capital Advisors,Classic Program,2019-02-01,-0.0030
EMC Capital Advisors,Classic Program,2019-03-01,0.0370
EMC Capital Advisors,Classic Program,2019-04-01,0.0140
EMC Capital Advisors,Classic Program,2019-05-01,0.0620
EMC Capital Advisors,Classic Program,2019-06-01,-0.0180
EMC Capital Advisors,Classic Program,2019-07-01,0.0170
EMC Capital Advisors,Classic Program,2019-08-01,0.1010
EMC Capital Advisors,Classic Program,2019-09-01,-0.0680
EMC Capital Advisors,Classic Program,2019-10-01,-0.0290
EMC Capital Advisors,Classic Program,2019-11-01,0.0160
EMC Capital Advisors,Classic Program,2019-12-01,0.0330
EMC Capital Advisors,Classic Program,2020-01-01,-0.0240
EMC Capital Advisors,Classic Program,2020-02-01,0.0460
EMC Capital Advisors,Classic Program,2020-03-01,0.1470
EMC Capital Advisors,Classic Program,2020-04-01,0.0000
EMC Capital Advisors,Classic Program,2020-05-01,0.0020
EMC Capital Advisors,Classic Program,2020-06-01,-0.0160
EMC Capital Advisors,Classic Program,2020-07-01,0.0230
EMC Capital Advisors,Classic Program,2020-08-01,0.0080
EMC Capital Advisors,Classic Program,2020-09-01,-0.0570
EMC Capital Advisors,Classic Program,2020-10-01,0.0120
EMC Capital Advisors,Classic Program,2020-11-01,-0.0070
EMC Capital Advisors,Classic Program,2020-12-01,0.1120
EMC Capital Advisors,Classic Program,2021-01-01,-0.0030
EMC Capital Advisors,Classic Program,2021-02-01,0.1140
EMC Capital Advisors,Classic Program,2021-03-01,-0.0200
EMC Capital Advisors,Classic Program,2021-04-01,0.0430
EMC Capital Advisors,Classic Program,2021-05-01,0.0260
EMC Capital Advisors,Classic Program,2021-06-01,-0.0370
EMC Capital Advisors,Classic Program,2021-07-01,-0.0060
EMC Capital Advisors,Classic Program,2021-08-01,-0.0070
EMC Capital Advisors,Classic Program,2021-09-01,0.0910
EMC Capital Advisors,Classic Program,2021-10-01,0.0680
EMC Capital Advisors,Classic Program,2021-11-01,-0.0250
EMC Capital Advisors,Classic Program,2021-12-01,-0.0150
EMC Capital Advisors,Classic Program,2022-01-01,0.0780
EMC Capital Advisors,Classic Program,2022-02-01,0.0470
EMC Capital Advisors,Classic Program,2022-03-01,0.0900
EMC Capital Advisors,Classic Program,2022-04-01,0.0330
EMC Capital Advisors,Classic Program,2022-05-01,-0.0170
EMC Capital Advisors,Classic Program,2022-06-01,0.0150
EMC Capital Advisors,Classic Program,2022-07-01,-0.0660
EMC Capital Advisors,Classic Program,2022-08-01,0.0250
EMC Capital Advisors,Classic Program,2022-09-01,0.1150
EMC Capital Advisors,Classic Program,2022-10-01,-0.0030
EMC Capital Advisors,Classic Program,2022-11-01,-0.0960
EMC Capital Advisors,Classic Program,2022-12-01,0.0010
EMC Capital Advisors,Classic Program,2023-01-01,-0.0120
EMC Capital Advisors,Classic Program,2023-02-01,0.0150
EMC Capital Advisors,Classic Program,2023-03-01,-0.0720
EMC Capital Advisors,Classic Program,2023-04-01,0.0880
EMC Capital Advisors,Classic Program,2023-05-01,0.0400
