Manager,Fund,Date,Change
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-01-01,0.0064
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-02-01,0.0045
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-03-01,0.0025
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-04-01,0.0005
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-05-01,0.0005
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-06-01,0.0004
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-07-01,0.0041
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-08-01,-0.0024
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-09-01,-0.0005
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-10-01,-0.0008
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-11-01,-0.0044
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2015-12-01,0.0042
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-01-01,-0.0144
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-02-01,-0.0197
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-03-01,-0.0033
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-04-01,0.0186
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-05-01,0.0033
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-06-01,0.0032
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-07-01,0.0057
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-08-01,0.0265
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-09-01,0.0229
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-10-01,0.013
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-11-01,0.0119
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2016-12-01,0.0105
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-01-01,0.0023
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-02-01,0.0293
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-03-01,0.0104
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-04-01,-0.0011
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-05-01,0.0157
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-06-01,0.0136
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-07-01,0.0069
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-08-01,0.0291
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-09-01,0.0098
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-10-01,0.0165
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-11-01,0.0107
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2017-12-01,-0.0037
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-01-01,0.0077
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-02-01,0.0166
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-03-01,0.0154
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-04-01,0.0256
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-05-01,0.0156
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-06-01,0.0023
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-07-01,0.0029
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-08-01,0.0038
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-09-01,0.0004
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-10-01,0.0014
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-11-01,0.001
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2018-12-01,0.0078
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-01-01,0.0008
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-02-01,0.0039
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-03-01,0.0053
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-04-01,0.0039
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-05-01,-0.0002
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-06-01,0.0009
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-07-01,-0.0001
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-08-01,-0.0056
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-09-01,0.0014
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-10-01,0.0035
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-11-01,0.0003
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2019-12-01,0.002
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-01-01,0.0076
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-02-01,0.0004
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-03-01,0.02
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-04-01,0.0155
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-05-01,0.0371
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-06-01,0.0332
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-07-01,-0.0024
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-08-01,0.0093
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-09-01,0.0052
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-10-01,0.0158
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-11-01,0.0042
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2020-12-01,0.0111
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-01-01,0.0118
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-02-01,0.007
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-03-01,0.0055
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-04-01,0.0007
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-05-01,-0.0002
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-06-01,-0.0007
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-07-01,-0.0018
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-08-01,-0.0005
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-09-01,0.0046
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-10-01,0.0024
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-11-01,-0.002
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2021-12-01,-0.0011
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-01-01,0.0105
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-02-01,0.0045
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-03-01,0.0116
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-04-01,0.0168
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-05-01,-0.0034
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-06-01,0.0149
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-07-01,-0.0032
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-08-01,0.0159
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-09-01,-0.0021
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-10-01,-0.0153
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-11-01,0.0062
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2022-12-01,0.0156
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2023-01-01,0.0218
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2023-02-01,0.0139
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2023-03-01,-0.0019
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2023-04-01,0.0154
LMCG Investments,Serenitas Credit Gamma Offshore Fund,2023-05-01,0.0128
