Manager,Fund,Date,Change
Lavalier Capital,Lavaliere Digital Asset Funds,2019-03-01,0.0003
Lavalier Capital,Lavaliere Digital Asset Funds,2019-04-01,0.0021
Lavalier Capital,Lavaliere Digital Asset Funds,2019-05-01,0.0053
Lavalier Capital,Lavaliere Digital Asset Funds,2019-06-01,0.0008
Lavalier Capital,Lavaliere Digital Asset Funds,2019-07-01,-0.0013
Lavalier Capital,Lavaliere Digital Asset Funds,2019-08-01,-0.0012
Lavalier Capital,Lavaliere Digital Asset Funds,2019-09-01,-0.0011
Lavalier Capital,Lavaliere Digital Asset Funds,2019-10-01,0.0015
Lavalier Capital,Lavaliere Digital Asset Funds,2019-11-01,0.0018
Lavalier Capital,Lavaliere Digital Asset Funds,2019-12-01,-0.0005
Lavalier Capital,Lavaliere Digital Asset Funds,2020-01-01,0.0055
Lavalier Capital,Lavaliere Digital Asset Funds,2020-02-01,0.0022
Lavalier Capital,Lavaliere Digital Asset Funds,2020-03-01,-0.0034
Lavalier Capital,Lavaliere Digital Asset Funds,2020-04-01,-0.001
Lavalier Capital,Lavaliere Digital Asset Funds,2020-05-01,0.0048
Lavalier Capital,Lavaliere Digital Asset Funds,2020-06-01,0.0034
Lavalier Capital,Lavaliere Digital Asset Funds,2020-07-01,0.001
Lavalier Capital,Lavaliere Digital Asset Funds,2020-08-01,0.002
Lavalier Capital,Lavaliere Digital Asset Funds,2020-09-01,-0.0013
Lavalier Capital,Lavaliere Digital Asset Funds,2020-10-01,-0.0019
Lavalier Capital,Lavaliere Digital Asset Funds,2020-11-01,0.0099
Lavalier Capital,Lavaliere Digital Asset Funds,2020-12-01,0.0062
Lavalier Capital,Lavaliere Digital Asset Funds,2021-01-01,-0.0002
Lavalier Capital,Lavaliere Digital Asset Funds,2021-02-01,0.0122
Lavalier Capital,Lavaliere Digital Asset Funds,2021-03-01,0.0057
Lavalier Capital,Lavaliere Digital Asset Funds,2021-04-01,-0.0004
Lavalier Capital,Lavaliere Digital Asset Funds,2021-05-01,-0.0036
Lavalier Capital,Lavaliere Digital Asset Funds,2021-06-01,0.0001
Lavalier Capital,Lavaliere Digital Asset Funds,2021-07-01,0.0004
Lavalier Capital,Lavaliere Digital Asset Funds,2021-08-01,0.0043
Lavalier Capital,Lavaliere Digital Asset Funds,2021-09-01,0.0016
Lavalier Capital,Lavaliere Digital Asset Funds,2021-10-01,0.0122
Lavalier Capital,Lavaliere Digital Asset Funds,2021-11-01,0.0011
Lavalier Capital,Lavaliere Digital Asset Funds,2021-12-01,0.0037
Lavalier Capital,Lavaliere Digital Asset Funds,2022-01-01,0.0015
Lavalier Capital,Lavaliere Digital Asset Funds,2022-02-01,-0.0033
Lavalier Capital,Lavaliere Digital Asset Funds,2022-03-01,0.0049
Lavalier Capital,Lavaliere Digital Asset Funds,2022-04-01,-0.0025
Lavalier Capital,Lavaliere Digital Asset Funds,2022-05-01,-0.0046
Lavalier Capital,Lavaliere Digital Asset Funds,2022-06-01,-0.004
Lavalier Capital,Lavaliere Digital Asset Funds,2022-07-01,0.0069
Lavalier Capital,Lavaliere Digital Asset Funds,2022-08-01,-0.0019
Lavalier Capital,Lavaliere Digital Asset Funds,2022-09-01,-0.002
Lavalier Capital,Lavaliere Digital Asset Funds,2022-10-01,0.0024
Lavalier Capital,Lavaliere Digital Asset Funds,2022-11-01,-0.003
Lavalier Capital,Lavaliere Digital Asset Funds,2022-12-01,-0.0017
Lavalier Capital,Lavaliere Digital Asset Funds,2023-01-01,0.01
Lavalier Capital,Lavaliere Digital Asset Funds,2023-02-01,0.0016
Lavalier Capital,Lavaliere Digital Asset Funds,2023-03-01,-0.0013
Lavalier Capital,Lavaliere Digital Asset Funds,2023-04-01,-0.001
