Manager,Fund,Date,Change
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-01-01,0.0732
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-02-01,-0.0316
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-03-01,0.0436
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-04-01,-0.0733
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-05-01,0.0362
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-06-01,-0.0305
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-07-01,0.0182
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-08-01,0.0710
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-09-01,0.0126
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-10-01,0.0093
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-11-01,-0.0302
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2015-12-01,-0.0446
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-01-01,0.0498
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-02-01,0.0152
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-03-01,-0.0087
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-04-01,-0.0378
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-05-01,0.0317
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-06-01,0.0499
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-07-01,0.0137
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-08-01,-0.0188
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-09-01,0.0162
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-10-01,-0.0455
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-11-01,0.0144
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2016-12-01,0.0066
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-01-01,0.0092
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-02-01,0.0442
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-03-01,-0.0113
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-04-01,-0.0128
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-05-01,0.0264
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-06-01,-0.0491
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-07-01,-0.0204
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-08-01,0.0287
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-09-01,0.0052
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-10-01,0.0742
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-11-01,0.0199
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2017-12-01,-0.0108
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2018-01-01,0.0607
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2018-02-01,0.0912
Logica Capital Advisers,Logica Absolute Return Offshore LTD,2018-03-01,0.0306
