Manager,Fund,Date,Change
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-01-01,0.0027
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-02-01,0.0204
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-03-01,0.0115
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-04-01,0.0207
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-05-01,0.0237
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-06-01,0.0095
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-07-01,0.0416
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-08-01,-0.0021
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-09-01,-0.0029
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-10-01,-0.0157
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-11-01,0.0210
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2017-12-01,0.0160
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-01-01,-0.0026
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-02-01,-0.0082
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-03-01,-0.0104
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-04-01,0.0294
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-05-01,0.0316
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-06-01,0.0110
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-07-01,0.0054
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-08-01,0.0071
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-09-01,0.0066
QCAM Currency Asset Management,FX Business Intelligence Alpha Strategy (FX BIAS),2018-10-01,0.0186
