Manager,Fund,Date,Change
Quantica Capital,Quantica Managed Futures Program,2015-01-01,0.034
Quantica Capital,Quantica Managed Futures Program,2015-02-01,-0.011
Quantica Capital,Quantica Managed Futures Program,2015-03-01,0.012
Quantica Capital,Quantica Managed Futures Program,2015-04-01,-0.029
Quantica Capital,Quantica Managed Futures Program,2015-05-01,-0.001
Quantica Capital,Quantica Managed Futures Program,2015-06-01,-0.040
Quantica Capital,Quantica Managed Futures Program,2015-07-01,-0.008
Quantica Capital,Quantica Managed Futures Program,2015-08-01,-0.089
Quantica Capital,Quantica Managed Futures Program,2015-09-01,0.030
Quantica Capital,Quantica Managed Futures Program,2015-10-01,-0.018
Quantica Capital,Quantica Managed Futures Program,2015-11-01,-0.007
Quantica Capital,Quantica Managed Futures Program,2015-12-01,-0.033
Quantica Capital,Quantica Managed Futures Program,2016-01-01,0.059
Quantica Capital,Quantica Managed Futures Program,2016-02-01,0.029
Quantica Capital,Quantica Managed Futures Program,2016-03-01,-0.028
Quantica Capital,Quantica Managed Futures Program,2016-04-01,0.007
Quantica Capital,Quantica Managed Futures Program,2016-05-01,-0.007
Quantica Capital,Quantica Managed Futures Program,2016-06-01,0.060
Quantica Capital,Quantica Managed Futures Program,2016-07-01,0.001
Quantica Capital,Quantica Managed Futures Program,2016-08-01,-0.027
Quantica Capital,Quantica Managed Futures Program,2016-09-01,0.005
Quantica Capital,Quantica Managed Futures Program,2016-10-01,-0.036
Quantica Capital,Quantica Managed Futures Program,2016-11-01,-0.008
Quantica Capital,Quantica Managed Futures Program,2016-12-01,0.025
Quantica Capital,Quantica Managed Futures Program,2017-01-01,-0.010
Quantica Capital,Quantica Managed Futures Program,2017-02-01,0.043
Quantica Capital,Quantica Managed Futures Program,2017-03-01,0.001
Quantica Capital,Quantica Managed Futures Program,2017-04-01,0.017
Quantica Capital,Quantica Managed Futures Program,2017-05-01,0.023
Quantica Capital,Quantica Managed Futures Program,2017-06-01,-0.041
Quantica Capital,Quantica Managed Futures Program,2017-07-01,0.006
Quantica Capital,Quantica Managed Futures Program,2017-08-01,0.027
Quantica Capital,Quantica Managed Futures Program,2017-09-01,-0.037
Quantica Capital,Quantica Managed Futures Program,2017-10-01,0.049
Quantica Capital,Quantica Managed Futures Program,2017-11-01,0.021
Quantica Capital,Quantica Managed Futures Program,2017-12-01,0.009
Quantica Capital,Quantica Managed Futures Program,2018-01-01,0.048
Quantica Capital,Quantica Managed Futures Program,2018-02-01,-0.040
Quantica Capital,Quantica Managed Futures Program,2018-03-01,-0.014
Quantica Capital,Quantica Managed Futures Program,2018-04-01,0.001
Quantica Capital,Quantica Managed Futures Program,2018-05-01,-0.027
Quantica Capital,Quantica Managed Futures Program,2018-06-01,0.012
Quantica Capital,Quantica Managed Futures Program,2018-07-01,0.006
Quantica Capital,Quantica Managed Futures Program,2018-08-01,0.029
Quantica Capital,Quantica Managed Futures Program,2018-09-01,-0.020
Quantica Capital,Quantica Managed Futures Program,2018-10-01,-0.073
Quantica Capital,Quantica Managed Futures Program,2018-11-01,0.018
Quantica Capital,Quantica Managed Futures Program,2018-12-01,0.030
Quantica Capital,Quantica Managed Futures Program,2019-01-01,0.042
Quantica Capital,Quantica Managed Futures Program,2019-02-01,0.001
Quantica Capital,Quantica Managed Futures Program,2019-03-01,0.066
Quantica Capital,Quantica Managed Futures Program,2019-04-01,0.018
Quantica Capital,Quantica Managed Futures Program,2019-05-01,-0.012
Quantica Capital,Quantica Managed Futures Program,2019-06-01,0.059
Quantica Capital,Quantica Managed Futures Program,2019-07-01,0.039
Quantica Capital,Quantica Managed Futures Program,2019-08-01,0.035
Quantica Capital,Quantica Managed Futures Program,2019-09-01,-0.007
Quantica Capital,Quantica Managed Futures Program,2019-10-01,-0.015
Quantica Capital,Quantica Managed Futures Program,2019-11-01,0.018
Quantica Capital,Quantica Managed Futures Program,2019-12-01,-0.014
Quantica Capital,Quantica Managed Futures Program,2020-01-01,0.015
Quantica Capital,Quantica Managed Futures Program,2020-02-01,-0.052
Quantica Capital,Quantica Managed Futures Program,2020-03-01,-0.030
Quantica Capital,Quantica Managed Futures Program,2020-04-01,0.033
Quantica Capital,Quantica Managed Futures Program,2020-05-01,-0.007
Quantica Capital,Quantica Managed Futures Program,2020-06-01,0.002
Quantica Capital,Quantica Managed Futures Program,2020-07-01,0.029
Quantica Capital,Quantica Managed Futures Program,2020-08-01,0.013
Quantica Capital,Quantica Managed Futures Program,2020-09-01,-0.036
Quantica Capital,Quantica Managed Futures Program,2020-10-01,-0.022
Quantica Capital,Quantica Managed Futures Program,2020-11-01,0.048
Quantica Capital,Quantica Managed Futures Program,2020-12-01,0.056
Quantica Capital,Quantica Managed Futures Program,2021-01-01,0.017
Quantica Capital,Quantica Managed Futures Program,2021-02-01,0.071
Quantica Capital,Quantica Managed Futures Program,2021-03-01,-0.010
Quantica Capital,Quantica Managed Futures Program,2021-04-01,0.023
Quantica Capital,Quantica Managed Futures Program,2021-05-01,0.010
Quantica Capital,Quantica Managed Futures Program,2021-06-01,-0.034
Quantica Capital,Quantica Managed Futures Program,2021-07-01,0.000
Quantica Capital,Quantica Managed Futures Program,2021-08-01,0.007
Quantica Capital,Quantica Managed Futures Program,2021-09-01,-0.044
Quantica Capital,Quantica Managed Futures Program,2021-10-01,-0.043
Quantica Capital,Quantica Managed Futures Program,2021-11-01,0.001
Quantica Capital,Quantica Managed Futures Program,2021-12-01,-0.032
Quantica Capital,Quantica Managed Futures Program,2022-01-01,-0.029
Quantica Capital,Quantica Managed Futures Program,2022-02-01,0.039
Quantica Capital,Quantica Managed Futures Program,2022-03-01,0.072
Quantica Capital,Quantica Managed Futures Program,2022-04-01,0.053
Quantica Capital,Quantica Managed Futures Program,2022-05-01,-0.005
Quantica Capital,Quantica Managed Futures Program,2022-06-01,0.028
Quantica Capital,Quantica Managed Futures Program,2022-07-01,-0.064
