Manager,Fund,Date,Change
Teza,Systematic Futures,2018-12-01,-0.0157
Teza,Systematic Futures,2019-01-01,0.0440
Teza,Systematic Futures,2019-02-01,0.0040
Teza,Systematic Futures,2019-03-01,0.0558
Teza,Systematic Futures,2019-04-01,0.0557
Teza,Systematic Futures,2019-05-01,-0.0690
Teza,Systematic Futures,2019-06-01,0.1088
Teza,Systematic Futures,2019-07-01,0.0408
Teza,Systematic Futures,2019-08-01,0.0384
Teza,Systematic Futures,2019-09-01,-0.0107
Teza,Systematic Futures,2019-10-01,-0.0126
Teza,Systematic Futures,2019-11-01,0.0156
Teza,Systematic Futures,2019-12-01,-0.0320
Teza,Systematic Futures,2020-01-01,0.0425
Teza,Systematic Futures,2020-02-01,0.0548
Teza,Systematic Futures,2020-03-01,-0.0169
Teza,Systematic Futures,2020-04-01,0.0550
Teza,Systematic Futures,2020-05-01,0.0144
Teza,Systematic Futures,2020-06-01,0.0021
Teza,Systematic Futures,2020-07-01,0.0530
Teza,Systematic Futures,2020-08-01,0.0130
Teza,Systematic Futures,2020-09-01,-0.0139
Teza,Systematic Futures,2020-10-01,-0.0066
Teza,Systematic Futures,2020-11-01,0.0475
Teza,Systematic Futures,2020-12-01,-0.0050
Teza,Systematic Futures,2021-01-01,-0.0337
Teza,Systematic Futures,2021-02-01,0.0128
Teza,Systematic Futures,2021-03-01,0.0088
Teza,Systematic Futures,2021-04-01,0.0304
Teza,Systematic Futures,2021-05-01,0.0042
Teza,Systematic Futures,2021-06-01,-0.0146
Teza,Systematic Futures,2021-07-01,0.0209
Teza,Systematic Futures,2021-08-01,0.0088
Teza,Systematic Futures,2021-09-01,-0.0643
Teza,Systematic Futures,2021-10-01,-0.0044
Teza,Systematic Futures,2021-11-01,0.0385
Teza,Systematic Futures,2021-12-01,-0.0096
Teza,Systematic Futures,2022-01-01,-0.0253
Teza,Systematic Futures,2022-02-01,0.0028
Teza,Systematic Futures,2022-03-01,0.0251
Teza,Systematic Futures,2022-04-01,0.0044
Teza,Systematic Futures,2022-05-01,0.0286
Teza,Systematic Futures,2022-06-01,0.0030
Teza,Systematic Futures,2022-07-01,0.0487
Teza,Systematic Futures,2022-08-01,-0.0187
Teza,Systematic Futures,2022-09-01,-0.0326
Teza,Systematic Futures,2022-10-01,0.0206
Teza,Systematic Futures,2022-11-01,-0.0024
Teza,Systematic Futures,2022-12-01,-0.0629
Teza,Systematic Futures,2023-01-01,0.0343
Teza,Systematic Futures,2023-02-01,0.0382
Teza,Systematic Futures,2023-03-01,-0.0131
Teza,Systematic Futures,2023-04-01,0.0143
Teza,Systematic Futures,2023-05-01,0.0056
Teza,Systematic Futures,2023-06-01,0.0145
Teza,Systematic Futures,2023-07-01,0.0290
