Manager,Fund,Date,Change
Aegeri Capital,Aegeri Capital,2023-10-01,-0.0086
Aegeri Capital,Aegeri Capital,2023-11-01,0.0193
Aegeri Capital,Aegeri Capital,2023-12-01,0.0002
Aegeri Capital,Aegeri Capital,2024-01-01,0.01
Aegeri Capital,Aegeri Capital,2024-02-01,0.0125
Aegeri Capital,Aegeri Capital,2024-03-01,0.0085
Aegeri Capital,Aegeri Capital,2024-04-01,0.0074
Aegeri Capital,Aegeri Capital,2024-05-01,0.0056
Aegeri Capital,Aegeri Capital,2024-06-01,-0.0012
Aegeri Capital,Aegeri Capital,2024-07-01,0.0185
Aegeri Capital,Aegeri Capital,2024-08-01,0.0013
Aegeri Capital,Aegeri Capital,2024-09-01,0.0058
Aegeri Capital,Aegeri Capital,2024-10-01,-0.0087
Aegeri Capital,Aegeri Capital,2024-11-01,0.0178
Aegeri Capital,Aegeri Capital,2024-12-01,0.0107
