Manager,Fund,Date,Change
Deep Field Capital,Short-Term Absolute Return,2023-06-01,0.0206
Deep Field Capital,Short-Term Absolute Return,2023-07-01,0.0319
Deep Field Capital,Short-Term Absolute Return,2023-08-01,0.0019
Deep Field Capital,Short-Term Absolute Return,2023-09-01,-0.0188
Deep Field Capital,Short-Term Absolute Return,2023-10-01,-0.0511
Deep Field Capital,Short-Term Absolute Return,2023-11-01,0.0226
Deep Field Capital,Short-Term Absolute Return,2023-12-01,-0.0037
Deep Field Capital,Short-Term Absolute Return,2024-01-01,0.0072
Deep Field Capital,Short-Term Absolute Return,2024-02-01,0.0468
Deep Field Capital,Short-Term Absolute Return,2024-03-01,0.0275
Deep Field Capital,Short-Term Absolute Return,2024-04-01,0.0057
Deep Field Capital,Short-Term Absolute Return,2024-05-01,0.031
Deep Field Capital,Short-Term Absolute Return,2024-06-01,0.0263
Deep Field Capital,Short-Term Absolute Return,2024-07-01,-0.025
Deep Field Capital,Short-Term Absolute Return,2024-08-01,-0.0745
Deep Field Capital,Short-Term Absolute Return,2024-09-01,-0.0428
Deep Field Capital,Short-Term Absolute Return,2024-10-01,-0.0139
