Manager,Fund,Date,Change
III Capital,III Equity Market-Neutral Program,2017-12-01,-0.0444
III Capital,III Equity Market-Neutral Program,2018-01-01,0.0513
III Capital,III Equity Market-Neutral Program,2018-02-01,0.0408
III Capital,III Equity Market-Neutral Program,2018-03-01,-0.012
III Capital,III Equity Market-Neutral Program,2018-04-01,0.025
III Capital,III Equity Market-Neutral Program,2018-05-01,0.0433
III Capital,III Equity Market-Neutral Program,2018-06-01,0.0046
III Capital,III Equity Market-Neutral Program,2018-07-01,0.0108
III Capital,III Equity Market-Neutral Program,2018-08-01,-0.0017
III Capital,III Equity Market-Neutral Program,2018-09-01,-0.0119
III Capital,III Equity Market-Neutral Program,2018-10-01,0.006
III Capital,III Equity Market-Neutral Program,2018-11-01,-0.0248
III Capital,III Equity Market-Neutral Program,2018-12-01,-0.0036
III Capital,III Equity Market-Neutral Program,2019-01-01,0.0299
III Capital,III Equity Market-Neutral Program,2019-02-01,0.0198
III Capital,III Equity Market-Neutral Program,2019-03-01,0.0053
III Capital,III Equity Market-Neutral Program,2019-04-01,0.0387
III Capital,III Equity Market-Neutral Program,2019-05-01,0.0166
III Capital,III Equity Market-Neutral Program,2019-06-01,0.0529
III Capital,III Equity Market-Neutral Program,2019-07-01,-0.0355
III Capital,III Equity Market-Neutral Program,2019-08-01,-0.0026
III Capital,III Equity Market-Neutral Program,2019-09-01,0.0218
III Capital,III Equity Market-Neutral Program,2019-10-01,0.0595
III Capital,III Equity Market-Neutral Program,2019-11-01,0.0881
III Capital,III Equity Market-Neutral Program,2019-12-01,-0.0093
III Capital,III Equity Market-Neutral Program,2020-01-01,0.0127
III Capital,III Equity Market-Neutral Program,2020-02-01,-0.0551
III Capital,III Equity Market-Neutral Program,2020-03-01,-0.0056
III Capital,III Equity Market-Neutral Program,2020-04-01,0.0119
III Capital,III Equity Market-Neutral Program,2020-05-01,0.0896
III Capital,III Equity Market-Neutral Program,2020-06-01,-0.0792
III Capital,III Equity Market-Neutral Program,2020-07-01,0.0188
III Capital,III Equity Market-Neutral Program,2020-08-01,0.0235
III Capital,III Equity Market-Neutral Program,2020-09-01,-0.0169
III Capital,III Equity Market-Neutral Program,2020-10-01,0.0229
III Capital,III Equity Market-Neutral Program,2020-11-01,0.0087
III Capital,III Equity Market-Neutral Program,2020-12-01,-0.0391
III Capital,III Equity Market-Neutral Program,2021-01-01,-0.0758
III Capital,III Equity Market-Neutral Program,2021-02-01,0.0254
III Capital,III Equity Market-Neutral Program,2021-03-01,0.0141
III Capital,III Equity Market-Neutral Program,2021-04-01,0.0176
III Capital,III Equity Market-Neutral Program,2021-05-01,-0.076
III Capital,III Equity Market-Neutral Program,2021-06-01,0.0102
III Capital,III Equity Market-Neutral Program,2021-07-01,0.0111
III Capital,III Equity Market-Neutral Program,2021-08-01,0.001
III Capital,III Equity Market-Neutral Program,2021-09-01,0.008
III Capital,III Equity Market-Neutral Program,2021-10-01,-0.0345
III Capital,III Equity Market-Neutral Program,2021-11-01,0.0229
III Capital,III Equity Market-Neutral Program,2021-12-01,0.0146
III Capital,III Equity Market-Neutral Program,2022-01-01,0.0256
III Capital,III Equity Market-Neutral Program,2022-02-01,0.0038
III Capital,III Equity Market-Neutral Program,2022-03-01,-0.0035
III Capital,III Equity Market-Neutral Program,2022-04-01,0.0239
III Capital,III Equity Market-Neutral Program,2022-05-01,-0.0035
III Capital,III Equity Market-Neutral Program,2022-06-01,-0.0228
III Capital,III Equity Market-Neutral Program,2022-07-01,-0.0064
III Capital,III Equity Market-Neutral Program,2022-08-01,0.0222
III Capital,III Equity Market-Neutral Program,2022-09-01,0.0083
III Capital,III Equity Market-Neutral Program,2022-10-01,0.0239
III Capital,III Equity Market-Neutral Program,2022-11-01,0.0231
III Capital,III Equity Market-Neutral Program,2022-12-01,0.0244
III Capital,III Equity Market-Neutral Program,2023-01-01,0.0316
III Capital,III Equity Market-Neutral Program,2023-02-01,0.0363
III Capital,III Equity Market-Neutral Program,2023-03-01,0.0211
III Capital,III Equity Market-Neutral Program,2023-04-01,0.0355
III Capital,III Equity Market-Neutral Program,2023-05-01,-0.0013
III Capital,III Equity Market-Neutral Program,2023-06-01,-0.042
III Capital,III Equity Market-Neutral Program,2023-07-01,-0.0297
III Capital,III Equity Market-Neutral Program,2023-08-01,0.0126
III Capital,III Equity Market-Neutral Program,2023-09-01,0.0212
III Capital,III Equity Market-Neutral Program,2023-10-01,0.0051
III Capital,III Equity Market-Neutral Program,2023-11-01,-0.0048
III Capital,III Equity Market-Neutral Program,2023-12-01,0.0213
III Capital,III Equity Market-Neutral Program,2024-01-01,0.0132
III Capital,III Equity Market-Neutral Program,2024-02-01,0.0003
III Capital,III Equity Market-Neutral Program,2024-03-01,0.021
III Capital,III Equity Market-Neutral Program,2024-04-01,0.0055
III Capital,III Equity Market-Neutral Program,2024-05-01,0.0048
III Capital,III Equity Market-Neutral Program,2024-06-01,-0.0007
