Manager,Fund,Date,Change
Machina,Machina Neutron Fund,2018-01-01,0
Machina,Machina Neutron Fund,2018-02-01,0.02
Machina,Machina Neutron Fund,2018-03-01,0.006
Machina,Machina Neutron Fund,2018-04-01,-0.005
Machina,Machina Neutron Fund,2018-05-01,0.041
Machina,Machina Neutron Fund,2018-06-01,0.004
Machina,Machina Neutron Fund,2018-07-01,0.008
Machina,Machina Neutron Fund,2018-08-01,0.013
Machina,Machina Neutron Fund,2018-09-01,0.007
Machina,Machina Neutron Fund,2018-10-01,0
Machina,Machina Neutron Fund,2018-11-01,-0.007
Machina,Machina Neutron Fund,2018-12-01,0.021
Machina,Machina Neutron Fund,2019-01-01,0.03
Machina,Machina Neutron Fund,2019-02-01,-0.003
Machina,Machina Neutron Fund,2019-03-01,0.013
Machina,Machina Neutron Fund,2019-04-01,-0.014
Machina,Machina Neutron Fund,2019-05-01,0.007
Machina,Machina Neutron Fund,2019-06-01,-0.007
Machina,Machina Neutron Fund,2019-07-01,-0.024
Machina,Machina Neutron Fund,2019-08-01,-0.004
Machina,Machina Neutron Fund,2019-09-01,0.022
Machina,Machina Neutron Fund,2019-10-01,0.024
Machina,Machina Neutron Fund,2019-11-01,-0.04
Machina,Machina Neutron Fund,2019-12-01,0.008
Machina,Machina Neutron Fund,2020-01-01,0.0024
Machina,Machina Neutron Fund,2020-02-01,-0.02
Machina,Machina Neutron Fund,2020-03-01,0.083
Machina,Machina Neutron Fund,2020-04-01,0.056
Machina,Machina Neutron Fund,2020-05-01,0.02
Machina,Machina Neutron Fund,2020-06-01,0.041
Machina,Machina Neutron Fund,2020-07-01,0.008
Machina,Machina Neutron Fund,2020-08-01,0.008
Machina,Machina Neutron Fund,2020-09-01,0.009
Machina,Machina Neutron Fund,2020-10-01,-0.023
Machina,Machina Neutron Fund,2020-11-01,0.052
Machina,Machina Neutron Fund,2020-12-01,0.013
Machina,Machina Neutron Fund,2021-01-01,0.011
Machina,Machina Neutron Fund,2021-02-01,0.005
Machina,Machina Neutron Fund,2021-03-01,0.013
Machina,Machina Neutron Fund,2021-04-01,0.033
Machina,Machina Neutron Fund,2021-05-01,0.019
Machina,Machina Neutron Fund,2021-06-01,-0.009
Machina,Machina Neutron Fund,2021-07-01,0.01
Machina,Machina Neutron Fund,2021-08-01,-0.034
Machina,Machina Neutron Fund,2021-09-01,-0.016
Machina,Machina Neutron Fund,2021-10-01,0.002
Machina,Machina Neutron Fund,2021-11-01,0.001
Machina,Machina Neutron Fund,2021-12-01,0.019
Machina,Machina Neutron Fund,2022-01-01,0.001
Machina,Machina Neutron Fund,2022-02-01,-0.006
Machina,Machina Neutron Fund,2022-03-01,0.03
Machina,Machina Neutron Fund,2022-04-01,0.009
Machina,Machina Neutron Fund,2022-05-01,-0.009
Machina,Machina Neutron Fund,2022-06-01,0.019
Machina,Machina Neutron Fund,2022-07-01,0.011
Machina,Machina Neutron Fund,2022-08-01,0.003
Machina,Machina Neutron Fund,2022-09-01,-0.003
Machina,Machina Neutron Fund,2022-10-01,0.002
Machina,Machina Neutron Fund,2022-11-01,0.001
Machina,Machina Neutron Fund,2022-12-01,-0.004
Machina,Machina Neutron Fund,2023-01-01,-0.021
Machina,Machina Neutron Fund,2023-02-01,0.021
Machina,Machina Neutron Fund,2023-03-01,-0.001
Machina,Machina Neutron Fund,2023-04-01,0.008
Machina,Machina Neutron Fund,2023-05-01,0.001
Machina,Machina Neutron Fund,2023-06-01,0.007
Machina,Machina Neutron Fund,2023-07-01,-0.025
Machina,Machina Neutron Fund,2023-08-01,0.014
Machina,Machina Neutron Fund,2023-09-01,0.015
Machina,Machina Neutron Fund,2023-10-01,0.036
Machina,Machina Neutron Fund,2023-11-01,0.025
Machina,Machina Neutron Fund,2023-12-01,-0.014
Machina,Machina Neutron Fund,2024-01-01,0.024
Machina,Machina Neutron Fund,2024-02-01,0.016
Machina,Machina Neutron Fund,2024-03-01,0.051
Machina,Machina Neutron Fund,2024-04-01,0.014
Machina,Machina Neutron Fund,2024-05-01,0.018
Machina,Machina Neutron Fund,2024-06-01,0.004
Machina,Machina Neutron Fund,2024-07-01,0.014
Machina,Machina Neutron Fund,2024-08-01,0.024
Machina,Machina Neutron Fund,2024-09-01,0.007
Machina,Machina Neutron Fund,2024-10-01,-0.003
