Manager,Fund,Date,Change
Panview,Panview Asian Equity Fund,2019-11-01,0.0171
Panview,Panview Asian Equity Fund,2019-12-01,0.0213
Panview,Panview Asian Equity Fund,2020-01-01,0.0418
Panview,Panview Asian Equity Fund,2020-02-01,-0.0037
Panview,Panview Asian Equity Fund,2020-03-01,0.0006
Panview,Panview Asian Equity Fund,2020-04-01,0.044
Panview,Panview Asian Equity Fund,2020-05-01,0.0902
Panview,Panview Asian Equity Fund,2020-06-01,0.0916
Panview,Panview Asian Equity Fund,2020-07-01,0.0213
Panview,Panview Asian Equity Fund,2020-08-01,0.0083
Panview,Panview Asian Equity Fund,2020-09-01,-0.0093
Panview,Panview Asian Equity Fund,2020-10-01,-0.0029
Panview,Panview Asian Equity Fund,2020-11-01,0.0309
Panview,Panview Asian Equity Fund,2020-12-01,0.0483
Panview,Panview Asian Equity Fund,2021-01-01,-0.0313
Panview,Panview Asian Equity Fund,2021-02-01,0.0741
Panview,Panview Asian Equity Fund,2021-03-01,-0.0606
Panview,Panview Asian Equity Fund,2021-04-01,0.0055
Panview,Panview Asian Equity Fund,2021-05-01,-0.0114
Panview,Panview Asian Equity Fund,2021-06-01,0.0459
Panview,Panview Asian Equity Fund,2021-07-01,-0.0536
Panview,Panview Asian Equity Fund,2021-08-01,0.0186
Panview,Panview Asian Equity Fund,2021-09-01,0.0157
Panview,Panview Asian Equity Fund,2021-10-01,0.0363
Panview,Panview Asian Equity Fund,2021-11-01,-0.0375
Panview,Panview Asian Equity Fund,2021-12-01,-0.0089
Panview,Panview Asian Equity Fund,2022-01-01,-0.0113
Panview,Panview Asian Equity Fund,2022-02-01,0.0257
Panview,Panview Asian Equity Fund,2022-03-01,0.0294
Panview,Panview Asian Equity Fund,2022-04-01,-0.0016
Panview,Panview Asian Equity Fund,2022-05-01,0.0038
Panview,Panview Asian Equity Fund,2022-06-01,-0.059
Panview,Panview Asian Equity Fund,2022-07-01,0.0134
Panview,Panview Asian Equity Fund,2022-08-01,0.047
Panview,Panview Asian Equity Fund,2022-09-01,-0.0165
Panview,Panview Asian Equity Fund,2022-10-01,0.0297
Panview,Panview Asian Equity Fund,2022-11-01,-0.004
Panview,Panview Asian Equity Fund,2022-12-01,-0.006
Panview,Panview Asian Equity Fund,2023-01-01,-0.0335
Panview,Panview Asian Equity Fund,2023-02-01,0.0233
Panview,Panview Asian Equity Fund,2023-03-01,-0.0152
Panview,Panview Asian Equity Fund,2023-04-01,0.034
Panview,Panview Asian Equity Fund,2023-05-01,0.0251
Panview,Panview Asian Equity Fund,2023-06-01,0.0221
Panview,Panview Asian Equity Fund,2023-07-01,-0.0016
Panview,Panview Asian Equity Fund,2023-08-01,0.016
Panview,Panview Asian Equity Fund,2023-09-01,0.0097
Panview,Panview Asian Equity Fund,2023-10-01,0.0269
Panview,Panview Asian Equity Fund,2023-11-01,0.0131
Panview,Panview Asian Equity Fund,2023-12-01,0.0059
Panview,Panview Asian Equity Fund,2024-01-01,0.0691
Panview,Panview Asian Equity Fund,2024-02-01,0.0272
Panview,Panview Asian Equity Fund,2024-03-01,0.0516
Panview,Panview Asian Equity Fund,2024-04-01,0.0144
Panview,Panview Asian Equity Fund,2024-05-01,0.0471
Panview,Panview Asian Equity Fund,2024-06-01,0.0135
