Manager,Fund,Date,Change
Pula Capital,Pula Capital Fund,2022-01-01,0.0331
Pula Capital,Pula Capital Fund,2022-02-01,-0.0298
Pula Capital,Pula Capital Fund,2022-03-01,0.0238
Pula Capital,Pula Capital Fund,2022-04-01,0.0711
Pula Capital,Pula Capital Fund,2022-05-01,0.0936
Pula Capital,Pula Capital Fund,2022-06-01,-0.0087
Pula Capital,Pula Capital Fund,2022-07-01,-0.057
Pula Capital,Pula Capital Fund,2022-08-01,-0.0065
Pula Capital,Pula Capital Fund,2022-09-01,-0.1079
Pula Capital,Pula Capital Fund,2022-10-01,0.0172
Pula Capital,Pula Capital Fund,2022-11-01,0.0233
Pula Capital,Pula Capital Fund,2022-12-01,-0.0044
Pula Capital,Pula Capital Fund,2023-01-01,0.0762
Pula Capital,Pula Capital Fund,2023-02-01,-0.024
Pula Capital,Pula Capital Fund,2023-03-01,-0.0059
Pula Capital,Pula Capital Fund,2023-04-01,0.0148
Pula Capital,Pula Capital Fund,2023-05-01,0.014
Pula Capital,Pula Capital Fund,2023-06-01,-0.0163
Pula Capital,Pula Capital Fund,2023-07-01,-0.008
Pula Capital,Pula Capital Fund,2023-08-01,0.005
Pula Capital,Pula Capital Fund,2023-09-01,-0.0143
Pula Capital,Pula Capital Fund,2023-10-01,-0.0038
Pula Capital,Pula Capital Fund,2023-11-01,0.0071
Pula Capital,Pula Capital Fund,2023-12-01,0.0305
Pula Capital,Pula Capital Fund,2024-01-01,0.0109
Pula Capital,Pula Capital Fund,2024-02-01,0.0265
Pula Capital,Pula Capital Fund,2024-03-01,0.0184
Pula Capital,Pula Capital Fund,2024-04-01,-0.0259
Pula Capital,Pula Capital Fund,2024-05-01,-0.0198
Pula Capital,Pula Capital Fund,2024-06-01,0.0314
Pula Capital,Pula Capital Fund,2024-07-01,-0.0415
